Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;AsymtomaticCCRDiscovered
2023;1122832;14297;809;0;309296;5152;51585;229;3103;433.0;229.0;119.0;233.0;194.0;116.0;487.0;229.0
2024;1136320;14096;1254;0;315833;4491;53610;259;3192;394.0;259.0;153.0;208.0;176.0;116.0;603.0;259.0
2025;1149162;14940;2079;0;321258;4286;55934;149;3292;372.0;149.0;88.0;194.0;140.0;99.0;286.0;149.0
2026;1162023;13484;2925;0;326569;4280;57430;150;3352;385.0;150.0;86.0;186.0;143.0;120.0;280.0;150.0
2027;1172582;13559;4027;0;331596;4264;59732;161;3508;329.0;161.0;101.0;175.0;121.0;93.0;409.0;161.0
2028;1182114;15223;4944;0;336518;4306;60854;147;3673;366.0;147.0;87.0;207.0;124.0;95.0;402.0;147.0
2029;1192393;15737;5982;0;341993;4360;62569;147;3631;381.0;147.0;95.0;194.0;136.0;103.0;307.0;147.0
2030;1202148;14291;6583;0;347660;4336;63063;172;3820;407.0;172.0;99.0;216.0;158.0;106.0;354.0;172.0
2031;1209856;13895;6825;0;353197;4308;65015;142;3832;438.0;142.0;82.0;219.0;173.0;106.0;278.0;142.0
2032;1216926;13544;7131;0;357131;4239;65118;144;3840;450.0;144.0;81.0;216.0;175.0;122.0;265.0;144.0
2033;1223339;13949;7810;0;360477;4199;66121;148;4000;434.0;148.0;96.0;224.0;153.0;109.0;248.0;148.0
2034;1229478;15051;8476;0;363616;4161;66380;169;3907;444.0;169.0;103.0;196.0;181.0;133.0;350.0;169.0
2035;1236053;12261;9195;0;366754;4116;66586;154;3916;412.0;154.0;87.0;231.0;144.0;104.0;365.0;154.0
2036;1239119;13238;10208;0;370299;4104;65986;158;3834;443.0;158.0;96.0;221.0;171.0;113.0;339.0;158.0
2037;1242149;13065;10837;0;374412;4066;66055;148;3972;439.0;148.0;92.0;235.0;156.0;104.0;277.0;148.0
2038;1244377;13861;11359;0;379082;4027;65270;155;3866;452.0;155.0;99.0;235.0;160.0;113.0;399.0;155.0
2039;1246879;13536;12092;0;384358;4004;65505;160;3906;464.0;160.0;105.0;231.0;177.0;111.0;360.0;160.0
2040;1248323;13400;12665;0;389577;4009;65594;184;3815;464.0;184.0;99.0;249.0;177.0;123.0;354.0;184.0
2041;1249058;13748;12922;0;394965;3970;66309;186;3868;469.0;186.0;110.0;257.0;167.0;121.0;388.0;186.0
2042;1249884;14509;13046;0;400070;3908;67185;163;3859;442.0;163.0;103.0;220.0;166.0;116.0;358.0;163.0
