Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;AsymtomaticCCRDiscovered
2023;1122832;13232;839;0;309297;5152;114046;479;6743;433.0;479.0;247.0;268.0;268.0;129.0;1214.0;479.0
2024;1135225;13960;1248;0;315832;4240;115926;521;6887;356.0;521.0;285.0;231.0;240.0;121.0;1317.0;521.0
2025;1147937;13916;2020;0;321257;3829;117734;303;6923;285.0;303.0;167.0;184.0;149.0;88.0;734.0;303.0
2026;1159833;13921;3010;0;326567;3742;118876;268;6914;277.0;268.0;146.0;158.0;146.0;95.0;607.0;268.0
2027;1170744;14124;3978;0;331591;3699;120035;268;6935;244.0;268.0;136.0;151.0;141.0;84.0;516.0;268.0
2028;1180890;14919;5041;0;336509;3731;120647;285;7155;261.0;285.0;147.0;172.0;136.0;91.0;714.0;285.0
2029;1190768;14849;5899;0;341988;3738;121751;290;7162;240.0;290.0;154.0;154.0;143.0;79.0;654.0;290.0
2030;1199718;13700;6441;0;347656;3758;122793;297;7199;283.0;297.0;151.0;171.0;173.0;85.0;695.0;297.0
2031;1206977;14250;6920;0;353198;3697;124202;271;7250;311.0;271.0;148.0;183.0;157.0;94.0;625.0;271.0
2032;1214307;13461;7254;0;357137;3657;125323;281;7366;319.0;281.0;146.0;189.0;171.0;94.0;709.0;281.0
2033;1220514;13147;7658;0;360483;3576;125730;263;7439;296.0;263.0;131.0;199.0;140.0;89.0;547.0;263.0
2034;1226003;12403;8447;0;363646;3552;126169;277;7402;317.0;277.0;148.0;178.0;162.0;106.0;732.0;277.0
2035;1229959;14124;9234;0;366835;3532;126757;264;7477;299.0;264.0;133.0;182.0;157.0;91.0;511.0;264.0
2036;1234849;14530;10104;0;370385;3534;128082;273;7429;317.0;273.0;148.0;181.0;162.0;99.0;611.0;273.0
2037;1239275;14299;10795;0;374504;3489;129164;263;7719;325.0;263.0;140.0;194.0;179.0;75.0;629.0;263.0
2038;1242779;13747;11489;0;379177;3457;131747;308;7721;328.0;308.0;159.0;210.0;170.0;97.0;704.0;308.0
2039;1245037;12995;12023;0;384454;3407;133665;295;7878;357.0;295.0;163.0;197.0;190.0;102.0;651.0;295.0
2040;1246009;14642;12324;0;389730;3365;136443;301;8032;355.0;301.0;128.0;214.0;205.0;109.0;464.0;301.0
2041;1248327;13255;12814;0;395126;3338;138473;307;8123;326.0;307.0;151.0;205.0;189.0;88.0;786.0;307.0
2042;1248768;14423;13432;0;400306;3304;141624;305;8148;311.0;305.0;184.0;183.0;154.0;95.0;763.0;305.0
2043;1249759;14509;13253;0;405742;3279;142627;324;8415;327.0;324.0;158.0;217.0;191.0;85.0;736.0;324.0
2044;1251015;14788;13693;0;411154;3239;145834;343;8532;366.0;343.0;187.0;224.0;198.0;100.0;815.0;343.0
2045;1252110;14135;14352;0;416503;3117;146935;280;8636;358.0;280.0;150.0;201.0;176.0;111.0;600.0;280.0
2046;1251893;13435;14936;0;421542;3063;149505;309;8644;324.0;309.0;177.0;190.0;180.0;86.0;769.0;309.0
2047;1250392;15524;14952;0;425379;3056;151123;335;8659;307.0;335.0;177.0;187.0;190.0;88.0;863.0;335.0
2048;1250964;13606;15468;0;429727;3024;153809;298;9051;329.0;298.0;142.0;177.0;197.0;111.0;554.0;298.0
2049;1249102;13867;15362;0;433265;3023;155371;360;8806;369.0;360.0;181.0;246.0;228.0;74.0;827.0;360.0
2050;1247607;12111;15709;0;437337;2972;157397;331;9184;325.0;331.0;174.0;203.0;188.0;91.0;872.0;331.0
2051;1244009;15174;15690;0;441286;2948;158329;314;9207;347.0;314.0;160.0;202.0;188.0;111.0;718.0;314.0
2052;1243493;14119;15211;0;444826;2942;158990;340;9109;353.0;340.0;189.0;194.0;204.0;106.0;811.0;340.0
2053;1242401;14309;15245;0;447763;2868;159079;293;9214;337.0;293.0;145.0;204.0;185.0;96.0;580.0;293.0
2054;1241465;13754;14851;0;449301;2922;158668;347;9184;382.0;347.0;196.0;224.0;205.0;104.0;900.0;347.0
