Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;AsymtomaticCCRDiscovered
2023;68677;4394;151;244;219;120;1155;2756;2533;5450;734;11894;14147;403.0;1850.0;605.0;301.0
2024;71573;4599;189;217;185;117;1445;2451;2140;5313;708;11349;13705;420.0;1936.0;735.0;328.0
2025;74476;4556;126;200;140;99;964;2259;1619;4496;565;9338;11693;437.0;1918.0;449.0;221.0
2026;76717;4640;102;163;155;114;780;1841;1793;5177;534;9591;11994;450.0;1953.0;348.0;188.0
2027;79556;4839;110;160;142;84;841;1807;1643;3815;496;8106;10610;467.0;2037.0;476.0;198.0
2028;81310;5059;106;180;132;91;811;2033;1527;4133;509;8504;11111;477.0;2130.0;432.0;197.0
2029;83310;5110;116;171;139;97;887;1931;1608;4405;523;8831;11471;489.0;2151.0;367.0;195.0
2030;84357;5224;110;203;164;104;841;2293;1897;4723;581;9754;12448;495.0;2199.0;436.0;217.0
2031;86533;5308;115;214;181;98;879;2417;2094;4451;608;9841;12584;508.0;2235.0;439.0;208.0
2032;87067;5348;110;205;181;119;841;2315;2094;5404;615;10654;13417;511.0;2252.0;413.0;209.0
2033;88191;5446;119;203;150;104;910;2293;1735;4723;576;9661;12471;517.0;2293.0;391.0;200.0
2034;88705;5416;137;187;189;122;1048;2112;2186;5541;635;10887;13687;520.0;2280.0;557.0;245.0
2035;88811;5467;109;222;145;95;834;2507;1677;4314;571;9332;12155;521.0;2302.0;437.0;208.0
2036;88259;5370;113;212;167;100;864;2394;1932;4541;592;9731;12510;518.0;2261.0;482.0;209.0
2037;88133;5474;122;212;160;92;933;2394;1851;4178;586;9356;12178;517.0;2305.0;404.0;197.0
2038;87293;5371;123;224;161;92;941;2530;1862;4178;600;9511;12284;512.0;2261.0;493.0;202.0
2039;87435;5404;124;218;174;104;948;2462;2013;4723;620;10146;12934;513.0;2275.0;466.0;214.0
2040;87701;5379;107;230;167;119;818;2597;1932;5404;623;10751;13530;514.0;2265.0;388.0;205.0
2041;88557;5434;125;231;167;111;956;2609;1932;5041;634;10538;13345;519.0;2288.0;474.0;217.0
2042;89786;5422;135;212;161;110;1032;2394;1862;4996;618;10284;13094;527.0;2283.0;543.0;228.0
