Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;AsymtomaticCCRDiscovered
2023;1122832;12973;829;0;309296;5145;68681;297;4093;433.0;297.0;148.0;243.0;218.0;121.0;581.0;297.0
2024;1134976;15156;1245;0;315832;4415;71572;329;4271;380.0;329.0;190.0;218.0;184.0;117.0;738.0;329.0
2025;1148887;12908;2097;0;321258;4165;74475;224;4333;344.0;224.0;128.0;202.0;139.0;99.0;471.0;224.0
2026;1159698;12855;2932;0;326567;4121;76713;194;4453;346.0;194.0;105.0;162.0;159.0;114.0;360.0;194.0
2027;1169621;14023;3965;0;331596;4083;79553;200;4638;298.0;200.0;111.0;160.0;142.0;85.0;475.0;200.0
2028;1179679;14238;4946;0;336513;4138;81315;194;4864;312.0;194.0;105.0;182.0;129.0;90.0;436.0;194.0
2029;1188971;13653;5882;0;341997;4144;83313;190;4915;328.0;190.0;112.0;170.0;138.0;98.0;352.0;190.0
2030;1196742;13954;6556;0;347659;4170;84361;227;5010;360.0;227.0;114.0;203.0;167.0;103.0;445.0;227.0
2031;1204140;14856;6863;0;353196;4127;86538;209;5098;394.0;209.0;113.0;212.0;184.0;94.0;450.0;209.0
2032;1212133;14312;7214;0;357162;4052;87068;204;5141;400.0;204.0;103.0;201.0;180.0;120.0;347.0;204.0
2033;1219231;13557;7895;0;360487;4000;88209;208;5257;375.0;208.0;126.0;206.0;147.0;104.0;456.0;208.0
2034;1224893;14258;8279;0;363621;3915;88720;233;5166;385.0;233.0;129.0;184.0;185.0;120.0;522.0;233.0
2035;1230872;14107;9212;0;366773;3889;88804;209;5266;365.0;209.0;116.0;212.0;148.0;98.0;407.0;209.0
2036;1235767;14801;9949;0;370288;3891;88260;199;5150;392.0;199.0;113.0;204.0;174.0;100.0;444.0;199.0
2037;1240619;14068;10922;0;374414;3825;88122;198;5278;384.0;198.0;114.0;216.0;158.0;94.0;378.0;198.0
2038;1243765;14854;11631;0;379057;3822;87283;204;5163;398.0;204.0;125.0;225.0;159.0;93.0;512.0;204.0
2039;1246988;13052;12218;0;384330;3803;87410;198;5182;405.0;198.0;112.0;218.0;173.0;100.0;450.0;198.0
2040;1247822;13980;12609;0;389565;3813;87685;233;5169;410.0;233.0;115.0;232.0;177.0;119.0;465.0;233.0
2041;1249193;14393;12883;0;394914;3781;88527;230;5211;419.0;230.0;135.0;229.0;172.0;113.0;524.0;230.0
2042;1250703;14791;13260;0;400131;3733;89782;225;5194;391.0;225.0;128.0;213.0;164.0;111.0;476.0;225.0
