Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;AsymtomaticCCRDiscovered
2023;1122832;13971;795;0;309296;5128;8577;26;512;433.0;26.0;33.0;192.0;126.0;108.0;71.0;26.0
2024;1136008;13166;1290;0;315832;4669;8937;32;566;435.0;32.0;33.0;199.0;123.0;112.0;105.0;32.0
2025;1147884;13783;1994;0;321258;4702;9368;29;526;447.0;29.0;30.0;216.0;122.0;108.0;56.0;29.0
2026;1159673;14070;2957;0;326569;4722;9594;35;582;468.0;35.0;29.0;209.0;142.0;123.0;78.0;35.0
2027;1170786;13501;3963;0;331594;4722;10039;23;606;434.0;23.0;32.0;205.0;109.0;111.0;71.0;23.0
2028;1180324;14461;5015;0;336515;4806;10124;21;615;502.0;21.0;27.0;246.0;132.0;118.0;59.0;21.0
2029;1189770;13969;6037;0;341995;4827;10456;23;610;492.0;23.0;37.0;237.0;128.0;113.0;37.0;23.0
2030;1197702;13955;6547;0;347654;4834;10428;24;581;528.0;24.0;27.0;251.0;152.0;122.0;42.0;24.0
2031;1205110;14306;6866;0;353197;4831;10838;26;610;562.0;26.0;34.0;257.0;161.0;136.0;56.0;26.0
2032;1212550;13939;7318;0;357131;4770;10755;24;652;591.0;24.0;36.0;260.0;170.0;149.0;48.0;24.0
2033;1219171;14039;7870;0;360471;4699;11004;23;670;553.0;23.0;33.0;265.0;144.0;134.0;50.0;23.0
2034;1225340;14714;8322;0;363598;4654;10920;40;646;578.0;40.0;40.0;242.0;195.0;141.0;98.0;40.0
2035;1231732;14262;9196;0;366760;4619;11167;27;662;544.0;27.0;22.0;284.0;144.0;121.0;34.0;27.0
2036;1236798;13422;10070;0;370304;4594;10900;28;642;563.0;28.0;40.0;250.0;166.0;135.0;76.0;28.0
2037;1240150;13022;10903;0;374428;4557;11044;27;687;567.0;27.0;42.0;267.0;154.0;131.0;49.0;27.0
2038;1242269;14496;11472;0;379071;4530;10867;34;618;564.0;34.0;37.0;275.0;157.0;129.0;86.0;34.0
2039;1245293;13681;12145;0;384367;4517;10884;30;655;601.0;30.0;41.0;285.0;172.0;133.0;84.0;30.0
2040;1246829;13428;12482;0;389547;4500;10947;28;621;579.0;28.0;31.0;280.0;156.0;140.0;68.0;28.0
2041;1247775;13925;12975;0;394886;4524;10966;21;661;592.0;21.0;25.0;294.0;155.0;139.0;38.0;21.0
2042;1248725;14077;13267;0;400065;4504;11135;17;605;572.0;17.0;33.0;273.0;142.0;141.0;23.0;17.0
