Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;AsymtomaticCCRDiscovered
2023;68677;4397;153;243;219;121;1170;2744;2533;5495;736;11942;14216;403.0;1871.0;621.0;303.0
2024;71574;4592;188;214;186;117;1438;2417;2152;5313;705;11320;13694;420.0;1954.0;714.0;324.0
2025;74475;4560;127;201;141;99;971;2270;1631;4496;568;9368;11746;437.0;1941.0;458.0;225.0
2026;76720;4654;109;166;157;116;834;1875;1816;5268;548;9793;12224;450.0;1981.0;399.0;199.0
2027;79563;4834;110;160;139;83;841;1807;1608;3769;492;8025;10549;467.0;2057.0;440.0;194.0
2028;81320;5054;91;181;134;93;696;2044;1550;4224;499;8514;11142;477.0;2151.0;353.0;188.0
2029;83308;5115;118;172;138;98;902;1942;1596;4451;526;8891;11557;489.0;2177.0;386.0;199.0
2030;84362;5222;110;204;165;105;841;2304;1909;4768;584;9822;12540;495.0;2223.0;423.0;219.0
2031;86536;5304;110;210;181;96;841;2372;2094;4360;597;9667;12432;508.0;2257.0;444.0;204.0
2032;87065;5352;112;203;180;121;856;2293;2082;5495;616;10726;13515;511.0;2278.0;406.0;213.0
2033;88189;5462;122;209;149;110;933;2360;1724;4996;590;10013;12855;517.0;2325.0;431.0;207.0
2034;88710;5394;127;190;184;121;971;2146;2128;5495;622;10740;13556;520.0;2296.0;542.0;231.0
2035;88829;5456;98;221;151;99;749;2496;1747;4496;569;9488;12331;521.0;2322.0;336.0;201.0
2036;88276;5365;115;205;167;106;879;2315;1932;4814;593;9940;12741;518.0;2283.0;453.0;208.0
2037;88121;5470;122;214;160;90;933;2417;1851;4087;586;9288;12133;517.0;2328.0;437.0;198.0
2038;87294;5372;124;221;161;88;948;2496;1862;3996;594;9302;12100;512.0;2286.0;510.0;205.0
2039;87440;5415;139;216;168;100;1063;2439;1943;4541;623;9986;12804;513.0;2305.0;536.0;221.0
2040;87694;5385;111;232;172;116;849;2620;1990;5268;631;10727;13533;514.0;2292.0;433.0;215.0
2041;88545;5440;123;224;181;110;941;2530;2094;4996;638;10561;13395;519.0;2315.0;425.0;223.0
2042;89771;5420;138;207;161;117;1055;2338;1862;5313;623;10568;13402;527.0;2307.0;531.0;231.0
