Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;AsymtomaticCCRDiscovered
2023;1122832;13214;857;0;309296;5148;51583;230;3103;433.0;230.0;119.0;234.0;194.0;116.0;487.0;230.0
2024;1135189;13161;1261;0;315833;4485;53612;256;3192;394.0;256.0;153.0;207.0;174.0;116.0;595.0;256.0
2025;1147089;14967;2054;0;321257;4301;55935;148;3290;371.0;148.0;87.0;195.0;138.0;99.0;288.0;148.0
2026;1160002;14549;2994;0;326568;4294;57428;151;3351;386.0;151.0;85.0;186.0;146.0;120.0;285.0;151.0
2027;1171557;13396;3884;0;331597;4275;59732;166;3510;329.0;166.0;104.0;172.0;126.0;93.0;415.0;166.0
2028;1181069;12963;5138;0;336518;4312;60854;148;3675;368.0;148.0;88.0;209.0;122.0;97.0;396.0;148.0
2029;1188894;14024;5860;0;341998;4336;62578;146;3631;383.0;146.0;93.0;197.0;136.0;103.0;318.0;146.0
2030;1197058;13596;6526;0;347661;4337;63065;167;3815;408.0;167.0;94.0;218.0;159.0;104.0;340.0;167.0
2031;1204128;13831;7010;0;353203;4302;65010;151;3831;433.0;151.0;87.0;219.0;175.0;103.0;309.0;151.0
2032;1210949;13348;7210;0;357161;4271;65123;149;3843;448.0;149.0;89.0;214.0;167.0;127.0;294.0;149.0
2033;1217087;14866;7638;0;360459;4200;66116;150;3997;429.0;150.0;100.0;224.0;148.0;107.0;252.0;150.0
2034;1224315;13759;8582;0;363635;4150;66387;177;3908;444.0;177.0;109.0;196.0;186.0;130.0;380.0;177.0
2035;1229492;14622;9087;0;366771;4115;66593;154;3923;414.0;154.0;85.0;237.0;141.0;105.0;347.0;154.0
2036;1235027;14138;9991;0;370289;4102;65992;166;3836;438.0;166.0;97.0;218.0;178.0;111.0;346.0;166.0
2037;1239174;14907;10878;0;374421;4047;66081;148;3974;440.0;148.0;89.0;238.0;156.0;105.0;293.0;148.0
2038;1243203;13157;11547;0;379076;4004;65266;161;3870;452.0;161.0;103.0;234.0;165.0;111.0;410.0;161.0
2039;1244813;14350;11958;0;384341;3961;65518;155;3901;463.0;155.0;103.0;232.0;172.0;111.0;399.0;155.0
2040;1247205;12953;12625;0;389559;3974;65592;170;3813;453.0;170.0;88.0;246.0;175.0;114.0;348.0;170.0
2041;1247533;13081;12890;0;394951;3966;66315;183;3872;469.0;183.0;110.0;254.0;167.0;121.0;370.0;183.0
2042;1247724;14034;13360;0;400093;3923;67183;153;3858;441.0;153.0;99.0;222.0;154.0;119.0;331.0;153.0
