Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;56322;3608;133;220;192;125;1017;2485;2221;5677;670;11400;13249;330.0;1519.0;545.0;359.0;398.0;497.0;237.0
2024;57008;3598;128;220;165;126;979;2485;1909;5722;639;11095;12944;334.0;1515.0;583.0;425.0;453.0;547.0;239.0
2025;57634;3624;157;210;163;98;1201;2372;1885;4451;628;9909;11773;338.0;1526.0;657.0;461.0;497.0;619.0;262.0
2026;58746;3656;136;184;183;103;1040;2078;2117;4678;606;9913;11797;345.0;1539.0;552.0;390.0;425.0;513.0;254.0
2027;60529;3799;136;176;159;102;1040;1988;1839;4632;573;9499;11453;355.0;1599.0;477.0;315.0;357.0;443.0;277.0
2028;61361;3961;162;180;141;91;1239;2033;1631;4133;574;9036;11064;360.0;1668.0;759.0;523.0;556.0;697.0;291.0
2029;62500;3820;132;165;125;85;1009;1863;1446;3860;507;8178;10153;367.0;1608.0;503.0;334.0;377.0;468.0;228.0
2030;63511;4073;137;170;168;86;1048;1920;1943;3906;561;8817;10904;372.0;1715.0;606.0;422.0;450.0;560.0;259.0
2031;65282;4062;123;195;169;97;941;2202;1955;4405;584;9503;11596;383.0;1710.0;594.0;415.0;435.0;548.0;244.0
2032;67253;4196;135;197;173;100;1032;2225;2001;4541;605;9799;11960;394.0;1767.0;618.0;452.0;470.0;575.0;257.0
2033;66767;4249;143;184;157;87;1094;2078;1816;3951;571;8939;11120;392.0;1789.0;525.0;350.0;400.0;487.0;258.0
2034;67455;4216;148;175;172;111;1132;1976;1990;5041;606;10139;12310;396.0;1775.0;610.0;415.0;448.0;550.0;270.0
2035;68203;4265;129;197;157;99;986;2225;1816;4496;582;9523;11719;400.0;1796.0;430.0;271.0;304.0;392.0;272.0
2036;69783;4303;153;204;163;107;1170;2304;1885;4859;627;10218;12439;409.0;1812.0;637.0;427.0;467.0;591.0;283.0
