Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;AsymtomaticCCRDiscovered
2023;68681;4390;148;243;218;121;1132;2744;2522;5495;730;11893;14006;265.0;1848.0;581.0;297.0
2024;71572;4600;190;218;184;117;1453;2462;2128;5313;709;11356;13570;277.0;1937.0;738.0;329.0
2025;74475;4557;128;202;139;99;979;2281;1608;4496;568;9364;11571;288.0;1919.0;471.0;224.0
2026;76713;4647;105;162;159;114;803;1830;1839;5177;540;9649;11901;296.0;1956.0;360.0;194.0
2027;79553;4838;111;160;142;85;849;1807;1643;3860;498;8159;10503;307.0;2037.0;475.0;200.0
2028;81315;5058;105;182;129;90;803;2055;1492;4087;506;8437;10880;314.0;2129.0;436.0;194.0
2029;83313;5105;112;170;138;98;856;1920;1596;4451;518;8823;11294;322.0;2149.0;352.0;190.0
2030;84361;5237;114;203;167;103;872;2293;1932;4678;587;9775;12306;326.0;2205.0;445.0;227.0
2031;86538;5307;113;212;184;94;864;2394;2128;4269;603;9655;12223;334.0;2234.0;450.0;209.0
2032;87068;5345;103;201;180;120;788;2270;2082;5450;604;10590;13177;337.0;2250.0;347.0;204.0
2033;88209;5465;126;206;147;104;964;2326;1700;4723;583;9713;12355;341.0;2301.0;456.0;208.0
2034;88720;5399;129;184;185;120;986;2078;2140;5450;618;10654;13270;343.0;2273.0;522.0;233.0
2035;88804;5475;116;212;148;98;887;2394;1712;4451;574;9444;12092;343.0;2305.0;407.0;209.0
2036;88260;5349;113;204;174;100;864;2304;2013;4541;591;9722;12315;341.0;2252.0;444.0;199.0
2037;88122;5476;114;216;158;94;872;2439;1828;4269;582;9408;12054;341.0;2305.0;378.0;198.0
2038;87283;5367;125;225;159;93;956;2541;1839;4224;602;9560;12157;337.0;2260.0;512.0;204.0
2039;87410;5380;112;218;173;100;856;2462;2001;4541;603;9860;12463;338.0;2265.0;450.0;198.0
2040;87685;5402;115;232;177;119;879;2620;2047;5404;643;10950;13563;339.0;2274.0;465.0;233.0
2041;88527;5441;135;229;172;113;1032;2586;1990;5132;649;10740;13373;342.0;2291.0;524.0;230.0
2042;89782;5419;128;213;164;111;979;2405;1897;5041;616;10322;12950;347.0;2281.0;476.0;225.0
