Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered;Polypectomies
2023;1122832;13958;859;320;309297;5147;91872;392;5530;433;177;97;219;179;115;352;237;270;329;392;215
2024;1135931;14995;1205;349;315831;4322;93792;431;5632;372;219;136;190;157;108;624;444;461;579;431;212
2025;1149721;13742;2000;326;321258;4002;95828;229;5757;322;110;69;163;120;80;241;167;186;227;229;119
2026;1161463;13459;3019;329;326568;3928;96996;226;5730;312;118;76;147;112;95;297;201;225;281;226;108
2027;1171903;14001;3986;386;331596;3907;99116;238;5919;275;119;75;141;101;77;277;192;205;258;238;119
2028;1181918;13186;4923;366;336517;3935;100007;221;6056;302;97;52;168;103;76;237;160;171;215;221;124
2029;1190181;13684;5973;401;341995;3963;102136;227;6124;310;92;55;165;104;78;186;129;138;174;227;135
2030;1197892;14419;6647;404;347650;3950;103235;262;6224;336;126;82;177;121;82;343;237;249;312;262;136
2031;1205664;14571;6868;397;353175;3880;105495;229;6274;355;105;56;185;129;90;204;144;144;188;229;124
2032;1213367;13789;7154;401;357132;3841;106586;224;6444;377;110;69;181;135;102;290;202;211;267;224;114
2033;1220002;14022;7721;417;360474;3773;107728;214;6498;346;102;62;191;111;84;183;124;131;169;214;112
2034;1226303;14132;8436;420;363662;3762;108647;245;6480;364;115;64;166;139;110;193;132;148;179;245;130
2035;1231999;14237;9102;414;366837;3716;109584;212;6610;331;99;47;184;110;89;153;108;115;143;212;113
2036;1237134;13823;10031;415;370380;3747;110531;251;6562;364;131;80;182;144;89;307;218;239;288;251;120
2037;1240926;15127;10793;447;374534;3665;111598;213;6822;370;102;64;195;128;85;253;176;181;228;213;111
2038;1245260;14323;11539;377;379174;3657;112972;253;6772;379;122;78;191;134;98;330;228;253;309;253;131
2039;1248044;13696;12049;421;384472;3594;114360;249;6899;389;119;70;190;150;98;217;139;144;197;249;130
2040;1249691;14141;12564;423;389728;3580;116283;264;7006;388;122;63;192;147;108;174;113;127;157;264;142
2041;1251268;14009;12836;404;395120;3539;117439;292;7056;385;132;79;202;144;92;337;227;252;312;292;160
2042;1252441;15349;13008;406;400268;3455;119533;245;7024;346;123;83;167;124;95;299;209;225;275;245;122
