Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered;Polypectomies
2023;1122832;13958;859;320;309297;5147;61330;225;3724;433;112;66;212;153;114;220;156;169;206;225;113
2024;1135931;14995;1205;349;315831;4489;62266;283;3811;403;134;84;196;141;116;346;245;254;318;283;149
2025;1149721;13742;2000;326;321258;4286;63971;159;3804;379;66;50;189;115;91;148;97;114;140;159;93
2026;1161463;13459;3019;329;326568;4225;64423;132;3802;372;66;49;160;124;105;186;130;140;175;132;66
2027;1171903;14001;3986;386;331596;4238;66153;170;3915;341;88;59;170;103;97;209;140;149;187;170;82
2028;1181918;13186;4923;366;336517;4268;66488;155;4074;375;73;45;194;122;87;180;124;132;167;155;82
2029;1190181;13684;5973;401;341995;4289;68138;158;4018;388;80;61;193;116;98;168;116;128;158;158;78
2030;1197892;14419;6650;407;347651;4267;68560;174;4199;408;84;57;204;136;95;153;105;115;145;174;90
2031;1205661;14571;6877;406;353173;4213;70402;142;4201;444;70;50;220;136;108;162;110;116;152;142;72
2032;1213355;13789;7171;417;357126;4172;70722;159;4227;438;69;57;196;133;121;184;129;138;173;159;90
2033;1219973;14022;7731;428;360455;4108;71893;148;4379;426;65;50;213;120;108;124;86;96;118;148;83
2034;1226264;14132;8444;433;363634;4083;72163;166;4312;448;64;47;195;149;121;118;77;88;109;166;102
2035;1231952;14237;9127;442;366805;4032;73108;147;4365;402;68;41;208;124;97;133;87;94;121;147;79
2036;1237062;13823;10041;434;370343;4057;73551;168;4351;439;81;64;210;141;105;234;169;175;217;168;87
2037;1240844;15127;10817;479;374488;3983;74395;147;4514;437;74;57;224;129;101;166;112;119;150;147;73
2038;1245154;14323;11554;411;379131;3974;75186;147;4541;454;60;45;213;145;111;120;84;95;113;147;87
2039;1247923;13696;12081;466;384416;3942;76366;168;4596;451;86;57;219;162;99;173;117;120;156;168;82
2040;1249538;14141;12603;475;389667;3947;77444;188;4616;460;87;54;228;150;115;147;104;114;132;188;101
2041;1251076;14009;12878;460;395049;3910;78402;179;4679;466;93;61;250;133;115;233;167;173;218;179;86
2042;1252207;15349;13025;439;400195;3858;79679;158;4664;427;81;61;203;132;112;219;160;170;205;158;77
