Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered;Polypectomies
2023;1122832;13958;859;320;309297;5147;23187;89;1390;433;40;33;194;137;109;61;45;46;60;89;49
2024;1135931;14995;1205;349;315831;4625;23290;111;1459;423;51;43;192;128;111;185;135;135;168;111;60
2025;1149721;13742;2000;326;321258;4574;24175;50;1399;424;26;28;207;112;103;74;52;57;70;50;24
2026;1161463;13459;3019;329;326568;4577;24089;48;1458;446;22;20;197;130;121;42;27;34;42;48;26
2027;1171903;14001;3986;386;331596;4600;25007;74;1531;415;36;32;198;112;109;67;41;48;58;74;38
2028;1181918;13186;4923;366;336517;4652;24861;61;1522;473;28;31;232;131;107;77;55;57;71;61;33
2029;1190181;13684;5973;401;341995;4669;25618;73;1517;464;43;42;227;130;108;72;50;55;65;73;30
2030;1197892;14419;6650;407;347651;4656;25667;60;1536;491;24;31;240;139;105;80;59;57;74;60;36
2031;1205661;14571;6880;408;353174;4633;26486;55;1577;536;28;34;250;150;130;63;42;46;60;55;27
2032;1213352;13789;7173;422;357125;4587;26398;62;1589;543;28;36;240;155;140;66;42;47;60;62;34
2033;1219968;14022;7750;447;360453;4515;27036;54;1652;505;30;33;247;132;123;70;50;54;66;54;24
2034;1226240;14132;8465;455;363619;4505;26963;50;1601;540;30;34;229;174;133;58;32;44;54;50;20
2035;1231907;14237;9140;457;366775;4478;27504;66;1655;512;37;21;271;141;116;29;19;18;25;66;29
2036;1237004;13823;10053;451;370305;4474;27364;67;1595;529;33;47;231;157;127;95;69;73;88;67;34
2037;1240774;15127;10849;517;374443;4411;27977;49;1735;538;20;38;258;138;124;35;24;25;33;49;29
2038;1245052;14323;11578;442;379075;4399;28030;73;1645;539;29;29;251;158;130;32;18;23;31;73;44
2039;1247797;13696;12117;518;384363;4356;28742;59;1728;560;18;33;254;170;121;47;32;35;44;59;41
2040;1249376;14141;12637;526;389599;4361;28860;73;1678;546;35;33;265;152;131;57;43;42;54;73;38
2041;1250880;14009;12900;504;394965;4353;29385;71;1802;563;36;36;286;146;131;102;73;74;93;71;35
2042;1251989;15349;13053;484;400109;4312;29645;49;1726;538;19;34;251;135;137;21;10;17;19;49;30
