Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered;Polypectomies
2023;1122832;13958;859;320;309297;5147;122618;531;7437;433;247;137;229;193;121;661;483;517;621;531;284
2024;1135931;14995;1205;349;315831;4183;125234;555;7552;346;267;151;189;158;115;642;443;473;598;555;288
2025;1149721;13742;2000;326;321258;3765;127809;315;7651;267;139;71;146;115;74;220;148;170;204;315;176
2026;1161463;13459;3019;329;326568;3660;129619;296;7721;250;143;89;115;109;80;357;252;266;333;296;153
2027;1171903;14001;3986;386;331596;3631;132086;308;7817;220;140;89;115;91;65;370;247;264;333;308;168
2028;1181918;13186;4924;366;336517;3644;133637;328;8077;246;168;87;145;106;76;410;290;309;384;328;160
2029;1190180;13684;5973;401;341994;3621;136031;303;8168;224;148;87;131;93;61;349;238;258;321;303;155
2030;1197891;14419;6647;403;347649;3618;138081;328;8208;260;155;78;152;115;70;335;230;243;308;328;173
2031;1205663;14571;6864;392;353176;3558;140541;296;8344;285;154;95;150;120;74;288;201;212;270;296;142
2032;1213370;13789;7148;393;357136;3522;142486;319;8608;292;156;91;152;125;80;378;259;285;349;319;163
2033;1220011;14022;7715;407;360483;3444;143673;291;8608;266;136;78;146;97;81;326;223;239;301;291;155
2034;1226318;14132;8428;415;363676;3436;145126;336;8697;280;148;80;134;125;89;340;228;253;311;336;188
2035;1232022;14237;9100;409;366850;3383;146187;307;8797;253;145;71;149;108;70;324;221;230;297;307;162
2036;1237159;13823;10008;395;370396;3397;147626;323;8782;293;149;81;155;124;82;320;218;233;291;323;174
2037;1240974;15127;10765;418;374552;3314;148916;310;9094;285;137;78;168;110;66;286;196;213;268;310;173
2038;1245336;14323;11519;354;379203;3294;150787;336;9042;293;160;86;169;127;71;409;285;304;377;336;176
2039;1248140;13696;11983;360;384505;3234;152669;340;9183;294;158;87;152;133;80;330;219;232;296;340;182
2040;1249853;14141;12491;342;389783;3224;155039;340;9371;300;159;81;166;133;79;314;218;244;290;340;181
2041;1251503;14009;12817;365;395205;3195;156767;358;9455;295;163;93;162;126;77;370;259;277;345;358;195
2042;1252695;15349;13008;383;400358;3135;159457;353;9368;279;162;98;151;113;79;408;289;303;375;353;191
