Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered;Polypectomies
2023;1122832;13958;859;320;309297;5147;30727;107;1824;433;45;36;196;137;109;78;53;60;72;107;62
2024;1135931;14995;1205;349;315831;4607;31203;127;1937;421;68;53;193;132;111;248;178;189;233;127;59
2025;1149721;13742;2000;326;321258;4542;32090;75;1902;415;29;30;203;112;99;77;57;61;75;75;46
2026;1161463;13459;3019;329;326568;4529;32257;77;1892;434;42;34;199;132;111;103;74;78;101;77;35
2027;1171903;14001;3986;386;331596;4535;33223;91;1967;399;44;39;190;111;103;120;87;86;106;91;47
2028;1181918;13186;4923;366;336517;4586;33216;75;2050;459;30;28;226;132;103;81;60;64;76;75;45
2029;1190181;13684;5973;401;341995;4603;34119;90;2014;451;41;50;217;119;106;110;73;79;100;90;49
2030;1197892;14419;6650;407;347651;4586;34257;82;2090;477;38;38;231;143;103;97;68;69;88;82;44
2031;1205661;14571;6878;407;353174;4555;35261;67;2106;511;32;31;241;149;122;71;54;53;66;67;35
2032;1213354;13789;7172;420;357125;4522;35258;72;2107;526;28;34;235;147;138;98;68;75;90;72;44
2033;1219971;14022;7744;441;360453;4457;36011;80;2201;496;39;37;249;129;120;98;66;71;90;80;41
2034;1226249;14132;8459;447;363624;4430;35981;87;2178;519;41;42;227;167;124;108;71;78;99;87;46
2035;1231922;14237;9136;452;366785;4387;36632;76;2217;496;38;29;255;140;110;76;46;57;70;76;38
2036;1237023;13823;10047;446;370317;4389;36597;78;2153;511;39;52;224;151;123;107;71;78;101;78;39
2037;1240799;15127;10842;508;374459;4333;37284;78;2281;515;35;43;246;141;120;61;39;41;53;78;43
2038;1245084;14323;11578;443;379095;4315;37424;92;2200;522;52;44;254;150;126;133;94;98;121;92;40
2039;1247829;13696;12113;505;384378;4270;38313;84;2258;536;40;36;256;167;117;68;48;50;65;84;44
2040;1249412;14141;12639;523;389616;4274;38458;94;2271;528;37;30;256;151;128;55;33;43;52;94;57
2041;1250914;14009;12895;490;394977;4263;39221;93;2372;545;36;35;277;140;129;75;52;56;70;93;57
2042;1252028;15349;13052;485;400120;4218;39562;76;2322;507;46;45;237;140;131;74;48;58;67;76;30
