Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;31442;1940;71;209;154;113;543;2360;1781;5132;547;9816;10817;184.0;817.0;325.0;243.0;246.0;302.0;114.0
2024;31909;2092;93;204;154;114;711;2304;1781;5177;565;9973;11041;187.0;881.0;472.0;346.0;351.0;439.0;144.0
2025;32804;1982;56;204;126;97;428;2304;1458;4405;483;8595;9621;192.0;834.0;198.0;140.0;159.0;191.0;75.0
2026;32949;1959;49;201;139;108;375;2270;1608;4905;497;9158;10176;193.0;825.0;195.0;134.0;145.0;182.0;65.0
2027;33912;2054;54;197;122;108;413;2225;1411;4905;481;8954;10018;199.0;865.0;167.0;112.0;110.0;144.0;85.0
2028;33925;2125;47;229;146;111;359;2586;1689;5041;533;9675;10769;199.0;895.0;160.0;115.0;124.0;152.0;74.0
2029;34806;2088;63;233;131;108;482;2631;1515;4905;535;9533;10616;204.0;879.0;178.0;131.0;140.0;167.0;84.0
2030;35002;2165;57;245;155;107;436;2767;1793;4859;564;9855;10971;205.0;911.0;160.0;106.0;108.0;145.0;81.0
2031;35977;2184;53;246;169;128;405;2778;1955;5813;596;10951;12081;211.0;919.0;202.0;148.0;151.0;188.0;79.0
2032;35990;2188;60;245;162;137;459;2767;1874;6222;604;11322;12454;211.0;921.0;245.0;176.0;185.0;225.0;80.0
2033;36752;2272;55;253;138;122;421;2857;1596;5541;568;10415;11588;216.0;957.0;175.0;121.0;127.0;161.0;68.0
2034;36708;2248;55;230;175;127;421;2597;2024;5768;587;10810;11971;215.0;946.0;159.0;103.0;121.0;148.0;71.0
2035;37361;2298;42;265;149;116;321;2993;1724;5268;572;10306;11492;219.0;967.0;114.0;67.0;84.0;104.0;79.0
2036;37341;2231;74;235;165;125;566;2654;1909;5677;599;10806;11964;219.0;939.0;211.0;147.0;157.0;200.0;80.0
2037;38026;2351;63;260;149;121;482;2936;1724;5495;593;10637;11850;223.0;990.0;176.0;118.0;129.0;165.0;73.0
2038;38181;2296;64;257;165;132;489;2902;1909;5995;618;11295;12486;224.0;967.0;199.0;136.0;151.0;184.0;96.0
2039;39086;2351;63;259;179;124;482;2925;2071;5631;625;11109;12328;229.0;990.0;168.0;110.0;114.0;151.0;92.0
2040;39232;2364;53;277;169;133;405;3128;1955;6040;632;11528;12753;230.0;995.0;176.0;123.0;132.0;166.0;92.0
2041;40023;2451;54;292;149;128;413;3298;1724;5813;623;11248;12515;235.0;1032.0;214.0;156.0;156.0;194.0;80.0
2042;40387;2394;61;242;145;133;466;2733;1677;6040;581;10916;12161;237.0;1008.0;167.0;118.0;128.0;153.0;69.0
