Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;AsymtomaticCCRDiscovered
2023;56323;3607;133;220;192;125;1017;2485;2221;5677;670;11400;13249;330.0;1519.0;556.0;237.0
2024;57009;3599;127;219;167;126;971;2473;1932;5722;639;11098;12947;334.0;1515.0;582.0;239.0
2025;57635;3618;154;208;163;98;1178;2349;1885;4451;623;9863;11724;338.0;1523.0;628.0;257.0
2026;58745;3644;132;181;182;105;1009;2044;2105;4768;600;9926;11805;345.0;1534.0;523.0;245.0
2027;60539;3791;137;174;152;101;1048;1965;1758;4587;564;9358;11309;355.0;1596.0;464.0;271.0
2028;61364;3961;165;184;142;90;1262;2078;1643;4087;581;9070;11098;360.0;1668.0;753.0;291.0
2029;62496;3821;134;161;122;84;1025;1818;1411;3815;501;8069;10045;367.0;1609.0;519.0;228.0
2030;63512;4076;137;169;168;89;1048;1909;1943;4042;563;8942;11030;372.0;1716.0;603.0;261.0
2031;65284;4057;125;197;168;101;956;2225;1943;4587;591;9711;11802;383.0;1708.0;611.0;244.0
2032;67266;4190;131;206;173;100;1002;2326;2001;4541;610;9870;12029;395.0;1764.0;626.0;254.0
2033;66784;4239;137;186;162;88;1048;2101;1874;3996;573;9019;11196;392.0;1785.0;528.0;248.0
2034;67428;4229;150;177;172;109;1147;1999;1990;4950;608;10086;12261;395.0;1780.0;630.0;280.0
2035;68193;4262;131;191;155;92;1002;2157;1793;4178;569;9130;11324;400.0;1794.0;465.0;268.0
2036;69787;4295;150;198;160;103;1147;2236;1851;4678;611;9912;12129;409.0;1808.0;614.0;272.0
2037;71628;4554;145;206;184;90;1109;2326;2128;4087;625;9650;11987;420.0;1917.0;602.0;295.0
2038;71847;4504;146;216;172;83;1116;2439;1990;3769;617;9314;11631;421.0;1896.0;624.0;273.0
2039;72843;4541;144;189;185;98;1101;2134;2140;4451;616;9826;12165;427.0;1912.0;608.0;260.0
2040;73181;4523;153;203;185;114;1170;2293;2140;5177;655;10780;13113;429.0;1904.0;665.0;299.0
2041;74361;4609;160;197;171;89;1224;2225;1978;4042;617;9469;11845;436.0;1940.0;753.0;279.0
2042;75681;4615;175;203;161;96;1338;2293;1862;4360;635;9853;12240;444.0;1943.0;654.0;304.0
2043;75410;4857;167;222;190;83;1277;2507;2198;3769;662;9751;12238;442.0;2045.0;810.0;317.0
2044;76997;4836;165;229;192;100;1262;2586;2221;4541;686;10610;13098;452.0;2036.0;673.0;312.0
2045;76953;4766;165;212;175;107;1262;2394;2024;4859;659;10539;12997;451.0;2007.0;637.0;272.0
2046;78041;4845;166;190;186;90;1269;2146;2152;4087;632;9654;12152;458.0;2040.0;688.0;307.0
2047;79428;4908;146;181;204;89;1116;2044;2360;4042;620;9562;12094;466.0;2066.0;664.0;294.0
2048;78714;4918;146;199;187;103;1116;2247;2163;4678;635;10204;12737;462.0;2071.0;616.0;290.0
2049;80510;4906;168;238;213;80;1285;2688;2464;3633;699;10070;12607;472.0;2065.0;722.0;304.0
2050;80382;4975;147;213;172;92;1124;2405;1990;4178;624;9697;12262;471.0;2094.0;647.0;295.0
2051;80785;5030;163;218;190;124;1247;2462;2198;5631;695;11538;14130;474.0;2118.0;657.0;317.0
2052;81444;4877;161;203;195;92;1231;2293;2256;4178;651;9958;12489;478.0;2053.0;745.0;286.0
2053;81018;5023;151;209;180;96;1155;2360;2082;4360;636;9957;12547;475.0;2115.0;612.0;283.0
2054;82005;5080;176;232;211;112;1346;2620;2441;5086;731;11493;14113;481.0;2139.0;787.0;324.0
2055;81929;5124;167;226;211;131;1277;2552;2441;5949;735;12219;14857;481.0;2157.0;709.0;309.0
2056;82756;5038;171;219;212;121;1308;2473;2452;5495;723;11728;14334;485.0;2121.0;673.0;316.0
2057;83874;5282;186;199;200;117;1422;2247;2313;5313;702;11295;14011;492.0;2224.0;667.0;334.0
2058;83521;5288;190;229;204;121;1453;2586;2360;5495;744;11894;14610;490.0;2226.0;800.0;339.0
2059;84799;5231;188;232;229;123;1438;2620;2649;5586;772;12293;14992;497.0;2202.0;768.0;352.0
2060;83698;5170;169;216;208;113;1292;2439;2406;5132;706;11269;13937;491.0;2177.0;615.0;319.0
2061;83335;5156;177;216;209;107;1354;2439;2418;4859;709;11070;13730;489.0;2171.0;700.0;341.0
2062;84009;5273;172;236;192;117;1315;2665;2221;5313;717;11514;14227;493.0;2220.0;734.0;325.0
2063;83610;5277;192;224;189;120;1468;2530;2186;5450;725;11634;14346;490.0;2222.0;677.0;341.0
2064;85194;5403;188;246;196;100;1438;2778;2267;4541;730;11024;13799;500.0;2275.0;890.0;354.0
2065;83873;5328;185;236;193;100;1415;2665;2233;4541;714;10854;13589;492.0;2243.0;698.0;339.0
2066;82614;5281;169;214;201;97;1292;2417;2325;4405;681;10439;13147;485.0;2223.0;668.0;326.0
2067;82554;5129;167;215;195;103;1277;2428;2256;4678;680;10639;13282;484.0;2159.0;698.0;299.0
2068;82324;5230;196;234;195;112;1499;2643;2256;5086;737;11484;14169;483.0;2202.0;763.0;346.0
2069;83317;5308;180;229;210;111;1377;2586;2429;5041;730;11433;14157;489.0;2235.0;730.0;333.0
2070;80679;4982;166;209;224;106;1269;2360;2591;4814;705;11034;13604;473.0;2097.0;639.0;324.0
2071;78716;4919;164;211;177;118;1254;2383;2047;5359;670;11043;13576;462.0;2071.0;633.0;284.0
2072;78933;4884;164;237;242;111;1254;2676;2799;5041;754;11770;14289;463.0;2056.0;629.0;322.0
2073;77709;4871;148;242;184;120;1132;2733;2128;5450;694;11443;13950;456.0;2051.0;539.0;288.0
2074;79756;4936;165;238;194;108;1262;2688;2244;4905;705;11099;13645;468.0;2078.0;739.0;316.0
2075;76958;4815;160;200;204;92;1224;2259;2360;4178;656;10021;12499;451.0;2027.0;696.0;284.0
2076;75274;4608;153;217;198;104;1170;2451;2290;4723;672;10634;13015;441.0;1940.0;590.0;303.0
2077;75013;4693;156;228;173;99;1193;2575;2001;4496;656;10265;12681;440.0;1976.0;555.0;286.0
2078;74237;4600;149;204;176;86;1139;2304;2036;3906;615;9385;11757;435.0;1937.0;691.0;279.0
2079;77150;4768;173;236;203;86;1323;2665;2348;3906;698;10242;12701;452.0;2007.0;687.0;317.0
2080;74451;4677;147;230;152;102;1124;2597;1758;4632;631;10111;12517;437.0;1969.0;586.0;264.0
2081;72680;4585;160;219;218;95;1224;2473;2522;4314;692;10533;12889;426.0;1930.0;556.0;292.0
2082;72418;4603;161;214;186;116;1231;2417;2152;5268;677;11068;13431;425.0;1938.0;685.0;305.0
2083;72051;4470;147;230;157;87;1124;2597;1816;3951;621;9488;11793;423.0;1882.0;429.0;251.0
2084;75625;4678;154;211;193;104;1178;2383;2233;4723;662;10517;12930;444.0;1969.0;549.0;289.0
2085;72590;4511;167;222;180;108;1277;2507;2082;4905;677;10771;13096;426.0;1899.0;648.0;277.0
2086;70950;4402;151;213;166;103;1155;2405;1920;4678;633;10158;12427;416.0;1853.0;613.0;266.0
2087;70680;4467;154;200;185;94;1178;2259;2140;4269;633;9846;12142;415.0;1881.0;713.0;291.0
2088;69733;4371;174;209;182;82;1331;2360;2105;3724;647;9520;11769;409.0;1840.0;689.0;293.0
2089;72991;4515;144;209;178;107;1101;2360;2059;4859;638;10379;12708;428.0;1901.0;543.0;263.0
2090;69776;4223;146;221;196;100;1116;2496;2267;4541;663;10420;12607;409.0;1778.0;609.0;276.0
2091;68854;4284;142;173;159;103;1086;1954;1839;4678;577;9557;11765;404.0;1804.0;570.0;256.0
2092;68489;4222;132;213;170;105;1009;2405;1966;4768;620;10148;12327;402.0;1777.0;525.0;227.0
2093;68504;4301;158;189;175;108;1208;2134;2024;4905;630;10271;12484;402.0;1811.0;620.0;276.0
2094;70097;4257;110;193;189;101;841;2180;2186;4587;593;9794;11997;411.0;1792.0;453.0;236.0
2095;67182;4233;141;199;176;90;1078;2247;2036;4087;606;9448;11624;394.0;1782.0;457.0;257.0
2096;67716;4267;150;222;185;75;1147;2507;2140;3406;632;9200;11393;397.0;1796.0;586.0;267.0
2097;66471;4045;139;203;166;94;1063;2293;1920;4269;602;9545;11638;390.0;1703.0;487.0;242.0
2098;66997;4154;132;202;182;70;1009;2281;2105;3179;586;8574;10716;393.0;1749.0;526.0;264.0
2099;67586;4198;131;212;192;99;1002;2394;2221;4496;634;10113;12276;396.0;1767.0;541.0;245.0
2100;65974;4002;132;188;175;109;1009;2123;2024;4950;604;10106;12178;387.0;1685.0;503.0;246.0
2101;67713;4139;134;218;174;90;1025;2462;2013;4087;616;9587;11727;397.0;1743.0;506.0;251.0
2102;66268;4039;160;216;166;104;1224;2439;1920;4723;646;10306;12395;389.0;1700.0;691.0;283.0
2103;67837;4220;176;206;164;96;1346;2326;1897;4360;642;9929;12104;398.0;1777.0;718.0;294.0
2104;66752;4108;130;201;156;96;994;2270;1805;4360;583;9429;11550;392.0;1729.0;457.0;234.0
2105;65288;4112;108;202;174;98;826;2281;2013;4451;582;9571;11685;383.0;1731.0;469.0;228.0
2106;66547;4070;117;221;172;87;895;2496;1990;3951;597;9332;11435;390.0;1713.0;461.0;229.0
2107;65839;4133;137;189;159;92;1048;2134;1839;4178;577;9199;11325;386.0;1740.0;491.0;246.0
2108;68184;4206;135;196;177;87;1032;2213;2047;3951;595;9243;11414;400.0;1771.0;619.0;263.0
2109;65503;4032;122;207;162;84;933;2338;1874;3815;575;8960;11041;384.0;1697.0;476.0;230.0
2110;65181;3996;153;199;175;91;1170;2247;2024;4133;618;9574;11638;382.0;1682.0;612.0;268.0
2111;67204;4140;136;216;159;94;1040;2439;1839;4269;605;9587;11724;394.0;1743.0;583.0;245.0
2112;65396;4121;154;184;149;115;1178;2078;1724;5223;602;10203;12322;384.0;1735.0;616.0;253.0
2113;68773;4261;132;185;162;100;1009;2089;1874;4541;579;9513;11710;403.0;1794.0;453.0;245.0
2114;65703;4092;125;197;184;83;956;2225;2128;3769;589;9078;11186;385.0;1723.0;568.0;243.0
2115;65685;4110;151;202;180;77;1155;2281;2082;3497;610;9015;11130;385.0;1730.0;552.0;255.0
2116;67373;4168;138;183;165;77;1055;2067;1909;3497;563;8528;10678;395.0;1755.0;597.0;260.0
2117;66039;4183;155;201;171;92;1185;2270;1978;4178;619;9611;11759;387.0;1761.0;550.0;257.0
2118;68748;4356;142;191;187;104;1086;2157;2163;4723;624;10129;12366;403.0;1834.0;588.0;271.0
2119;65933;4035;133;199;164;117;1017;2247;1897;5313;613;10474;12560;387.0;1699.0;362.0;261.0
2120;65907;4031;134;175;178;95;1025;1976;2059;4314;582;9374;11458;387.0;1697.0;614.0;244.0
2121;67048;4041;138;184;143;94;1055;2078;1654;4269;559;9056;11150;393.0;1701.0;486.0;245.0
2122;65686;4106;135;214;179;96;1032;2417;2071;4360;624;9880;11994;385.0;1729.0;458.0;247.0
2123;68098;4189;126;195;155;79;964;2202;1793;3588;555;8547;10710;399.0;1764.0;465.0;225.0
2124;66071;4262;136;206;173;97;1040;2326;2001;4405;612;9772;11954;388.0;1794.0;582.0;247.0
2125;66062;4100;160;160;170;102;1224;1807;1966;4632;592;9629;11742;387.0;1726.0;625.0;255.0
2126;66929;4179;126;192;167;90;964;2168;1932;4087;575;9151;11303;393.0;1759.0;454.0;251.0
2127;66013;4115;134;190;152;94;1025;2146;1758;4269;570;9198;11317;387.0;1732.0;468.0;237.0
2128;68140;4255;140;195;179;93;1071;2202;2071;4224;607;9568;11759;400.0;1791.0;607.0;268.0
2129;66417;4105;128;187;144;94;979;2112;1666;4269;553;9026;11144;390.0;1728.0;473.0;226.0
