Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;AsymtomaticCCRDiscovered
2023;1122832;13760;852;0;309296;5142;99523;417;5884;433.0;417.0;233.0;250.0;242.0;125.0;1011.0;417.0
2024;1135740;15706;1281;0;315832;4292;102431;448;6097;367.0;448.0;223.0;241.0;235.0;116.0;980.0;448.0
2025;1150165;11650;2004;0;321257;3954;104442;258;6144;299.0;258.0;157.0;173.0;141.0;86.0;595.0;258.0
2026;1159811;13920;2958;0;326567;3892;107981;258;6289;293.0;258.0;139.0;149.0;167.0;96.0;604.0;258.0
2027;1170773;14681;3929;0;331592;3849;109991;250;6413;262.0;250.0;145.0;150.0;132.0;85.0;595.0;250.0
2028;1181525;14440;5039;0;336512;3900;112919;283;6727;268.0;283.0;140.0;165.0;151.0;95.0;626.0;283.0
2029;1190926;14469;6016;0;341991;3882;114884;254;6774;271.0;254.0;132.0;169.0;135.0;89.0;500.0;254.0
2030;1199379;12753;6423;0;347653;3882;116689;245;6877;298.0;245.0;132.0;170.0;162.0;79.0;530.0;245.0
2031;1205709;14470;6950;0;353191;3872;117798;279;6890;336.0;279.0;141.0;204.0;174.0;96.0;506.0;279.0
2032;1213229;13607;7245;0;357130;3797;119005;283;7060;343.0;283.0;157.0;187.0;178.0;104.0;597.0;283.0
2033;1219591;12146;7596;0;360476;3707;119563;256;7088;315.0;256.0;142.0;191.0;147.0;91.0;664.0;256.0
2034;1224141;15538;8404;0;363621;3661;120742;259;7101;338.0;259.0;134.0;180.0;169.0;114.0;507.0;259.0
2035;1231275;13757;9092;0;366811;3658;121696;287;7222;303.0;287.0;149.0;198.0;149.0;94.0;610.0;287.0
2036;1235940;13066;10103;0;370352;3622;123113;259;7196;338.0;259.0;132.0;189.0;179.0;97.0;501.0;259.0
2037;1238903;14681;10941;0;374460;3579;124150;295;7460;331.0;295.0;158.0;203.0;179.0;86.0;739.0;295.0
2038;1242643;15122;11409;0;379117;3498;124580;272;7357;343.0;272.0;176.0;196.0;161.0;82.0;713.0;272.0
