Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;AsymtomaticCCRDiscovered
2023;143456;9017;281;281;294;133;2149;3173;3401;6040;989;14763;19400;841.0;3796.0;1365.0;556.0
2024;147578;9357;333;244;252;121;2547;2756;2915;5495;950;13713;18518;866.0;3939.0;1482.0;618.0
2025;151534;9257;191;177;151;84;1461;1999;1747;3815;603;9022;13808;889.0;3897.0;824.0;353.0
2026;154755;9363;167;150;151;87;1277;1694;1747;3951;555;8669;13519;908.0;3942.0;718.0;317.0
2027;158483;9553;164;138;150;76;1254;1558;1735;3451;528;7998;12950;930.0;4022.0;626.0;321.0
2028;161683;9911;172;155;142;80;1315;1750;1643;3633;549;8341;13462;948.0;4173.0;800.0;334.0
2029;165488;10036;176;148;147;72;1346;1671;1700;3270;543;7987;13183;971.0;4225.0;739.0;338.0
2030;169146;10230;191;160;181;83;1461;1807;2094;3769;615;9131;14430;992.0;4307.0;851.0;372.0
2031;173363;10482;181;170;168;85;1384;1920;1943;3860;604;9107;14537;1017.0;4413.0;788.0;341.0
2032;177301;10813;165;171;173;80;1262;1931;2001;3633;589;8827;14419;1040.0;4552.0;789.0;333.0
2033;180456;10887;168;183;137;77;1285;2067;1585;3497;565;8434;14075;1058.0;4583.0;698.0;322.0
2034;183565;11167;185;169;171;92;1415;1909;1978;4178;617;9480;15258;1077.0;4701.0;794.0;357.0
2035;186779;11324;152;177;162;79;1162;1999;1874;3588;570;8623;14485;1095.0;4767.0;537.0;339.0
2036;189812;11458;182;166;179;94;1392;1875;2071;4269;621;9607;15544;1113.0;4824.0;711.0;355.0
2037;193318;11979;171;172;186;71;1308;1942;2152;3224;600;8626;14803;1134.0;5043.0;708.0;345.0
2038;196679;11913;210;187;173;86;1606;2112;2001;3906;656;9625;15794;1154.0;5015.0;920.0;389.0
2039;200208;12193;211;162;197;90;1614;1830;2279;4087;660;9810;16117;1174.0;5133.0;888.0;395.0
2040;203334;12412;188;185;202;96;1438;2089;2337;4360;671;10224;16643;1193.0;5226.0;721.0;407.0
2041;206126;12580;202;174;183;80;1545;1965;2117;3633;639;9260;15765;1209.0;5296.0;907.0;398.0
2042;208839;12452;206;155;167;85;1575;1750;1932;3860;613;9117;15584;1225.0;5242.0;808.0;376.0
2043;210761;12781;180;199;191;67;1377;2247;2209;3043;637;8876;15493;1236.0;5381.0;827.0;383.0
2044;213390;12949;215;187;183;72;1644;2112;2117;3270;657;9143;15847;1252.0;5452.0;876.0;391.0
