Year;Fit;Colonoscopy;Fit Costs;Colonoscopy Costs;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered;Polypectomies
2023;61330;3949;360;1663;66;212;153;114;505;2394;1770;5177;545;9846;11869;220;156;169;206;225;113
2024;62266;4094;365;1724;84;196;141;116;642;2213;1631;5268;537;9754;11843;346;245;254;318;283;149
2025;63971;3963;375;1668;50;189;115;91;382;2134;1330;4133;445;7979;10022;148;97;114;140;159;93
2026;64423;3934;378;1656;49;160;124;105;375;1807;1434;4768;438;8384;10418;186;130;140;175;132;66
2027;66153;4085;388;1720;59;170;103;97;451;1920;1191;4405;429;7967;10075;209;140;149;187;170;82
2028;66488;4229;390;1780;45;194;122;87;344;2191;1411;3951;448;7897;10067;180;124;132;167;155;82
2029;68138;4176;400;1758;61;193;116;98;466;2180;1342;4451;468;8439;10597;168;116;128;158;158;78
2030;68560;4373;402;1841;57;204;136;95;436;2304;1573;4314;492;8627;10870;153;105;115;145;174;90
2031;70402;4343;413;1828;50;220;136;108;382;2485;1573;4905;514;9345;11586;162;110;116;152;142;72
2032;70722;4386;415;1847;57;196;133;121;436;2213;1538;5495;507;9682;11944;184;129;138;173;159;90
2033;71893;4527;422;1906;50;213;120;108;382;2405;1388;4905;491;9080;11408;124;86;96;118;148;83
2034;72163;4478;423;1885;47;195;149;121;359;2202;1724;5495;512;9780;12088;118;77;88;109;166;102
2035;73108;4512;429;1900;41;208;124;97;314;2349;1434;4405;470;8502;10831;133;87;94;121;147;79
2036;73551;4519;431;1903;64;210;141;105;489;2372;1631;4768;520;9260;11594;234;169;175;217;168;87
2037;74395;4661;436;1962;57;224;129;101;436;2530;1492;4587;511;9045;11443;166;112;119;150;147;73
2038;75186;4688;441;1974;45;213;145;111;344;2405;1677;5041;514;9467;11882;120;84;95;113;147;87
2039;76366;4764;448;2006;57;219;162;99;436;2473;1874;4496;537;9279;11733;173;117;120;156;168;82
2040;77444;4804;454;2023;54;228;150;115;413;2575;1735;5223;547;9946;12423;147;104;114;132;188;101
2041;78402;4858;460;2045;61;250;133;115;466;2823;1538;5223;559;10050;12555;233;167;173;218;179;86
2042;79679;4822;467;2030;61;203;132;112;466;2293;1527;5086;508;9372;11869;219;160;170;205;158;77
