Year;Fit;Colonoscopy;Fit Costs;Colonoscopy Costs;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered;Polypectomies
2023;30727;1931;180;813;36;196;137;109;275;2213;1585;4950;478;9023;10016;78;53;60;72;107;62
2024;31203;2064;183;869;53;193;132;111;405;2180;1527;5041;489;9153;10205;248;178;189;233;127;59
2025;32090;1977;188;832;30;203;112;99;229;2293;1296;4496;444;8314;9334;77;57;61;75;75;46
2026;32257;1969;189;829;34;199;132;111;260;2247;1527;5041;476;9075;10093;103;74;78;101;77;35
2027;33223;2058;195;866;39;190;111;103;298;2146;1284;4678;443;8406;9467;120;87;86;106;91;47
2028;33216;2125;195;895;28;226;132;103;214;2552;1527;4678;489;8971;10061;81;60;64;76;75;45
2029;34119;2104;200;886;50;217;119;106;382;2451;1377;4814;492;9024;10110;110;73;79;100;90;49
2030;34257;2172;201;914;38;231;143;103;291;2609;1654;4678;515;9232;10347;97;68;69;88;82;44
2031;35261;2173;207;915;31;241;149;122;237;2722;1724;5541;543;10224;11346;71;54;53;66;67;35
2032;35258;2179;207;917;34;235;147;138;260;2654;1700;6267;554;10881;12005;98;68;75;90;72;44
2033;36011;2281;211;960;37;249;129;120;283;2812;1492;5450;535;10037;11208;98;66;71;90;80;41
2034;35981;2265;211;954;42;227;167;124;321;2564;1932;5631;560;10448;11613;108;71;78;99;87;46
2035;36632;2293;215;965;29;255;140;110;222;2880;1619;4996;534;9717;10897;76;46;57;70;76;38
2036;36597;2231;215;939;52;224;151;123;398;2530;1747;5586;550;10261;11415;107;71;78;101;78;39
2037;37284;2359;219;993;43;246;141;120;329;2778;1631;5450;550;10188;11400;61;39;41;53;78;43
2038;37424;2292;219;965;44;254;150;126;336;2868;1735;5722;574;10661;11845;133;94;98;121;92;40
2039;38313;2342;225;986;36;256;167;117;275;2891;1932;5313;576;10411;11622;68;48;50;65;84;44
2040;38458;2365;226;996;30;256;151;128;229;2891;1747;5813;565;10680;11902;55;33;43;52;94;57
2041;39221;2465;230;1038;35;277;140;129;268;3128;1619;5858;581;10873;12141;75;52;56;70;93;57
2042;39562;2398;232;1010;45;237;140;131;344;2676;1619;5949;553;10588;11830;74;48;58;67;76;30
