Year;Fit;Colonoscopy;Fit Costs;Colonoscopy Costs;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered;Polypectomies
2023;91872;5922;539;2493;97;219;179;115;742;2473;2071;5223;610;10509;13541;352;237;270;329;392;215
2024;93792;6063;550;2553;136;190;157;108;1040;2146;1816;4905;591;9907;13010;624;444;461;579;431;212
2025;95828;5986;562;2520;69;163;120;80;528;1841;1388;3633;432;7390;10472;241;167;186;227;229;119
2026;96996;5956;569;2508;76;147;112;95;581;1660;1296;4314;430;7851;10928;297;201;225;281;226;108
2027;99116;6157;581;2592;75;141;101;77;574;1592;1168;3497;394;6831;10004;277;192;205;258;238;119
2028;100007;6277;587;2643;52;168;103;76;398;1897;1191;3451;399;6937;10167;237;160;171;215;221;124
2029;102136;6351;599;2674;55;165;104;78;421;1863;1203;3542;402;7029;10302;186;129;138;174;227;135
2030;103235;6486;605;2731;82;177;121;82;627;1999;1400;3724;462;7750;11086;343;237;249;312;262;136
2031;105495;6503;619;2738;56;185;129;90;428;2089;1492;4087;460;8096;11453;204;144;144;188;229;124
2032;106586;6668;625;2807;69;181;135;102;528;2044;1562;4632;487;8766;12198;290;202;211;267;224;114
2033;107728;6712;632;2826;62;191;111;84;474;2157;1284;3815;448;7730;11188;183;124;131;169;214;112
2034;108647;6725;637;2831;64;166;139;110;489;1875;1608;4996;479;8968;12436;193;132;148;179;245;130
2035;109584;6822;643;2872;47;184;110;89;359;2078;1272;4042;430;7751;11266;153;108;115;143;212;113
2036;110531;6813;648;2868;80;182;144;89;612;2055;1666;4042;495;8375;11891;307;218;239;288;251;120
2037;111598;7035;655;2962;64;195;128;85;489;2202;1481;3860;472;8032;11649;253;176;181;228;213;111
2038;112972;7025;663;2958;78;191;134;98;596;2157;1550;4451;501;8754;12375;330;228;253;309;253;131
2039;114360;7148;671;3009;70;190;150;98;535;2146;1735;4451;508;8867;12547;217;139;144;197;249;130
2040;116283;7270;682;3061;63;192;147;108;482;2168;1700;4905;510;9255;12998;174;113;127;157;264;142
2041;117439;7348;689;3094;79;202;144;92;604;2281;1666;4178;517;8729;12512;337;227;252;312;292;160
2042;119533;7269;701;3060;83;167;124;95;635;1886;1434;4314;469;8269;12030;299;209;225;275;245;122
