Year;Fit;Colonoscopy;Fit Costs;Colonoscopy Costs;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered;Polypectomies
2023;23187;1479;136;623;33;194;137;109;252;2191;1585;4950;473;8978;9737;61;45;46;60;89;49
2024;23290;1570;137;661;43;192;128;111;329;2168;1481;5041;474;9019;9817;185;135;135;168;111;60
2025;24175;1449;142;610;28;207;112;103;214;2338;1296;4678;450;8526;9278;74;52;57;70;50;24
2026;24089;1506;141;634;20;197;130;121;153;2225;1504;5495;468;9377;10152;42;27;34;42;48;26
2027;25007;1605;147;676;32;198;112;109;245;2236;1296;4950;451;8727;9550;67;41;48;58;74;38
2028;24861;1583;146;666;31;232;131;107;237;2620;1515;4859;501;9231;10043;77;55;57;71;61;33
2029;25618;1590;150;669;42;227;130;108;321;2564;1504;4905;507;9294;10113;72;50;55;65;73;30
2030;25667;1596;151;672;31;240;139;105;237;2710;1608;4768;515;9323;10146;80;59;57;74;60;36
2031;26486;1632;155;687;34;250;150;130;260;2823;1735;5904;564;10722;11564;63;42;46;60;55;27
2032;26398;1651;155;695;36;240;155;140;275;2710;1793;6358;571;11136;11986;66;42;47;60;62;34
2033;27036;1706;159;718;33;247;132;123;252;2789;1527;5586;535;10154;11031;70;50;54;66;54;24
2034;26963;1651;158;695;34;229;174;133;260;2586;2013;6040;570;10899;11752;58;32;44;54;50;20
2035;27504;1721;161;725;21;271;141;116;161;3060;1631;5268;549;10120;11006;29;19;18;25;66;29
2036;27364;1662;160;700;47;231;157;127;359;2609;1816;5768;562;10552;11412;95;69;73;88;67;34
2037;27977;1784;164;751;38;258;138;124;291;2914;1596;5631;558;10432;11347;35;24;25;33;49;29
2038;28030;1718;164;723;29;251;158;130;222;2835;1828;5904;568;10789;11676;32;18;23;31;73;44
2039;28742;1787;169;752;33;254;170;121;252;2868;1966;5495;578;10581;11502;47;32;35;44;59;41
2040;28860;1751;169;737;33;265;152;131;252;2993;1758;5949;581;10952;11858;57;43;42;54;73;38
2041;29385;1873;172;789;36;286;146;131;275;3230;1689;5949;599;11143;12104;102;73;74;93;71;35
2042;29645;1775;174;747;34;251;135;137;260;2835;1562;6222;557;10879;11800;21;10;17;19;49;30
