Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;7786;483;23;190;125;109;176;2146;1446;4950;447;8718;8967;46.0;203.0;11.0;6.0;10.0;13.0;14.0
2024;8019;538;29;200;127;113;222;2259;1469;5132;469;9082;9356;47.0;227.0;104.0;76.0;76.0;95.0;30.0
2025;8121;472;27;214;123;107;206;2417;1423;4859;471;8905;9152;48.0;199.0;52.0;37.0;36.0;47.0;17.0
2026;8310;506;20;208;139;125;153;2349;1608;5677;492;9787;10049;49.0;213.0;17.0;11.0;11.0;18.0;18.0
2027;8425;521;24;215;110;116;184;2428;1272;5268;465;9152;9420;49.0;219.0;27.0;17.0;21.0;25.0;17.0
2028;8576;522;23;249;135;118;176;2812;1562;5359;525;9909;10179;50.0;220.0;15.0;8.0;12.0;15.0;17.0
2029;8645;527;37;241;123;117;283;2722;1423;5313;518;9741;10014;51.0;222.0;41.0;28.0;33.0;40.0;22.0
2030;8774;503;27;252;152;120;206;2846;1758;5450;551;10260;10523;51.0;212.0;43.0;26.0;29.0;38.0;18.0
2031;8996;515;26;261;159;140;199;2948;1839;6358;586;11344;11614;53.0;217.0;36.0;25.0;26.0;33.0;15.0
2032;9032;558;38;257;171;153;291;2902;1978;6948;619;12119;12407;53.0;235.0;66.0;42.0;49.0;62.0;23.0
2033;9208;559;31;267;144;132;237;3015;1666;5995;574;10913;11202;54.0;235.0;28.0;16.0;17.0;26.0;19.0
2034;9148;568;27;243;193;145;206;2744;2233;6585;608;11768;12061;54.0;239.0;36.0;25.0;30.0;35.0;22.0
2035;9315;572;20;281;144;124;153;3173;1666;5631;569;10623;10919;55.0;241.0;2.0;-5.0;-1.0;1.0;19.0
2036;9288;566;36;261;165;139;275;2948;1909;6313;601;11445;11737;54.0;238.0;55.0;41.0;43.0;50.0;22.0
2037;9447;585;35;270;151;129;268;3049;1747;5858;585;10922;11223;55.0;246.0;30.0;19.0;21.0;25.0;16.0
2038;9496;577;42;269;160;135;321;3038;1851;6131;606;11341;11640;56.0;243.0;80.0;57.0;59.0;77.0;34.0
2039;9716;608;33;281;172;136;252;3173;1990;6176;622;11591;11904;57.0;256.0;29.0;21.0;20.0;29.0;17.0
2040;9784;579;25;278;163;145;191;3140;1885;6585;611;11801;12102;57.0;244.0;43.0;31.0;32.0;39.0;24.0
2041;9929;624;32;295;158;141;245;3332;1828;6403;626;11808;12129;58.0;263.0;74.0;51.0;51.0;67.0;28.0
2042;10073;578;40;270;151;137;306;3049;1747;6222;598;11324;11626;59.0;243.0;56.0;40.0;44.0;53.0;24.0
