Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;AsymtomaticCCRDiscovered
2023;1122832;13890;849;0;309296;5135;34419;134;2023;433.0;134.0;84.0;212.0;157.0;114.0;273.0;134.0
2024;1135873;14868;1283;0;315833;4568;35731;153;2176;410.0;153.0;100.0;200.0;148.0;115.0;377.0;153.0
2025;1149458;14406;1916;0;321257;4480;37311;94;2161;416.0;94.0;65.0;211.0;135.0;99.0;185.0;94.0
2026;1161948;13768;3023;0;326567;4462;38212;90;2182;429.0;90.0;56.0;198.0;144.0;121.0;237.0;90.0
2027;1172693;14120;4025;0;331596;4459;39855;106;2356;379.0;106.0;69.0;188.0;124.0;104.0;248.0;106.0
2028;1182788;12943;4976;0;336520;4535;40429;96;2436;415.0;96.0;59.0;216.0;131.0;105.0;220.0;96.0
2029;1190755;13421;5874;0;341993;4564;41764;96;2441;437.0;96.0;75.0;215.0;131.0;112.0;214.0;96.0
2030;1198302;14081;6510;0;347661;4564;41833;98;2488;457.0;98.0;60.0;225.0;159.0;111.0;137.0;98.0
2031;1205873;15149;7067;0;353187;4524;43422;99;2589;491.0;99.0;66.0;240.0;169.0;115.0;219.0;99.0
2032;1213955;13933;7208;0;357126;4492;43112;104;2543;510.0;104.0;84.0;233.0;157.0;140.0;273.0;104.0
2033;1220680;13174;7683;0;360447;4410;44081;96;2653;489.0;96.0;67.0;251.0;141.0;126.0;185.0;96.0
2034;1226171;14099;8278;0;363617;4353;43857;121;2585;507.0;121.0;77.0;228.0;186.0;137.0;195.0;121.0
2035;1231992;14300;9140;0;366780;4284;44436;122;2633;460.0;122.0;74.0;253.0;138.0;117.0;244.0;122.0
2036;1237152;13502;10169;0;370289;4287;43796;115;2547;481.0;115.0;78.0;233.0;163.0;122.0;229.0;115.0
2037;1240485;14248;10931;0;374412;4241;44010;93;2629;483.0;93.0;75.0;240.0;150.0;111.0;211.0;93.0
2038;1243802;13462;11385;0;379068;4219;43377;109;2562;500.0;109.0;75.0;248.0;165.0;121.0;319.0;109.0
2039;1245879;13006;12162;0;384329;4199;43720;117;2586;511.0;117.0;76.0;253.0;182.0;117.0;228.0;117.0
2040;1246723;14728;12561;0;389570;4213;43569;130;2540;508.0;130.0;70.0;264.0;170.0;134.0;260.0;130.0
2041;1248890;14495;13119;0;394919;4164;44298;107;2598;518.0;107.0;67.0;275.0;154.0;129.0;200.0;107.0
2042;1250266;13777;13055;0;400053;4131;44623;97;2564;482.0;97.0;73.0;241.0;141.0;124.0;241.0;97.0
