Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;1122832;14834;882;0;309296;5148;15657;55;934;433.0;55.0;43.0;197.0;138.0;110.0;108.0;78.0;85.0;105.0;55.0
2024;1136784;13204;1256;0;315832;4662;15900;63;987;432.0;63.0;55.0;195.0;132.0;113.0;211.0;152.0;151.0;195.0;63.0
2025;1148732;13946;2075;0;321260;4645;16366;40;921;444.0;40.0;38.0;213.0;125.0;108.0;108.0;80.0;85.0;102.0;40.0
2026;1160603;13833;3030;0;326569;4648;16441;30;973;463.0;30.0;26.0;206.0;137.0;124.0;92.0;66.0;70.0;88.0;30.0
2027;1171406;13525;3923;0;331595;4661;16900;41;1021;427.0;41.0;38.0;205.0;115.0;110.0;109.0;76.0;77.0;97.0;41.0
2028;1181008;13977;4976;0;336513;4749;16999;35;1005;491.0;35.0;33.0;241.0;137.0;115.0;82.0;59.0;63.0;79.0;35.0
2029;1190009;14158;5867;0;341992;4752;17328;41;996;474.0;41.0;46.0;229.0;128.0;112.0;78.0;54.0;61.0;73.0;41.0
2030;1198300;12704;6453;0;347659;4772;17530;51;1015;514.0;51.0;42.0;252.0;155.0;116.0;122.0;83.0;86.0;112.0;51.0
2031;1204551;14492;6881;0;353197;4729;17901;38;1015;554.0;38.0;42.0;258.0;156.0;136.0;120.0;83.0;87.0;112.0;38.0
2032;1212162;14068;7294;0;357145;4680;18061;38;1083;572.0;38.0;38.0;260.0;165.0;147.0;96.0;66.0;74.0;89.0;38.0
2033;1218936;14585;7842;0;360441;4623;18311;37;1133;531.0;37.0;36.0;264.0;141.0;127.0;65.0;42.0;47.0;60.0;37.0
2034;1225679;13185;8446;0;363596;4566;18391;44;1073;562.0;44.0;43.0;240.0;185.0;138.0;98.0;70.0;77.0;92.0;44.0
2035;1230418;14016;9134;0;366734;4545;18660;38;1100;528.0;38.0;29.0;275.0;146.0;116.0;83.0;51.0;62.0;75.0;38.0
2036;1235300;13947;10025;0;370284;4543;18691;41;1080;555.0;41.0;48.0;247.0;168.0;133.0;120.0;86.0;89.0;112.0;41.0
2037;1239222;14253;10917;0;374402;4495;18986;37;1162;554.0;37.0;45.0;263.0;152.0;131.0;40.0;24.0;29.0;38.0;37.0
2038;1242558;14298;11557;0;379078;4477;19157;55;1100;554.0;55.0;45.0;269.0;160.0;135.0;118.0;80.0;86.0;108.0;55.0
2039;1245299;14608;12208;0;384363;4433;19492;47;1126;584.0;47.0;46.0;281.0;178.0;126.0;102.0;69.0;71.0;96.0;47.0
2040;1247699;13915;12616;0;389587;4422;19742;46;1129;568.0;46.0;34.0;275.0;166.0;139.0;64.0;44.0;49.0;58.0;46.0
2041;1248998;15271;12927;0;394925;4431;19871;36;1203;579.0;36.0;33.0;292.0;155.0;135.0;102.0;75.0;74.0;93.0;36.0
2042;1251342;13439;13297;0;400066;4420;20288;39;1110;556.0;39.0;49.0;265.0;144.0;137.0;111.0;80.0;86.0;106.0;39.0
2043;1251484;12882;13292;0;405602;4397;20381;43;1172;582.0;43.0;37.0;288.0;174.0;126.0;94.0;71.0;69.0;82.0;43.0
2044;1251074;13855;13804;0;410973;4383;20839;38;1222;629.0;38.0;46.0;295.0;178.0;148.0;67.0;39.0;44.0;59.0;38.0
2045;1251125;14599;14267;0;416289;4313;20952;39;1273;630.0;39.0;54.0;288.0;171.0;156.0;117.0;83.0;85.0;103.0;39.0
2046;1251457;15102;14713;0;421231;4220;21389;49;1235;612.0;49.0;45.0;273.0;202.0;141.0;102.0;74.0;75.0;96.0;49.0
2047;1251846;14131;15193;0;425148;4188;21489;57;1272;580.0;57.0;58.0;261.0;177.0;141.0;188.0;130.0;140.0;174.0;57.0
2048;1250784;13682;15159;0;429431;4165;21745;51;1296;599.0;51.0;40.0;281.0;183.0;146.0;102.0;71.0;76.0;97.0;51.0
2049;1249307;14160;15727;0;433022;4137;21953;41;1271;638.0;41.0;42.0;326.0;185.0;126.0;90.0;67.0;66.0;85.0;41.0
2050;1247740;14481;15695;0;436994;4126;22167;57;1308;576.0;57.0;50.0;283.0;165.0;135.0;128.0;94.0;90.0;117.0;57.0
2051;1246526;13800;15624;0;440867;4132;22380;37;1308;625.0;37.0;42.0;289.0;172.0;159.0;97.0;71.0;75.0;92.0;37.0
2052;1244702;13410;15351;0;444443;4131;22486;38;1253;614.0;38.0;41.0;287.0;187.0;137.0;67.0;48.0;52.0;65.0;38.0
2053;1242761;13774;15135;0;447328;4118;22741;39;1384;604.0;39.0;45.0;285.0;170.0;143.0;63.0;42.0;49.0;59.0;39.0
2054;1241400;15029;14674;0;449057;4123;22674;42;1234;677.0;42.0;53.0;299.0;205.0;162.0;97.0;67.0;74.0;90.0;42.0
2055;1241755;14457;14512;0;450083;4106;22954;61;1351;669.0;61.0;53.0;286.0;204.0;187.0;97.0;63.0;70.0;92.0;61.0
2056;1241700;14596;14280;0;450653;4039;22752;46;1314;670.0;46.0;51.0;307.0;187.0;171.0;132.0;94.0;99.0;123.0;46.0
2057;1242016;14073;14109;0;450613;3988;22978;55;1352;618.0;55.0;51.0;276.0;185.0;161.0;85.0;52.0;67.0;79.0;55.0
2058;1241980;15312;14020;0;451965;4007;22815;49;1359;658.0;49.0;54.0;306.0;187.0;160.0;64.0;37.0;47.0;58.0;49.0
2059;1243272;14041;14285;0;453256;3975;23162;47;1393;691.0;47.0;47.0;315.0;211.0;165.0;124.0;93.0;89.0;111.0;47.0
2060;1243028;13555;14311;0;454001;3901;23001;52;1360;645.0;52.0;47.0;296.0;202.0;152.0;127.0;89.0;94.0;118.0;52.0
2061;1242272;13793;14716;0;454573;3899;23228;55;1340;649.0;55.0;50.0;312.0;206.0;136.0;63.0;38.0;49.0;58.0;55.0
2062;1241349;14966;14915;0;453577;3898;23049;43;1423;678.0;43.0;51.0;315.0;188.0;167.0;122.0;87.0;92.0;110.0;43.0
2063;1241400;13035;15016;0;451797;3868;23066;34;1370;671.0;34.0;44.0;320.0;185.0;156.0;103.0;79.0;78.0;94.0;34.0
2064;1239419;13885;15679;0;449383;3836;22840;50;1353;663.0;50.0;53.0;322.0;191.0;147.0;120.0;86.0;89.0;107.0;50.0
2065;1237625;14185;15996;0;445843;3828;22734;58;1340;660.0;58.0;53.0;320.0;191.0;154.0;125.0;88.0;97.0;120.0;58.0
2066;1235814;14389;16093;0;442085;3787;22494;49;1337;664.0;49.0;50.0;313.0;207.0;143.0;104.0;70.0;81.0;96.0;49.0
2067;1234110;14465;16348;0;439507;3796;22389;52;1318;672.0;52.0;51.0;325.0;203.0;145.0;85.0;58.0;65.0;80.0;52.0
2068;1232227;14752;16522;0;437300;3775;22165;46;1343;669.0;46.0;47.0;304.0;198.0;166.0;85.0;63.0;58.0;76.0;46.0
2069;1230457;13968;16551;0;433356;3783;22187;56;1286;689.0;56.0;46.0;336.0;202.0;161.0;121.0;87.0;94.0;116.0;56.0
2070;1227874;14493;16884;0;428709;3712;21781;45;1260;634.0;45.0;43.0;286.0;211.0;139.0;73.0;52.0;58.0;67.0;45.0
2071;1225483;13036;17077;0;424959;3722;21729;46;1292;681.0;46.0;65.0;323.0;179.0;160.0;90.0;60.0;69.0;87.0;46.0
2072;1221442;13297;17168;0;419489;3640;21425;42;1208;697.0;42.0;42.0;321.0;213.0;163.0;60.0;36.0;41.0;55.0;42.0
2073;1217571;14758;17078;0;415861;3522;21157;40;1270;702.0;40.0;44.0;349.0;186.0;163.0;80.0;59.0;60.0;75.0;40.0
2074;1215251;14615;17414;0;411186;3431;21143;50;1209;675.0;50.0;55.0;337.0;171.0;162.0;92.0;62.0;70.0;87.0;50.0
2075;1212452;14393;17450;0;407601;3350;20736;38;1229;669.0;38.0;42.0;300.0;213.0;152.0;88.0;67.0;71.0;84.0;38.0
2076;1209395;13110;17727;0;404052;3331;20751;33;1208;596.0;33.0;34.0;288.0;167.0;140.0;62.0;38.0;47.0;60.0;33.0
2077;1204778;13730;17736;0;401065;3433;20353;45;1232;605.0;45.0;50.0;292.0;165.0;143.0;82.0;59.0;64.0;79.0;45.0
2078;1200772;15354;17776;0;398574;3435;20582;37;1187;639.0;37.0;50.0;296.0;176.0;154.0;93.0;69.0;72.0;89.0;37.0
2079;1198350;13354;17669;0;396279;3414;20069;38;1166;613.0;38.0;44.0;292.0;184.0;131.0;51.0;26.0;34.0;48.0;38.0
2080;1194035;13999;17670;0;393757;3409;20341;41;1250;630.0;41.0;50.0;299.0;167.0;155.0;86.0;62.0;64.0;81.0;41.0
2081;1190364;13071;17523;0;392250;3380;19766;42;1183;696.0;42.0;55.0;312.0;225.0;146.0;70.0;50.0;48.0;64.0;42.0
2082;1185912;14162;17305;0;389979;3271;20189;47;1186;639.0;47.0;58.0;310.0;164.0;154.0;102.0;66.0;73.0;93.0;47.0
2083;1182769;13479;16943;0;388240;3261;19579;58;1183;630.0;58.0;54.0;320.0;181.0;133.0;159.0;111.0;120.0;144.0;58.0
2084;1179305;13624;16987;0;384853;3230;20030;46;1146;609.0;46.0;46.0;293.0;186.0;130.0;113.0;80.0;88.0;108.0;46.0
2085;1175942;14414;16899;0;382085;3271;19153;43;1124;634.0;43.0;42.0;303.0;183.0;149.0;130.0;96.0;96.0;121.0;43.0
2086;1173457;13728;16664;0;379487;3254;19679;43;1167;604.0;43.0;58.0;281.0;165.0;143.0;120.0;78.0;87.0;113.0;43.0
2087;1170521;14060;16126;0;376446;3209;18883;37;1095;613.0;37.0;49.0;290.0;175.0;136.0;89.0;55.0;62.0;80.0;37.0
2088;1168455;14016;16060;0;374746;3180;19410;47;1142;613.0;47.0;50.0;291.0;191.0;128.0;95.0;60.0;70.0;86.0;47.0
2089;1166411;12367;15912;0;372755;3149;18732;42;1065;638.0;42.0;38.0;303.0;197.0;142.0;70.0;53.0;56.0;65.0;42.0
2090;1162866;13069;15809;0;369711;3075;19249;32;1058;605.0;32.0;40.0;277.0;177.0;143.0;118.0;90.0;87.0;107.0;32.0
2091;1160126;15022;15861;0;368557;3064;18476;35;1075;564.0;35.0;44.0;257.0;163.0;135.0;81.0;55.0;60.0;78.0;35.0
2092;1159287;14713;15847;0;366415;3087;19131;41;1081;603.0;41.0;42.0;306.0;166.0;130.0;61.0;38.0;46.0;58.0;41.0
2093;1158153;13884;15637;0;362988;3080;18326;40;1041;610.0;40.0;44.0;274.0;185.0;147.0;108.0;78.0;78.0;99.0;40.0
2094;1156400;13205;15515;0;359855;3045;18902;27;1070;545.0;27.0;28.0;266.0;151.0;127.0;22.0;11.0;18.0;21.0;27.0
2095;1154090;14167;15267;0;358797;3063;17975;23;1108;581.0;23.0;40.0;251.0;175.0;138.0;64.0;40.0;49.0;60.0;23.0
2096;1152990;14347;15406;0;358524;3061;18787;35;1201;597.0;35.0;51.0;293.0;167.0;121.0;84.0;53.0;65.0;79.0;35.0
2097;1151931;14847;15163;0;357467;3066;17883;43;1018;591.0;43.0;45.0;279.0;182.0;128.0;104.0;68.0;70.0;91.0;43.0
2098;1151615;14102;15385;0;358474;3035;18576;33;1033;570.0;33.0;25.0;270.0;179.0;129.0;74.0;51.0;55.0;69.0;33.0
2099;1150332;13490;15070;0;358344;3027;18032;30;1071;585.0;30.0;33.0;264.0;187.0;131.0;34.0;24.0;28.0;33.0;30.0
2100;1148752;13860;14919;0;359161;2985;18535;37;1052;574.0;37.0;45.0;259.0;171.0;136.0;68.0;43.0;46.0;63.0;37.0
2101;1147693;14391;14765;0;359589;2980;18160;30;1033;607.0;30.0;36.0;289.0;177.0;135.0;54.0;35.0;35.0;51.0;30.0
2102;1147319;14165;14660;0;359231;2965;18606;45;1057;570.0;45.0;54.0;263.0;180.0;118.0;106.0;73.0;74.0;97.0;45.0
2103;1146824;14492;14311;0;359354;2988;18108;37;1029;554.0;37.0;41.0;264.0;160.0;126.0;77.0;54.0;56.0;70.0;37.0
2104;1147005;14006;14413;0;360438;2991;18480;39;1057;527.0;39.0;38.0;260.0;151.0;117.0;108.0;70.0;74.0;98.0;39.0
2105;1146598;13929;14228;0;360910;3006;18268;27;1101;591.0;27.0;38.0;278.0;156.0;146.0;55.0;41.0;39.0;50.0;27.0
2106;1146299;14988;13997;0;361755;3011;18501;37;1106;571.0;37.0;34.0;292.0;165.0;117.0;68.0;44.0;53.0;63.0;37.0
2107;1147290;13840;13819;0;361636;2964;18324;27;1060;583.0;27.0;39.0;260.0;170.0;141.0;95.0;68.0;70.0;88.0;27.0
2108;1147311;13837;13623;0;362252;2974;18520;35;1094;578.0;35.0;55.0;265.0;165.0;128.0;75.0;52.0;51.0;68.0;35.0
2109;1147525;15284;13521;0;361318;2934;18397;42;1088;550.0;42.0;52.0;272.0;158.0;110.0;84.0;52.0;60.0;79.0;42.0
2110;1149288;14669;13568;0;360614;2936;18435;32;1085;568.0;32.0;44.0;256.0;177.0;123.0;80.0;53.0;62.0;77.0;32.0
2111;1150389;14719;13541;0;360220;2959;18334;34;1077;568.0;34.0;43.0;277.0;154.0;128.0;53.0;37.0;43.0;53.0;34.0
2112;1151567;13551;13344;0;360483;2930;18376;32;1121;570.0;32.0;43.0;263.0;154.0;142.0;84.0;58.0;64.0;81.0;32.0
2113;1151774;13485;13316;0;359965;2912;18299;33;1039;552.0;33.0;42.0;265.0;155.0;123.0;85.0;55.0;59.0;79.0;33.0
2114;1151943;13812;13581;0;358816;2955;18332;35;1064;559.0;35.0;36.0;234.0;174.0;150.0;73.0;50.0;55.0;66.0;35.0
2115;1152174;14142;13321;0;358461;2952;18243;42;1039;569.0;42.0;49.0;290.0;155.0;117.0;110.0;73.0;81.0;99.0;42.0
2116;1152995;13416;13445;0;358623;2925;18327;36;1071;569.0;36.0;41.0;295.0;154.0;115.0;106.0;72.0;76.0;98.0;36.0
2117;1152966;14575;13193;0;359081;2898;18232;36;1079;529.0;36.0;47.0;245.0;147.0;126.0;126.0;84.0;92.0;117.0;36.0
2118;1154348;13850;13400;0;360635;2928;18386;39;1104;594.0;39.0;39.0;287.0;165.0;142.0;73.0;47.0;54.0;69.0;39.0
2119;1154798;13865;13398;0;361344;2874;18391;32;1055;556.0;32.0;47.0;261.0;156.0;124.0;70.0;52.0;48.0;62.0;32.0
2120;1155265;13958;13049;0;362758;2884;18411;45;1089;553.0;45.0;49.0;253.0;162.0;134.0;64.0;36.0;49.0;58.0;45.0
2121;1156174;14767;13250;0;362400;2887;18502;29;1041;520.0;29.0;29.0;251.0;146.0;123.0;61.0;42.0;46.0;57.0;29.0
2122;1157691;13655;13178;0;361980;2934;18387;39;1080;563.0;39.0;44.0;247.0;182.0;129.0;44.0;30.0;33.0;42.0;39.0
2123;1158168;15381;13262;0;361810;2894;18504;25;1120;578.0;25.0;30.0;288.0;147.0;138.0;37.0;23.0;28.0;34.0;25.0
2124;1160287;13384;12982;0;361930;2880;18482;40;1138;552.0;40.0;57.0;249.0;165.0;121.0;76.0;54.0;50.0;70.0;40.0
2125;1160689;13713;13213;0;362199;2828;18481;40;1048;536.0;40.0;31.0;254.0;171.0;120.0;120.0;87.0;92.0;110.0;40.0
2126;1161189;14583;13076;0;361978;2824;18543;34;1130;573.0;34.0;39.0;272.0;173.0;123.0;115.0;79.0;79.0;106.0;34.0
2127;1162696;14172;13383;0;361639;2792;18470;35;1033;532.0;35.0;44.0;250.0;152.0;121.0;56.0;37.0;42.0;56.0;35.0
2128;1163485;14073;13255;0;362998;2816;18408;43;1054;531.0;43.0;45.0;247.0;154.0;128.0;99.0;75.0;76.0;93.0;43.0
2129;1164303;14378;13265;0;362675;2857;18601;41;1085;517.0;41.0;38.0;235.0;163.0;122.0;66.0;47.0;50.0;63.0;41.0
2130;1165416;14649;13201;0;361897;2885;18454;27;1037;537.0;27.0;35.0;261.0;146.0;122.0;-1.0;-9.0;0.0;-3.0;27.0
2131;1166864;12495;13303;0;361603;2884;18464;34;1120;540.0;34.0;49.0;247.0;159.0;119.0;110.0;84.0;82.0;102.0;34.0
2132;1166056;14394;13334;0;362398;2892;18426;38;1107;563.0;38.0;47.0;268.0;161.0;125.0;90.0;62.0;66.0;81.0;38.0
2133;1167116;14197;13189;0;362519;2913;18556;41;1109;574.0;41.0;31.0;301.0;155.0;128.0;5.0;-1.0;10.0;7.0;41.0
2134;1168124;14315;13123;0;361875;2882;18378;32;1115;550.0;32.0;38.0;269.0;153.0;122.0;53.0;34.0;45.0;52.0;32.0
2135;1169316;14595;13310;0;362305;2895;18400;43;1073;527.0;43.0;42.0;249.0;151.0;128.0;86.0;56.0;62.0;78.0;43.0
2136;1170601;13720;13183;0;362975;2921;18390;33;1073;549.0;33.0;36.0;278.0;155.0;113.0;68.0;44.0;49.0;63.0;33.0
2137;1171138;13462;13128;0;363239;2899;18534;31;1100;602.0;31.0;40.0;282.0;180.0;131.0;45.0;25.0;35.0;42.0;31.0
