Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;AsymtomaticCCRDiscovered
2023;125349;7944;267;275;283;127;2042;3106;3274;5768;952;14190;18269;735.0;3344.0;1332.0;519.0
2024;128039;8132;310;234;245;119;2371;2643;2834;5404;908;13252;17427;751.0;3424.0;1449.0;567.0
2025;130530;7979;183;176;145;86;1399;1988;1677;3906;590;8970;13095;766.0;3359.0;806.0;324.0
2026;132359;8001;153;155;145;92;1170;1750;1677;4178;545;8775;12919;776.0;3368.0;641.0;286.0
2027;134787;8113;154;144;147;81;1178;1626;1700;3679;526;8183;12390;791.0;3416.0;601.0;300.0
2028;136409;8388;159;163;151;87;1216;1841;1747;3951;560;8755;13086;800.0;3531.0;740.0;316.0
2029;138756;8472;163;157;141;77;1247;1773;1631;3497;538;8148;12529;814.0;3567.0;687.0;314.0
2030;140898;8530;178;164;172;83;1361;1852;1990;3769;597;8972;13389;826.0;3591.0;740.0;336.0
2031;143373;8656;163;170;170;87;1247;1920;1966;3951;590;9084;13569;841.0;3644.0;716.0;306.0
2032;145389;8938;163;182;180;87;1247;2055;2082;3951;612;9335;13951;853.0;3763.0;799.0;327.0
2033;146579;8928;161;189;143;83;1231;2134;1654;3769;576;8788;13407;860.0;3759.0;670.0;313.0
2034;148040;9019;164;172;157;101;1254;1942;1816;4587;594;9599;14264;868.0;3797.0;753.0;309.0
2035;149138;9104;137;169;158;83;1048;1909;1828;3769;547;8554;13262;875.0;3833.0;489.0;294.0
2036;150610;9118;172;174;182;94;1315;1965;2105;4269;622;9654;14376;883.0;3839.0;705.0;335.0
2037;151942;9381;161;180;162;73;1231;2033;1874;3315;576;8453;13293;891.0;3949.0;678.0;296.0
2038;153886;9389;184;197;166;85;1407;2225;1920;3860;632;9412;14268;903.0;3953.0;869.0;340.0
