Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;AsymtomaticCCRDiscovered
2023;17202;1092;49;200;135;110;375;2259;1562;4996;494;9192;9753;101.0;460.0;140.0;61.0
2024;18010;1186;55;199;134;115;421;2247;1550;5223;503;9441;10046;106.0;499.0;199.0;75.0
2025;18731;1128;46;211;121;103;352;2383;1400;4678;481;8813;9398;110.0;475.0;100.0;46.0
2026;19280;1200;39;208;141;125;298;2349;1631;5677;513;9955;10573;113.0;505.0;153.0;51.0
2027;20083;1258;38;202;115;104;291;2281;1330;4723;459;8625;9273;118.0;530.0;128.0;47.0
2028;20308;1248;36;238;137;112;275;2688;1585;5086;523;9634;10278;119.0;525.0;108.0;44.0
2029;20952;1292;53;231;131;117;405;2609;1515;5313;532;9842;10509;123.0;544.0;80.0;59.0
2030;20920;1276;38;242;154;113;291;2733;1781;5132;547;9937;10597;123.0;537.0;128.0;44.0
2031;21763;1304;39;255;171;130;298;2880;1978;5904;595;11060;11737;128.0;549.0;86.0;55.0
2032;21568;1330;55;255;159;145;421;2880;1839;6585;614;11725;12411;126.0;560.0;143.0;59.0
2033;22118;1411;48;255;140;131;367;2880;1619;5949;574;10815;11539;130.0;594.0;117.0;46.0
2034;21884;1366;50;237;193;134;382;2676;2233;6085;614;11376;12079;128.0;575.0;143.0;67.0
2035;22298;1377;38;276;144;124;291;3117;1666;5631;582;10705;11416;131.0;580.0;102.0;60.0
2036;21823;1301;54;242;163;127;413;2733;1885;5768;586;10799;11475;128.0;548.0;132.0;48.0
2037;22079;1434;54;259;153;125;413;2925;1770;5677;591;10785;11518;129.0;604.0;82.0;51.0
2038;21603;1293;49;272;157;128;375;3072;1816;5813;606;11076;11747;127.0;544.0;137.0;54.0
2039;21909;1345;44;274;170;125;336;3094;1966;5677;613;11073;11767;128.0;566.0;127.0;50.0
2040;21738;1318;45;279;164;142;344;3151;1897;6449;630;11841;12523;127.0;555.0;121.0;71.0
2041;22148;1396;47;294;154;134;359;3320;1781;6085;629;11545;12263;130.0;588.0;144.0;58.0
2042;22129;1293;49;262;139;137;375;2959;1608;6222;587;11164;11838;130.0;544.0;128.0;49.0
