Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;AsymtomaticCCRDiscovered
2023;1122832;14479;851;0;309296;5136;68680;300;4095;433.0;300.0;150.0;244.0;219.0;120.0;591.0;300.0
2024;1136460;13618;1244;0;315832;4404;71574;327;4270;380.0;327.0;187.0;219.0;184.0;117.0;720.0;327.0
2025;1148834;14566;2054;0;321258;4177;74479;216;4332;345.0;216.0;125.0;200.0;137.0;99.0;459.0;216.0
2026;1161346;13501;2976;0;326567;4106;76714;198;4455;346.0;198.0;110.0;164.0;157.0;113.0;398.0;198.0
2027;1171871;13960;4039;0;331594;4066;79551;216;4643;299.0;216.0;119.0;162.0;149.0;85.0;507.0;216.0
2028;1181792;13842;4971;0;336513;4105;81316;192;4866;310.0;192.0;95.0;179.0;136.0;92.0;359.0;192.0
2029;1190663;13362;5946;0;341990;4137;83311;190;4916;328.0;190.0;113.0;171.0;136.0;98.0;357.0;190.0
2030;1198079;14687;6462;0;347661;4174;84359;219;5001;363.0;219.0;109.0;199.0;166.0;108.0;408.0;219.0
2031;1206304;12458;6867;0;353201;4103;86538;206;5101;397.0;206.0;110.0;211.0;185.0;97.0;422.0;206.0
2032;1211895;14510;7308;0;357147;4050;87060;203;5137;402.0;203.0;108.0;202.0;177.0;118.0;402.0;203.0
2033;1219097;14103;7698;0;360464;3979;88196;201;5253;369.0;201.0;118.0;203.0;147.0;102.0;435.0;201.0
2034;1225502;14013;8457;0;363626;3930;88698;249;5169;383.0;249.0;137.0;189.0;191.0;115.0;611.0;249.0
2035;1231058;14598;9308;0;366787;3890;88815;205;5260;369.0;205.0;110.0;220.0;146.0;98.0;417.0;205.0
2036;1236348;14072;10008;0;370313;3869;88261;209;5156;385.0;209.0;112.0;206.0;171.0;105.0;434.0;209.0
2037;1240412;13779;10830;0;374437;3822;88139;190;5275;386.0;190.0;111.0;214.0;163.0;88.0;397.0;190.0
2038;1243361;14743;11280;0;379060;3806;87277;209;5165;402.0;209.0;128.0;230.0;158.0;95.0;479.0;209.0
2039;1246824;14701;12207;0;384382;3776;87428;213;5193;402.0;213.0;131.0;213.0;174.0;97.0;474.0;213.0
2040;1249318;14789;12616;0;389582;3792;87703;220;5180;411.0;220.0;119.0;228.0;167.0;117.0;501.0;220.0
2041;1251491;14342;12990;0;394884;3762;88532;230;5213;411.0;230.0;129.0;235.0;168.0;109.0;475.0;230.0
2042;1252843;13999;13271;0;400093;3708;89764;225;5194;391.0;225.0;129.0;210.0;165.0;112.0;539.0;225.0
