Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;AsymtomaticCCRDiscovered
2023;1122832;13217;848;0;309296;5148;125351;515;7425;433.0;515.0;265.0;274.0;280.0;129.0;1316.0;515.0
2024;1135201;13539;1253;0;315832;4200;128040;553;7560;341.0;553.0;305.0;230.0;241.0;118.0;1403.0;553.0
2025;1147487;14837;2045;0;321258;3770;130532;326;7655;271.0;326.0;184.0;176.0;150.0;87.0;805.0;326.0
2026;1160279;13802;2968;0;326569;3670;132359;289;7716;258.0;289.0;156.0;152.0;148.0;91.0;637.0;289.0
2027;1171113;13484;3891;0;331594;3636;134783;300;7811;230.0;300.0;149.0;148.0;151.0;82.0;585.0;300.0
2028;1180706;14561;5014;0;336514;3660;136403;320;8074;242.0;320.0;163.0;170.0;139.0;90.0;755.0;320.0
2029;1190253;14235;5905;0;341998;3620;138758;310;8159;229.0;310.0;158.0;156.0;148.0;77.0;677.0;310.0
2030;1198583;13663;6522;0;347653;3635;140894;339;8197;259.0;339.0;175.0;163.0;176.0;84.0;759.0;339.0
2031;1205724;14720;6886;0;353205;3557;143369;320;8348;286.0;320.0;176.0;173.0;166.0;91.0;740.0;320.0
2032;1213558;15171;7240;0;357170;3508;145394;320;8611;286.0;320.0;166.0;183.0;172.0;85.0;815.0;320.0
2033;1221489;13721;7793;0;360506;3423;146592;287;8613;258.0;287.0;149.0;183.0;132.0;81.0;579.0;287.0
2034;1227417;14396;8250;0;363654;3404;148035;318;8708;285.0;318.0;165.0;166.0;169.0;103.0;747.0;318.0
2035;1233563;13472;9276;0;366828;3378;149139;308;8815;251.0;308.0;142.0;176.0;155.0;86.0;528.0;308.0
2036;1237759;13913;10127;0;370390;3382;150613;324;8780;293.0;324.0;173.0;174.0;176.0;94.0;697.0;324.0
2037;1241545;14257;10826;0;374530;3296;151940;306;9088;286.0;306.0;162.0;184.0;175.0;71.0;720.0;306.0
2038;1244976;13803;11349;0;379191;3270;153885;340;9041;296.0;340.0;182.0;195.0;169.0;90.0;804.0;340.0
2039;1247430;13240;12045;0;384478;3243;155802;335;9175;307.0;335.0;178.0;180.0;190.0;94.0;779.0;335.0
2040;1248625;13924;12575;0;389712;3208;158218;353;9367;306.0;353.0;157.0;197.0;201.0;104.0;634.0;353.0
2041;1249974;13328;12846;0;395102;3163;159998;357;9462;287.0;357.0;184.0;190.0;187.0;83.0;846.0;357.0
2042;1250456;14537;13141;0;400255;3103;162717;331;9365;273.0;331.0;189.0;173.0;158.0;84.0;789.0;331.0
2043;1251852;13981;13508;0;405750;3096;164155;352;9705;288.0;352.0;166.0;205.0;190.0;79.0;743.0;352.0
2044;1252325;15217;13750;0;411037;3077;167219;371;9762;320.0;371.0;198.0;205.0;201.0;87.0;833.0;371.0
2045;1253792;13657;14187;0;416361;2996;168386;333;9839;316.0;333.0;163.0;197.0;189.0;100.0;696.0;333.0
2046;1253262;13617;14827;0;421301;2897;171593;335;9990;291.0;335.0;187.0;171.0;185.0;83.0;838.0;335.0
2047;1252052;12833;15178;0;425153;2910;172178;374;9861;274.0;374.0;194.0;174.0;196.0;84.0;985.0;374.0
2048;1249707;13462;15284;0;429314;2849;174779;355;10265;296.0;355.0;173.0;179.0;199.0;100.0;643.0;355.0
2049;1247885;14628;15783;0;432790;2826;175701;363;10016;333.0;363.0;178.0;241.0;207.0;70.0;780.0;363.0
2050;1246730;13429;15380;0;436778;2803;177431;372;10340;278.0;372.0;181.0;194.0;187.0;88.0;883.0;372.0
2051;1244779;14255;15632;0;440492;2821;178791;382;10383;308.0;382.0;188.0;200.0;200.0;102.0;859.0;382.0
2052;1243402;14592;15476;0;443953;2772;180306;387;10396;312.0;387.0;211.0;181.0;205.0;102.0;919.0;387.0
2053;1242518;13659;15201;0;446683;2703;181629;325;10526;303.0;325.0;160.0;193.0;186.0;89.0;604.0;325.0
2054;1240976;14038;14870;0;448388;2758;182420;386;10575;343.0;386.0;218.0;206.0;204.0;101.0;936.0;386.0
2055;1240144;14588;14587;0;449450;2699;183010;393;10783;348.0;393.0;200.0;196.0;228.0;117.0;935.0;393.0
2056;1240145;15424;14218;0;450139;2625;183091;384;10660;322.0;384.0;224.0;203.0;172.0;107.0;989.0;384.0
2057;1241351;13493;14224;0;450348;2595;183531;403;10820;304.0;403.0;226.0;196.0;177.0;108.0;873.0;403.0
2058;1240620;12977;14134;0;451932;2608;183214;394;10817;316.0;394.0;232.0;195.0;192.0;91.0;1034.0;394.0
2059;1239463;13093;14174;0;453330;2564;184966;397;10841;360.0;397.0;205.0;221.0;220.0;111.0;870.0;397.0
2060;1238382;13282;14552;0;454308;2467;184318;393;10749;312.0;393.0;194.0;204.0;199.0;108.0;739.0;393.0
2061;1237112;12405;14549;0;455017;2444;185589;405;10756;307.0;405.0;212.0;190.0;211.0;99.0;922.0;405.0
