Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;AsymtomaticCCRDiscovered
2023;1122832;14168;800;0;309297;5146;68680;300;4094;433.0;300.0;150.0;243.0;219.0;121.0;587.0;300.0
2024;1136200;14059;1212;0;315832;4413;71574;326;4270;380.0;326.0;188.0;217.0;184.0;117.0;726.0;326.0
2025;1149047;13621;2065;0;321258;4177;74477;217;4336;344.0;217.0;125.0;199.0;137.0;100.0;465.0;217.0
2026;1160603;13553;3019;0;326566;4108;76715;197;4453;346.0;197.0;108.0;163.0;158.0;114.0;377.0;197.0
2027;1171137;13998;3965;0;331592;4098;79553;200;4636;297.0;200.0;113.0;160.0;143.0;81.0;483.0;200.0
2028;1181170;14643;5019;0;336510;4121;81313;197;4865;310.0;197.0;107.0;179.0;129.0;92.0;442.0;197.0
2029;1190794;13743;5991;0;341992;4159;83313;189;4916;332.0;189.0;113.0;173.0;135.0;100.0;361.0;189.0
2030;1198546;14259;6485;0;347657;4168;84353;213;5003;361.0;213.0;105.0;204.0;161.0;104.0;406.0;213.0
2031;1206320;14035;6875;0;353184;4134;86534;206;5100;401.0;206.0;108.0;213.0;186.0;100.0;399.0;206.0
2032;1213480;14701;7225;0;357134;4079;87065;215;5141;404.0;215.0;114.0;205.0;182.0;118.0;406.0;215.0
2033;1220956;14013;7826;0;360479;3983;88193;206;5257;373.0;206.0;124.0;203.0;147.0;105.0;416.0;206.0
2034;1227143;13997;8314;0;363633;3937;88714;238;5159;388.0;238.0;126.0;188.0;189.0;123.0;536.0;238.0
2035;1232826;13608;9238;0;366771;3888;88811;207;5257;367.0;207.0;107.0;219.0;152.0;96.0;429.0;207.0
2036;1237196;13262;9862;0;370315;3867;88263;210;5153;386.0;210.0;114.0;211.0;168.0;103.0;426.0;210.0
2037;1240596;15009;10872;0;374445;3821;88135;196;5277;385.0;196.0;119.0;211.0;159.0;92.0;401.0;196.0
2038;1244733;13975;11514;0;379076;3807;87307;204;5161;390.0;204.0;130.0;217.0;155.0;92.0;516.0;204.0
2039;1247194;13097;12242;0;384371;3782;87423;225;5193;399.0;225.0;132.0;219.0;175.0;98.0;496.0;225.0
2040;1248049;13513;12450;0;389557;3781;87696;212;5164;404.0;212.0;116.0;231.0;158.0;111.0;525.0;212.0
2041;1249112;13696;12664;0;394898;3795;88518;224;5218;420.0;224.0;126.0;232.0;176.0;110.0;504.0;224.0
2042;1250144;14352;13143;0;400082;3749;89774;237;5188;393.0;237.0;130.0;209.0;176.0;115.0;487.0;237.0
