Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;AsymtomaticCCRDiscovered
2023;1122832;13520;847;0;309296;5144;17202;59;1030;433.0;59.0;47.0;200.0;136.0;109.0;127.0;59.0
2024;1135505;13954;1264;0;315831;4652;18010;65;1107;428.0;65.0;47.0;199.0;133.0;114.0;170.0;65.0
2025;1148195;14539;2035;0;321258;4628;18731;47;1082;437.0;47.0;46.0;211.0;123.0;104.0;100.0;47.0
2026;1160699;14543;2938;0;326564;4649;19277;51;1149;462.0;51.0;38.0;206.0;142.0;127.0;144.0;51.0
2027;1172304;14662;3883;0;331592;4650;20081;46;1210;412.0;46.0;37.0;202.0;115.0;104.0;123.0;46.0
2028;1183083;13356;5000;0;336510;4739;20306;45;1204;477.0;45.0;36.0;240.0;134.0;112.0;107.0;45.0
2029;1191439;13879;5952;0;341993;4758;20951;62;1233;475.0;62.0;55.0;234.0;131.0;117.0;111.0;62.0
2030;1199366;13416;6578;0;347649;4727;20912;49;1232;504.0;49.0;41.0;243.0;156.0;113.0;136.0;49.0
2031;1206204;13976;6912;0;353186;4742;21759;55;1248;540.0;55.0;39.0;254.0;172.0;130.0;70.0;55.0
2032;1213268;13412;7236;0;357138;4680;21561;56;1270;557.0;56.0;53.0;256.0;158.0;146.0;145.0;56.0
2033;1219444;14598;7810;0;360479;4598;22119;44;1364;526.0;44.0;46.0;255.0;140.0;129.0;104.0;44.0
2034;1226232;13418;8383;0;363590;4562;21886;64;1298;548.0;64.0;49.0;237.0;191.0;135.0;109.0;64.0
2035;1231267;13384;9116;0;366745;4517;22300;64;1318;523.0;64.0;41.0;277.0;145.0;124.0;119.0;64.0
2036;1235535;14299;10047;0;370303;4504;21829;55;1255;538.0;55.0;59.0;243.0;163.0;128.0;161.0;55.0
2037;1239787;12990;10988;0;374402;4457;22073;48;1384;541.0;48.0;53.0;259.0;153.0;124.0;89.0;48.0
2038;1241789;13745;11499;0;379039;4423;21598;54;1238;552.0;54.0;47.0;271.0;160.0;128.0;129.0;54.0
2039;1244035;14244;12291;0;384337;4400;21914;51;1295;562.0;51.0;47.0;273.0;169.0;124.0;126.0;51.0
2040;1245988;14772;12487;0;389531;4409;21723;67;1242;556.0;67.0;43.0;278.0;164.0;138.0;130.0;67.0
2041;1248273;13903;12822;0;394875;4414;22145;59;1335;562.0;59.0;45.0;289.0;155.0;132.0;135.0;59.0
2042;1249354;13469;13089;0;400062;4369;22137;47;1243;542.0;47.0;47.0;264.0;138.0;140.0;108.0;47.0
