Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;93892;5915;204;258;242;125;1560;2914;2799;5677;829;12950;15991;551.0;2490.0;1003.0;725.0;770.0;936.0;396.0
2024;95874;6082;230;227;219;126;1759;2564;2533;5722;802;12578;15701;562.0;2561.0;1009.0;704.0;753.0;937.0;425.0
2025;97861;5964;118;185;145;85;902;2089;1677;3860;533;8528;11613;574.0;2511.0;518.0;358.0;397.0;484.0;209.0
2026;99028;5949;135;157;136;101;1032;1773;1573;4587;529;8965;12051;581.0;2505.0;546.0;377.0;404.0;511.0;221.0
2027;101123;6154;128;161;139;90;979;1818;1608;4087;518;8492;11676;593.0;2591.0;515.0;341.0;371.0;469.0;235.0
2028;102080;6294;128;190;139;86;979;2146;1608;3906;543;8639;11888;599.0;2650.0;641.0;440.0;472.0;588.0;240.0
2029;104168;6364;128;186;144;96;979;2101;1666;4360;554;9106;12396;611.0;2679.0;501.0;346.0;374.0;462.0;236.0
2030;105349;6462;124;199;163;89;948;2247;1885;4042;575;9122;12461;618.0;2721.0;458.0;326.0;341.0;429.0;240.0
2031;107622;6515;122;203;164;101;933;2293;1897;4587;590;9710;13084;631.0;2743.0;490.0;342.0;367.0;461.0;229.0
2032;108752;6701;143;196;172;110;1094;2213;1990;4996;621;10293;13752;638.0;2821.0;631.0;432.0;471.0;580.0;254.0
2033;109916;6722;134;214;139;91;1025;2417;1608;4133;578;9183;12658;645.0;2830.0;494.0;350.0;368.0;459.0;224.0
2034;110821;6724;139;181;164;118;1063;2044;1897;5359;602;10363;13844;650.0;2831.0;544.0;370.0;400.0;500.0;243.0
2035;111792;6801;95;195;147;88;726;2202;1700;3996;525;8624;12143;656.0;2863.0;380.0;243.0;272.0;347.0;202.0
2036;112745;6819;146;196;170;99;1116;2213;1966;4496;611;9791;13323;661.0;2871.0;678.0;470.0;507.0;622.0;252.0
2037;113863;7048;134;214;154;90;1025;2417;1781;4087;592;9310;12945;668.0;2967.0;558.0;390.0;412.0;517.0;227.0
2038;115284;7031;130;218;171;108;994;2462;1978;4905;627;10339;13975;676.0;2960.0;564.0;394.0;429.0;529.0;245.0
2039;116701;7146;136;203;193;101;1040;2293;2233;4587;633;10153;13846;684.0;3009.0;495.0;334.0;349.0;451.0;252.0
2040;118637;7267;138;216;182;109;1055;2439;2105;4950;645;10549;14304;696.0;3059.0;510.0;353.0;393.0;473.0;265.0
2041;119857;7303;138;233;174;107;1055;2631;2013;4859;652;10558;14336;703.0;3075.0;598.0;407.0;446.0;554.0;264.0
2042;121986;7266;139;183;167;103;1063;2067;1932;4678;592;9740;13514;715.0;3059.0;441.0;291.0;329.0;407.0;246.0
2043;123028;7592;149;231;205;94;1139;2609;2371;4269;679;10388;14306;722.0;3196.0;638.0;456.0;491.0;602.0;299.0
2044;125400;7644;154;222;193;104;1178;2507;2233;4723;673;10641;14594;735.0;3218.0;651.0;461.0;487.0;607.0;277.0
2045;126315;7625;138;205;177;121;1055;2315;2047;5495;641;10912;14863;741.0;3210.0;560.0;393.0;421.0;513.0;242.0
2046;128724;7766;154;200;191;99;1178;2259;2209;4496;644;10142;14167;755.0;3270.0;742.0;527.0;552.0;688.0;260.0
2047;129264;7705;144;206;193;96;1101;2326;2233;4360;639;10020;14022;758.0;3244.0;723.0;512.0;532.0;662.0;287.0
2048;131233;7968;124;210;191;110;948;2372;2209;4996;635;10525;14650;770.0;3355.0;406.0;270.0;308.0;383.0;255.0
2049;131933;7766;148;238;204;90;1132;2688;2360;4087;680;10267;14311;774.0;3270.0;622.0;431.0;468.0;569.0;275.0
2050;133260;8055;149;216;188;105;1139;2439;2175;4768;658;10521;14694;782.0;3391.0;624.0;442.0;457.0;570.0;289.0
2051;134243;8092;137;232;187;120;1048;2620;2163;5450;676;11281;15475;787.0;3407.0;666.0;460.0;502.0;619.0;269.0
2052;135509;7993;161;215;199;115;1231;2428;2302;5223;690;11184;15344;795.0;3365.0;625.0;435.0;475.0;586.0;285.0
2053;136396;8144;130;228;180;104;994;2575;2082;4723;642;10374;14603;800.0;3429.0;457.0;306.0;337.0;426.0;248.0
2054;137139;8250;172;227;199;113;1315;2564;2302;5132;711;11313;15590;804.0;3473.0;740.0;517.0;566.0;692.0;279.0
2055;137380;8323;148;225;206;148;1132;2541;2383;6721;727;12777;17087;806.0;3504.0;617.0;429.0;463.0;575.0;281.0
2056;137703;8260;173;214;194;127;1323;2417;2244;5768;708;11752;16038;808.0;3478.0;684.0;470.0;495.0;627.0;287.0
2057;137738;8402;173;210;186;122;1323;2372;2152;5541;691;11388;15733;808.0;3537.0;657.0;442.0;501.0;612.0;294.0
2058;137559;8494;191;242;195;117;1461;2733;2256;5313;745;11763;16146;807.0;3576.0;819.0;576.0;609.0;751.0;323.0
2059;138789;8354;157;242;200;124;1201;2733;2313;5631;723;11878;16209;814.0;3517.0;554.0;386.0;410.0;518.0;271.0
2060;138300;8303;156;226;195;119;1193;2552;2256;5404;696;11405;15712;811.0;3496.0;547.0;364.0;415.0;518.0;297.0
2061;139060;8428;186;256;207;113;1422;2891;2394;5132;762;11839;16203;816.0;3548.0;803.0;566.0;601.0;741.0;339.0
2062;138557;8493;162;253;182;136;1239;2857;2105;6176;733;12377;16766;813.0;3576.0;634.0;437.0;475.0;579.0;298.0
2063;138423;8391;166;242;199;122;1269;2733;2302;5541;729;11845;16190;812.0;3533.0;695.0;475.0;498.0;636.0;302.0
2064;137400;8428;145;250;203;117;1109;2823;2348;5313;715;11593;15947;806.0;3548.0;603.0;417.0;446.0;554.0;283.0
2065;136955;8374;154;239;170;101;1178;2699;1966;4587;664;10430;14758;803.0;3525.0;550.0;369.0;408.0;508.0;287.0
2066;135237;8320;161;226;195;106;1231;2552;2256;4814;688;10853;15149;793.0;3503.0;687.0;479.0;523.0;646.0;285.0
2067;134657;8115;146;228;194;109;1116;2575;2244;4950;677;10885;15091;790.0;3416.0;450.0;282.0;343.0;426.0;254.0
2068;133704;8209;168;228;186;110;1285;2575;2152;4996;692;11008;15248;784.0;3456.0;645.0;445.0;474.0;596.0;283.0
2069;133276;8293;145;249;214;115;1109;2812;2475;5223;723;11619;15892;782.0;3491.0;629.0;443.0;471.0;588.0;284.0
2070;131207;7935;140;214;205;125;1071;2417;2371;5677;684;11536;15647;770.0;3341.0;510.0;348.0;379.0;470.0;252.0
2071;130308;7891;149;256;220;123;1139;2891;2545;5586;748;12161;16247;764.0;3322.0;523.0;367.0;395.0;493.0;277.0
2072;128978;7843;151;246;204;117;1155;2778;2360;5313;718;11606;15664;756.0;3302.0;643.0;470.0;487.0;596.0;268.0
2073;126874;7736;138;266;196;125;1055;3004;2267;5677;725;12003;16004;744.0;3257.0;524.0;376.0;400.0;492.0;269.0
2074;125932;7640;146;259;185;108;1116;2925;2140;4905;698;11086;15041;739.0;3216.0;566.0;396.0;416.0;526.0;251.0
2075;124294;7600;147;231;199;113;1124;2609;2302;5132;690;11167;15096;729.0;3200.0;531.0;375.0;393.0;493.0;254.0
2076;124052;7515;133;219;169;100;1017;2473;1955;4541;621;9986;13878;728.0;3164.0;555.0;382.0;419.0;515.0;243.0
2077;122210;7414;148;222;182;107;1132;2507;2105;4859;659;10603;14441;717.0;3121.0;450.0;280.0;334.0;421.0;274.0
2078;122345;7496;140;233;194;107;1071;2631;2244;4859;674;10805;14679;718.0;3156.0;588.0;411.0;429.0;542.0;274.0
2079;120990;7304;125;249;189;100;956;2812;2186;4541;663;10495;14280;710.0;3075.0;548.0;387.0;404.0;503.0;251.0
2080;120988;7402;128;232;159;114;979;2620;1839;5177;633;10615;14441;710.0;3116.0;464.0;305.0;326.0;422.0;227.0
2081;120114;7304;141;244;217;97;1078;2756;2510;4405;699;10749;14528;704.0;3075.0;532.0;355.0;393.0;492.0;243.0
2082;120508;7383;155;217;169;116;1185;2451;1955;5268;657;10859;14674;707.0;3108.0;590.0;406.0;432.0;541.0;257.0
2083;118693;7316;148;266;177;95;1132;3004;2047;4314;686;10497;14273;696.0;3080.0;586.0;403.0;442.0;543.0;266.0
2084;119566;7241;135;234;171;89;1032;2643;1978;4042;629;9695;13444;701.0;3048.0;594.0;425.0;451.0;555.0;239.0
2085;116198;7077;130;242;183;114;994;2733;2117;5177;669;11021;14682;682.0;2979.0;528.0;347.0;394.0;494.0;236.0
2086;117869;7173;128;231;158;108;979;2609;1828;4905;625;10321;14032;691.0;3020.0;500.0;355.0;381.0;469.0;226.0
2087;114411;7015;155;224;184;101;1185;2530;2128;4587;664;10430;14054;671.0;2953.0;597.0;385.0;449.0;557.0;266.0
2088;115831;6977;130;216;196;93;994;2439;2267;4224;635;9924;13540;679.0;2937.0;406.0;252.0;295.0;371.0;236.0
2089;112948;6814;117;214;174;107;895;2417;2013;4859;612;10184;13715;662.0;2869.0;386.0;263.0;287.0;357.0;207.0
