Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;AsymtomaticCCRDiscovered
2023;1122832;14023;831;0;309296;5155;68681;298;4093;433.0;298.0;149.0;244.0;217.0;121.0;592.0;298.0
2024;1136024;14564;1285;0;315833;4424;71571;329;4270;380.0;329.0;190.0;218.0;184.0;117.0;733.0;329.0
2025;1149303;13669;2045;0;321259;4197;74476;225;4336;344.0;225.0;127.0;201.0;141.0;100.0;444.0;225.0
2026;1160927;15050;2946;0;326567;4104;76716;189;4452;346.0;189.0;102.0;162.0;157.0;114.0;357.0;189.0
2027;1173031;13940;3959;0;331592;4080;79555;203;4643;297.0;203.0;115.0;159.0;142.0;84.0;494.0;203.0
2028;1183012;13546;5054;0;336509;4126;81312;199;4862;312.0;199.0;107.0;183.0;132.0;89.0;450.0;199.0
2029;1191504;14702;5973;0;341994;4159;83312;199;4920;327.0;199.0;117.0;172.0;140.0;97.0;378.0;199.0
2030;1200233;14390;6566;0;347662;4174;84360;219;5007;361.0;219.0;110.0;201.0;164.0;105.0;412.0;219.0
2031;1208057;14389;6816;0;353198;4111;86535;204;5101;394.0;204.0;109.0;211.0;182.0;96.0;430.0;204.0
2032;1215630;14354;7281;0;357156;4060;87059;209;5138;403.0;209.0;111.0;202.0;180.0;119.0;407.0;209.0
2033;1222703;15061;7772;0;360484;3981;88197;203;5254;375.0;203.0;118.0;204.0;149.0;107.0;380.0;203.0
2034;1229992;14257;8474;0;363629;3940;88700;240;5164;386.0;240.0;128.0;189.0;190.0;119.0;552.0;240.0
2035;1235775;14190;9299;0;366814;3896;88833;215;5258;360.0;215.0;115.0;216.0;146.0;98.0;445.0;215.0
2036;1240666;14428;10022;0;370317;3886;88269;219;5158;385.0;219.0;124.0;208.0;169.0;103.0;478.0;219.0
2037;1245072;13547;10796;0;374448;3813;88144;192;5277;386.0;192.0;114.0;214.0;161.0;89.0;408.0;192.0
2038;1247823;14448;11340;0;379083;3821;87298;203;5168;391.0;203.0;126.0;217.0;160.0;91.0;509.0;203.0
2039;1250931;14816;12003;0;384340;3793;87418;217;5188;402.0;217.0;127.0;216.0;175.0;101.0;471.0;217.0
2040;1253744;14812;12622;0;389562;3805;87702;228;5174;409.0;228.0;119.0;233.0;169.0;116.0;493.0;228.0
2041;1255934;14093;12776;0;394932;3759;88529;225;5221;417.0;225.0;131.0;230.0;170.0;111.0;522.0;225.0
2042;1257251;14196;12986;0;400098;3726;89791;226;5197;392.0;226.0;130.0;216.0;163.0;109.0;512.0;226.0
2043;1258461;13858;13520;0;405638;3698;89874;239;5366;398.0;239.0;126.0;235.0;188.0;88.0;502.0;239.0
2044;1258799;14735;14012;0;410975;3678;90964;222;5427;455.0;222.0;131.0;250.0;185.0;111.0;481.0;222.0
2045;1259522;14998;14146;0;416325;3609;91574;200;5401;440.0;200.0;114.0;227.0;182.0;117.0;404.0;200.0
2046;1260374;15006;14689;0;421344;3539;93582;222;5466;419.0;222.0;143.0;214.0;185.0;99.0;462.0;222.0
2047;1260691;13766;15184;0;425354;3520;94143;229;5417;406.0;229.0;120.0;211.0;184.0;120.0;452.0;229.0
2048;1259273;13455;15367;0;429602;3479;96907;226;5782;430.0;226.0;118.0;236.0;187.0;115.0;446.0;226.0
2049;1257361;12550;15741;0;433230;3472;98695;232;5624;465.0;232.0;127.0;267.0;204.0;99.0;480.0;232.0
2050;1254170;14010;15521;0;437227;3422;101251;231;5932;412.0;231.0;125.0;229.0;178.0;111.0;480.0;231.0
