Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;125348;7940;263;276;282;128;2011;3117;3262;5813;949;14203;18941;735.0;4003.0;1316.0;954.0;1021.0;1236.0;516.0
2024;128034;8122;311;232;239;119;2378;2620;2765;5404;901;13167;18013;751.0;4095.0;1416.0;986.0;1051.0;1316.0;560.0
2025;130530;7988;189;176;151;88;1445;1988;1747;3996;604;9176;13970;766.0;4028.0;810.0;561.0;613.0;754.0;333.0
2026;132354;7995;150;155;148;89;1147;1750;1712;4042;542;8651;13458;776.0;4031.0;627.0;422.0;459.0;573.0;284.0
2027;134782;8117;157;148;148;82;1201;1671;1712;3724;535;8308;13191;790.0;4093.0;629.0;414.0;453.0;577.0;304.0
2028;136404;8377;154;162;144;89;1178;1830;1666;4042;549;8716;13740;800.0;4224.0;730.0;501.0;545.0;682.0;307.0
2029;138754;8478;159;154;149;75;1216;1739;1724;3406;537;8085;13174;814.0;4275.0;675.0;470.0;508.0;626.0;312.0
2030;140892;8537;176;170;177;84;1346;1920;2047;3815;607;9128;14258;826.0;4304.0;756.0;522.0;561.0;700.0;345.0
2031;143373;8647;169;165;162;91;1292;1863;1874;4133;587;9162;14363;841.0;4360.0;677.0;464.0;490.0;628.0;302.0
2032;145394;8916;157;184;167;89;1201;2078;1932;4042;597;9253;14601;853.0;4495.0;748.0;522.0;560.0;686.0;308.0
2033;146584;8918;154;189;137;80;1178;2134;1585;3633;560;8530;13887;860.0;4497.0;663.0;462.0;502.0;617.0;303.0
2034;148033;9037;164;173;171;103;1254;1954;1978;4678;611;9864;15289;868.0;4557.0;784.0;540.0;579.0;719.0;329.0
2035;149129;9127;151;170;161;88;1155;1920;1862;3996;570;8933;14410;875.0;4602.0;518.0;333.0;372.0;476.0;316.0
2036;150605;9105;187;169;178;92;1430;1909;2059;4178;626;9576;15050;883.0;4591.0;755.0;525.0;569.0;702.0;329.0
2037;151948;9382;147;182;171;72;1124;2055;1978;3270;572;8427;14048;891.0;4730.0;632.0;429.0;464.0;577.0;293.0
2038;153863;9371;173;197;168;86;1323;2225;1943;3906;624;9397;15024;902.0;4725.0;813.0;551.0;607.0;754.0;328.0
2039;155823;9520;185;183;193;89;1415;2067;2233;4042;650;9757;15471;914.0;4800.0;845.0;592.0;623.0;778.0;342.0
2040;158202;9718;159;205;195;103;1216;2315;2256;4678;662;10465;16293;928.0;4900.0;617.0;432.0;479.0;574.0;356.0
2041;160009;9806;174;188;179;85;1331;2123;2071;3860;626;9385;15267;938.0;4944.0;795.0;552.0;598.0;736.0;340.0
2042;162730;9705;191;169;162;88;1461;1909;1874;3996;610;9240;15087;954.0;4893.0;785.0;540.0;579.0;720.0;339.0
