Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;AsymtomaticCCRDiscovered
2023;68679;4392;150;243;218;121;1147;2744;2522;5495;732;11908;14228;471.0;1849.0;583.0;299.0
2024;71571;4598;190;217;184;117;1453;2451;2128;5313;708;11345;13772;491.0;1936.0;738.0;328.0
2025;74475;4557;127;201;140;98;971;2270;1619;4451;566;9311;11741;511.0;1919.0;453.0;222.0
2026;76713;4648;107;163;158;114;818;1841;1828;5177;542;9664;12148;527.0;1957.0;366.0;196.0
2027;79556;4840;111;156;143;85;849;1762;1654;3860;495;8125;10709;546.0;2038.0;478.0;200.0
2028;81322;5056;103;179;128;91;788;2021;1481;4133;501;8423;11110;558.0;2129.0;397.0;188.0
2029;83309;5112;116;172;140;98;887;1942;1619;4451;526;8899;11623;572.0;2152.0;387.0;197.0
2030;84366;5227;107;206;163;105;818;2326;1885;4768;581;9797;12577;579.0;2201.0;435.0;218.0
2031;86534;5306;113;213;178;98;864;2405;2059;4451;602;9779;12607;594.0;2234.0;432.0;206.0
2032;87051;5348;110;207;177;122;841;2338;2047;5541;616;10767;13617;598.0;2252.0;380.0;212.0
2033;88205;5465;119;207;154;104;910;2338;1781;4723;584;9752;12659;606.0;2301.0;420.0;205.0
2034;88709;5399;132;185;190;117;1009;2089;2198;5313;624;10609;13491;609.0;2273.0;574.0;238.0
2035;88824;5459;104;220;147;97;795;2485;1700;4405;568;9385;12293;610.0;2298.0;350.0;202.0
2036;88276;5372;111;208;174;108;849;2349;2013;4905;601;10116;12984;606.0;2262.0;423.0;213.0
2037;88142;5477;120;217;160;92;918;2451;1851;4178;589;9398;12309;605.0;2306.0;437.0;202.0
2038;87285;5378;132;225;156;92;1009;2541;1805;4178;605;9533;12396;599.0;2264.0;520.0;213.0
2039;87429;5426;135;213;178;102;1032;2405;2059;4632;628;10128;13012;600.0;2284.0;517.0;229.0
2040;87690;5385;111;227;166;117;849;2564;1920;5313;621;10646;13515;602.0;2267.0;448.0;213.0
2041;88540;5420;123;230;167;107;941;2597;1932;4859;627;10329;13219;608.0;2282.0;483.0;209.0
2042;89789;5414;128;213;160;108;979;2405;1851;4905;609;10140;13035;616.0;2279.0;497.0;221.0
