Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;AsymtomaticCCRDiscovered
2023;138095;8689;283;282;289;133;2164;3185;3343;6040;987;14732;19200;810.0;3658.0;1367.0;554.0
2024;141651;8998;328;241;249;121;2508;2722;2880;5495;939;13605;18224;831.0;3788.0;1452.0;604.0
2025;144960;8881;185;174;154;84;1415;1965;1781;3815;597;8976;13565;850.0;3739.0;804.0;346.0
2026;147744;8958;168;152;151;86;1285;1717;1747;3906;557;8655;13293;867.0;3771.0;713.0;320.0
2027;150840;9105;169;140;147;74;1292;1581;1700;3361;530;7934;12652;885.0;3833.0;682.0;322.0
2028;153607;9412;172;152;144;84;1315;1717;1666;3815;552;8513;13376;901.0;3962.0;800.0;333.0
2029;156750;9531;164;151;146;69;1254;1705;1689;3134;530;7782;12714;919.0;4013.0;691.0;323.0
2030;159906;9656;175;169;180;82;1338;1909;2082;3724;606;9053;14056;938.0;4065.0;773.0;360.0
2031;163728;9918;187;165;167;88;1430;1863;1932;3996;607;9221;14357;960.0;4176.0;783.0;344.0
2032;167102;10217;180;167;178;83;1377;1886;2059;3769;608;9091;14372;980.0;4301.0;805.0;351.0
2033;170107;10310;161;184;143;84;1231;2078;1654;3815;572;8778;14117;998.0;4341.0;631.0;326.0
2034;172708;10496;186;164;167;94;1422;1852;1932;4269;611;9475;14907;1013.0;4419.0;838.0;353.0
2035;175433;10680;152;173;160;78;1162;1954;1851;3542;563;8509;14034;1029.0;4496.0;590.0;334.0
2036;178138;10796;198;170;174;94;1514;1920;2013;4269;636;9716;15306;1045.0;4545.0;826.0;366.0
2037;180623;11189;183;179;175;75;1399;2021;2024;3406;612;8850;14620;1059.0;4711.0;750.0;350.0
2038;183722;11203;205;190;176;80;1568;2146;2036;3633;651;9383;15178;1078.0;4717.0;911.0;385.0
2039;186554;11373;201;164;199;88;1537;1852;2302;3996;652;9687;15569;1094.0;4788.0;797.0;379.0
2040;189440;11599;162;188;198;99;1239;2123;2290;4496;647;10148;16142;1111.0;4883.0;603.0;384.0
2041;191621;11738;207;176;187;83;1583;1988;2163;3769;653;9503;15569;1124.0;4942.0;959.0;404.0
