Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;125351;7940;268;277;276;128;2049;3128;3193;5813;949;14183;18261;735.0;3343.0;1350.0;977.0;1044.0;1267.0;516.0
2024;128036;8118;307;232;240;119;2348;2620;2776;5404;898;13148;17317;751.0;3418.0;1395.0;970.0;1035.0;1295.0;557.0
2025;130532;7983;181;177;152;88;1384;1999;1758;3996;598;9137;13264;766.0;3361.0;759.0;526.0;574.0;707.0;327.0
2026;132354;8005;156;151;149;92;1193;1705;1724;4178;548;8800;12946;776.0;3370.0;650.0;446.0;486.0;598.0;290.0
2027;134790;8104;147;149;145;81;1124;1683;1677;3679;522;8163;12366;791.0;3412.0;569.0;372.0;409.0;518.0;292.0
2028;136406;8382;158;166;144;85;1208;1875;1666;3860;553;8609;12938;800.0;3529.0;798.0;551.0;588.0;739.0;311.0
2029;138754;8486;169;154;150;77;1292;1739;1735;3497;550;8263;12650;814.0;3573.0;776.0;544.0;586.0;719.0;324.0
2030;140895;8540;179;169;169;87;1369;1909;1955;3951;604;9184;13605;826.0;3595.0;732.0;496.0;545.0;682.0;345.0
2031;143369;8651;167;172;166;87;1277;1942;1920;3951;592;9090;13573;841.0;3642.0;666.0;452.0;476.0;614.0;307.0
2032;145382;8922;162;181;169;86;1239;2044;1955;3906;598;9144;13753;853.0;3756.0;791.0;552.0;588.0;723.0;313.0
2033;146572;8916;152;185;143;83;1162;2089;1654;3769;563;8674;13288;860.0;3754.0;610.0;428.0;468.0;572.0;302.0
2034;148028;9030;166;167;173;100;1269;1886;2001;4541;606;9697;14367;868.0;3802.0;737.0;504.0;545.0;678.0;323.0
2035;149134;9118;146;174;153;84;1116;1965;1770;3815;557;8666;13380;875.0;3839.0;539.0;353.0;388.0;495.0;303.0
2036;150596;9091;173;172;170;94;1323;1942;1966;4269;609;9500;14210;883.0;3827.0;713.0;492.0;529.0;660.0;317.0
2037;151945;9380;154;181;170;69;1178;2044;1966;3134;574;8322;13162;891.0;3949.0;678.0;462.0;500.0;623.0;290.0
2038;153886;9385;172;195;170;92;1315;2202;1966;4178;629;9661;14515;903.0;3951.0;791.0;541.0;605.0;737.0;337.0
2039;155795;9526;183;185;191;99;1399;2089;2209;4496;658;10193;15117;914.0;4010.0;785.0;548.0;576.0;722.0;348.0
2040;158227;9718;153;203;200;106;1170;2293;2313;4814;662;10590;15609;928.0;4091.0;595.0;414.0;456.0;553.0;349.0
2041;159979;9808;186;186;181;85;1422;2101;2094;3860;638;9477;14544;938.0;4129.0;866.0;607.0;649.0;799.0;350.0
2042;162734;9690;189;163;161;89;1445;1841;1862;4042;602;9190;14224;954.0;4080.0;775.0;531.0;577.0;715.0;329.0
