Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;AsymtomaticCCRDiscovered
2023;34419;2160;86;211;158;114;658;2383;1828;5177;569;10046;11157;202.0;909.0;293.0;136.0
2024;35731;2329;99;201;149;114;757;2270;1724;5177;563;9928;11119;210.0;981.0;377.0;153.0
2025;37309;2253;63;212;135;99;482;2394;1562;4496;509;8934;10102;219.0;949.0;164.0;93.0
2026;38209;2275;58;198;144;122;444;2236;1666;5541;522;9887;11069;224.0;958.0;241.0;93.0
2027;39855;2461;69;188;124;103;528;2123;1434;4678;484;8763;10033;234.0;1036.0;252.0;105.0
2028;40426;2538;62;215;135;105;474;2428;1562;4768;517;9232;10538;237.0;1069.0;233.0;102.0
2029;41765;2529;71;213;131;113;543;2405;1515;5132;528;9595;10905;245.0;1065.0;187.0;91.0
2030;41829;2581;60;223;155;109;459;2518;1793;4950;547;9720;11052;245.0;1087.0;146.0;92.0
2031;43424;2689;69;242;166;115;528;2733;1920;5223;592;10404;11791;255.0;1132.0;225.0;98.0
2032;43103;2658;84;234;158;138;642;2643;1828;6267;614;11380;12752;253.0;1119.0;281.0;111.0
2033;44073;2759;74;253;141;123;566;2857;1631;5586;591;10640;12060;258.0;1162.0;233.0;106.0
2034;43856;2714;76;232;190;138;581;2620;2198;6267;636;11666;13066;257.0;1143.0;197.0;125.0
2035;44431;2739;67;252;135;118;512;2846;1562;5359;572;10279;11693;261.0;1153.0;217.0;112.0
2036;43784;2663;77;237;162;122;589;2676;1874;5541;598;10680;12058;257.0;1121.0;247.0;115.0
2037;43998;2736;82;242;151;112;627;2733;1747;5086;587;10193;11603;258.0;1152.0;234.0;105.0
2038;43369;2663;72;246;161;120;551;2778;1862;5450;599;10641;12016;254.0;1121.0;324.0;100.0
2039;43718;2693;74;248;177;113;566;2801;2047;5132;612;10546;11936;256.0;1134.0;228.0;104.0
2040;43546;2681;75;269;172;134;574;3038;1990;6085;650;11687;13071;255.0;1129.0;292.0;140.0
2041;44285;2721;70;278;156;132;535;3140;1805;5995;636;11475;12881;260.0;1146.0;228.0;119.0
2042;44615;2666;76;237;143;121;581;2676;1654;5495;577;10406;11790;262.0;1122.0;231.0;99.0
