Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;AsymtomaticCCRDiscovered
2023;1122832;13918;802;0;309296;5155;202390;763;11886;433.0;763.0;395.0;314.0;329.0;158.0;1989.0;763.0
2024;1135948;14269;1258;0;315832;3959;207471;850;12130;317.0;850.0;457.0;266.0;309.0;135.0;2325.0;850.0
2025;1148959;15084;2088;0;321258;3266;212351;416;12432;195.0;416.0;212.0;150.0;169.0;80.0;977.0;416.0
2026;1161955;14032;2968;0;326568;3139;217651;422;12696;182.0;422.0;224.0;135.0;169.0;76.0;974.0;422.0
2027;1173019;14380;3962;0;331594;3040;222834;397;13057;163.0;397.0;189.0;131.0;165.0;75.0;855.0;397.0
2028;1183437;13704;4982;0;336510;3023;228845;396;13438;161.0;396.0;191.0;140.0;152.0;74.0;956.0;396.0
2029;1192159;14602;5896;0;341995;3016;234370;431;13789;141.0;431.0;219.0;140.0;157.0;56.0;1050.0;431.0
2030;1200865;12956;6419;0;347660;2965;240215;443;14045;165.0;443.0;228.0;138.0;170.0;72.0;1047.0;443.0
2031;1207402;15041;6853;0;353206;2912;245449;415;14374;189.0;415.0;213.0;140.0;182.0;69.0;977.0;415.0
2032;1215590;14885;7167;0;357131;2845;250846;401;14731;189.0;401.0;194.0;140.0;183.0;73.0;875.0;401.0
2033;1223308;13311;7709;0;360495;2773;255405;398;14912;165.0;398.0;205.0;145.0;152.0;61.0;824.0;398.0
2034;1228910;14016;8337;0;363667;2740;260430;419;15281;185.0;419.0;200.0;141.0;176.0;87.0;832.0;419.0
2035;1234589;12725;9225;0;366864;2717;264206;428;15466;171.0;428.0;195.0;157.0;181.0;66.0;978.0;428.0
2036;1238089;13115;10202;0;370390;2685;268566;475;15747;185.0;475.0;235.0;158.0;182.0;85.0;1092.0;475.0
2037;1241002;15279;10767;0;374551;2587;272155;429;16162;181.0;429.0;222.0;153.0;178.0;57.0;1033.0;429.0
2038;1245514;12893;11541;0;379207;2524;275344;427;16006;195.0;427.0;235.0;152.0;161.0;74.0;1049.0;427.0
2039;1246866;14549;11950;0;384529;2488;278040;431;16156;183.0;431.0;211.0;140.0;185.0;78.0;901.0;431.0
2040;1249465;14169;12350;0;389790;2502;280501;460;16527;196.0;460.0;219.0;158.0;204.0;75.0;1000.0;460.0
2041;1251284;14603;12897;0;395178;2461;282299;447;16589;186.0;447.0;225.0;140.0;182.0;86.0;941.0;447.0
2042;1252990;14753;13193;0;400383;2411;283862;453;16432;171.0;453.0;246.0;141.0;170.0;67.0;1107.0;453.0
2043;1254550;13176;13542;0;405913;2391;285060;465;16699;191.0;465.0;230.0;169.0;200.0;57.0;1115.0;465.0
2044;1254184;14404;13799;0;411309;2357;286001;474;16832;208.0;474.0;266.0;172.0;173.0;71.0;1163.0;474.0
2045;1254789;14344;14364;0;416722;2264;286339;453;16840;206.0;453.0;240.0;147.0;184.0;88.0;1130.0;453.0
2046;1254769;15347;14646;0;421832;2195;286923;476;16409;174.0;476.0;246.0;141.0;202.0;61.0;1097.0;476.0
2047;1255470;14436;15078;0;425839;2159;287252;491;16623;179.0;491.0;237.0;146.0;204.0;83.0;1105.0;491.0
2048;1254828;13144;15471;0;430153;2086;287877;425;16885;179.0;425.0;207.0;133.0;184.0;80.0;867.0;425.0
2049;1252501;13137;15687;0;433842;2092;288962;455;16678;223.0;455.0;224.0;190.0;208.0;56.0;1120.0;455.0
2050;1249951;13817;15476;0;437873;2100;289230;494;16861;173.0;494.0;236.0;161.0;204.0;66.0;1115.0;494.0
2051;1248292;14610;15714;0;441931;2090;290401;485;16984;195.0;485.0;225.0;159.0;215.0;81.0;1032.0;485.0
2052;1247188;14107;15467;0;445688;2050;290992;508;16891;192.0;508.0;266.0;141.0;207.0;86.0;1196.0;508.0
2053;1245828;13379;15201;0;448746;2010;291535;465;16939;186.0;465.0;242.0;153.0;192.0;64.0;1099.0;465.0
