Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;AsymtomaticCCRDiscovered
2023;68680;4395;150;243;220;120;1147;2744;2545;5450;733;11886;14505;403.0;2216.0;597.0;300.0
2024;71572;4598;189;217;185;117;1445;2451;2140;5313;708;11349;14087;420.0;2318.0;728.0;328.0
2025;74481;4553;125;201;139;98;956;2270;1608;4451;563;9285;12018;437.0;2296.0;454.0;218.0
2026;76713;4652;106;166;158;113;811;1875;1828;5132;543;9646;12442;450.0;2346.0;378.0;197.0
2027;79555;4838;113;161;142;84;864;1818;1643;3815;500;8140;11046;467.0;2439.0;464.0;201.0
2028;81317;5055;92;181;134;93;704;2044;1550;4224;500;8522;11548;477.0;2549.0;353.0;190.0
2029;83305;5121;124;174;137;99;948;1965;1585;4496;534;8994;12065;489.0;2582.0;402.0;206.0
2030;84362;5222;113;200;160;107;864;2259;1851;4859;580;9833;12961;495.0;2633.0;424.0;216.0
2031;86533;5303;106;206;188;100;811;2326;2175;4541;600;9853;13035;508.0;2674.0;398.0;205.0
2032;87057;5347;110;202;182;118;841;2281;2105;5359;612;10586;13793;511.0;2696.0;411.0;211.0
2033;88196;5467;126;201;150;108;964;2270;1735;4905;585;9874;13147;517.0;2756.0;420.0;209.0
2034;88707;5412;135;188;187;117;1032;2123;2163;5313;627;10631;13880;520.0;2729.0;569.0;243.0
2035;88818;5453;101;218;139;97;772;2462;1608;4405;555;9247;12517;521.0;2749.0;410.0;194.0
2036;88269;5373;115;210;173;105;879;2372;2001;4768;603;10020;13247;518.0;2709.0;477.0;216.0
2037;88125;5475;120;216;157;88;918;2439;1816;3996;581;9169;12447;517.0;2761.0;429.0;196.0
2038;87274;5376;129;220;157;93;986;2485;1816;4224;599;9511;12734;512.0;2711.0;508.0;208.0
2039;87431;5410;120;221;178;103;918;2496;2059;4678;622;10151;13392;513.0;2728.0;440.0;216.0
2040;87703;5396;116;233;171;114;887;2631;1978;5177;634;10673;13908;514.0;2721.0;463.0;223.0
2041;88543;5444;130;229;177;109;994;2586;2047;4950;645;10577;13841;519.0;2745.0;503.0;229.0
2042;89783;5419;135;213;167;111;1032;2405;1932;5041;626;10410;13669;527.0;2732.0;541.0;228.0
