Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;AsymtomaticCCRDiscovered
2023;68680;4394;151;244;217;122;1155;2756;2510;5541;734;11962;14215;403.0;1850.0;586.0;301.0
2024;71570;4592;194;216;181;118;1484;2439;2094;5359;709;11376;13729;420.0;1933.0;728.0;329.0
2025;74478;4550;127;198;137;99;971;2236;1585;4496;561;9288;11641;437.0;1916.0;462.0;217.0
2026;76714;4635;100;159;160;114;765;1796;1851;5177;533;9589;11990;450.0;1951.0;361.0;184.0
2027;79557;4841;112;163;143;83;856;1841;1654;3769;501;8120;10625;467.0;2038.0;473.0;202.0
2028;81312;5064;100;185;133;93;765;2089;1538;4224;511;8616;11225;477.0;2132.0;381.0;199.0
2029;83308;5120;120;171;141;100;918;1931;1631;4541;532;9021;11666;489.0;2156.0;387.0;203.0
2030;84368;5225;114;204;161;105;872;2304;1862;4768;584;9806;12501;495.0;2200.0;442.0;217.0
2031;86535;5308;109;212;181;96;834;2394;2094;4360;598;9682;12425;508.0;2235.0;419.0;205.0
2032;87058;5340;107;200;182;121;818;2259;2105;5495;610;10677;13436;511.0;2248.0;371.0;206.0
2033;88197;5441;112;199;149;107;856;2247;1724;4859;567;9686;12494;517.0;2291.0;389.0;191.0
2034;88699;5402;131;186;185;120;1002;2101;2140;5450;622;10693;13487;520.0;2274.0;540.0;238.0
2035;88821;5475;110;221;151;101;841;2496;1747;4587;583;9671;12497;521.0;2305.0;421.0;219.0
2036;88261;5364;117;210;176;102;895;2372;2036;4632;605;9935;12711;518.0;2258.0;463.0;214.0
2037;88140;5474;122;214;154;91;933;2417;1781;4133;581;9264;12086;517.0;2305.0;414.0;195.0
2038;87278;5369;125;226;160;91;956;2552;1851;4133;602;9492;12264;512.0;2260.0;546.0;206.0
2039;87409;5412;130;218;177;101;994;2462;2047;4587;626;10090;12881;513.0;2278.0;522.0;221.0
2040;87678;5388;118;230;162;113;902;2597;1874;5132;623;10505;13287;514.0;2268.0;460.0;218.0
2041;88525;5440;124;229;175;111;948;2586;2024;5041;639;10599;13408;519.0;2290.0;454.0;226.0
2042;89801;5428;133;213;172;109;1017;2405;1990;4950;627;10362;13174;527.0;2285.0;507.0;235.0
