Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;AsymtomaticCCRDiscovered
2023;1122832;14549;846;0;309296;5146;85271;368;5011;433.0;368.0;200.0;257.0;220.0;124.0;917.0;368.0
2024;1136535;14539;1253;0;315831;4346;89065;385;5258;375.0;385.0;192.0;226.0;218.0;124.0;819.0;385.0
2025;1149821;13854;2056;0;321257;4052;89957;404;5251;324.0;404.0;212.0;213.0;194.0;109.0;870.0;404.0
2026;1161619;14450;2946;0;326567;3820;89937;266;5193;283.0;266.0;156.0;139.0;157.0;97.0;652.0;266.0
2027;1173123;13891;3998;0;331595;3783;93388;284;5435;237.0;284.0;151.0;153.0;138.0;79.0;709.0;284.0
2028;1183016;13646;5014;0;336511;3822;94387;312;5578;260.0;312.0;160.0;168.0;153.0;91.0;702.0;312.0
2029;1191648;14367;5849;0;341991;3783;94530;292;5569;244.0;292.0;165.0;157.0;140.0;74.0;706.0;292.0
2030;1200166;13651;6521;0;347656;3773;98189;296;5811;269.0;296.0;145.0;167.0;171.0;82.0;653.0;296.0
2031;1207296;13683;6941;0;353202;3744;99645;298;5821;306.0;298.0;144.0;194.0;178.0;88.0;672.0;298.0
2032;1214038;13542;7309;0;357141;3681;99783;302;5873;296.0;302.0;164.0;178.0;157.0;99.0;701.0;302.0
2033;1220271;14073;7742;0;360470;3610;101912;278;6042;276.0;278.0;153.0;176.0;142.0;83.0;627.0;278.0
2034;1226602;13382;8363;0;363658;3605;102648;283;5981;305.0;283.0;146.0;171.0;168.0;103.0;659.0;283.0
2035;1231621;13655;9093;0;366820;3594;102829;296;6061;290.0;296.0;137.0;188.0;168.0;93.0;455.0;296.0
2036;1236183;13876;9970;0;370378;3577;105072;305;6097;322.0;305.0;162.0;188.0;179.0;98.0;638.0;305.0
2037;1240089;14363;10871;0;374505;3502;105719;292;6314;304.0;292.0;148.0;205.0;165.0;78.0;727.0;292.0
2038;1243581;13355;11462;0;379141;3456;106551;294;6263;309.0;294.0;156.0;183.0;174.0;90.0;657.0;294.0
2039;1245474;13162;12082;0;384445;3441;109183;320;6436;318.0;320.0;189.0;197.0;163.0;89.0;800.0;320.0
2040;1246554;13382;12567;0;389651;3429;109652;347;6482;325.0;347.0;160.0;202.0;203.0;107.0;664.0;347.0
2041;1247369;13726;12849;0;395078;3372;110791;329;6513;322.0;329.0;153.0;191.0;203.0;104.0;627.0;329.0
2042;1248246;14293;13319;0;400272;3295;113373;293;6499;293.0;293.0;158.0;172.0;165.0;91.0;642.0;293.0
2043;1249220;14336;13485;0;405776;3304;113897;335;6791;320.0;335.0;179.0;208.0;182.0;86.0;762.0;335.0
2044;1250071;13179;13903;0;411172;3272;115318;325;6756;347.0;325.0;180.0;217.0;190.0;85.0;830.0;325.0
2045;1249347;14059;14076;0;416570;3207;117391;340;6864;357.0;340.0;194.0;202.0;194.0;107.0;723.0;340.0
2046;1249330;13547;14638;0;421526;3076;117968;331;6885;310.0;331.0;167.0;189.0;199.0;86.0;794.0;331.0
