Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;AsymtomaticCCRDiscovered
2023;34419;2157;84;212;158;113;642;2394;1828;5132;567;9996;11106;202.0;908.0;284.0;134.0
2024;35728;2330;100;201;149;115;765;2270;1724;5223;565;9982;11173;210.0;981.0;375.0;155.0
2025;37311;2256;66;211;135;100;505;2383;1562;4541;512;8991;10160;219.0;950.0;172.0;95.0
2026;38207;2274;58;198;144;121;444;2236;1666;5495;521;9841;11022;224.0;957.0;247.0;92.0
2027;39856;2461;69;188;123;104;528;2123;1423;4723;484;8797;10067;234.0;1036.0;250.0;105.0
2028;40425;2534;60;217;132;105;459;2451;1527;4768;514;9205;10509;237.0;1067.0;221.0;98.0
2029;41760;2543;77;214;135;112;589;2417;1562;5086;538;9654;10970;245.0;1071.0;222.0;101.0
2030;41823;2588;62;223;159;111;474;2518;1839;5041;555;9872;11207;245.0;1090.0;134.0;100.0
2031;43417;2690;66;242;165;116;505;2733;1909;5268;589;10415;11803;255.0;1133.0;217.0;98.0
2032;43109;2648;80;232;156;139;612;2620;1805;6313;607;11350;12718;253.0;1115.0;278.0;102.0
2033;44092;2752;71;252;143;122;543;2846;1654;5541;588;10584;12002;259.0;1159.0;221.0;100.0
2034;43857;2715;78;228;191;135;596;2575;2209;6131;632;11511;12911;257.0;1143.0;216.0;125.0
2035;44431;2748;69;253;136;117;528;2857;1573;5313;575;10271;11689;261.0;1157.0;224.0;117.0
2036;43803;2663;77;231;162;123;589;2609;1874;5586;593;10658;12036;257.0;1121.0;236.0;114.0
2037;44021;2721;74;239;149;110;566;2699;1724;4996;572;9985;11389;258.0;1146.0;196.0;92.0
2038;43371;2669;73;251;160;116;558;2835;1851;5268;600;10512;11890;254.0;1124.0;327.0;103.0
2039;43726;2692;73;253;177;118;558;2857;2047;5359;621;10821;12210;256.0;1133.0;224.0;107.0
2040;43563;2672;68;268;172;134;520;3027;1990;6085;642;11622;13002;255.0;1125.0;269.0;130.0
2041;44291;2715;65;280;157;132;497;3162;1816;5995;634;11470;12873;260.0;1143.0;215.0;115.0
2042;44636;2654;69;241;145;123;528;2722;1677;5586;578;10513;11892;262.0;1117.0;208.0;93.0
