Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;AsymtomaticCCRDiscovered
2023;241671;15051;484;321;369;160;3701;3625;4268;7266;1334;18860;26614;1417.0;6337.0;2408.0;901.0
2024;248610;15363;447;281;342;147;3418;3173;3956;6676;1217;17223;25149;1458.0;6468.0;2390.0;905.0
2025;255766;15471;249;146;168;84;1904;1649;1943;3815;647;9311;17324;1500.0;6513.0;1058.0;465.0
2026;262306;15631;221;142;164;83;1690;1604;1897;3769;610;8960;17079;1538.0;6581.0;1087.0;452.0
2027;269203;16095;204;130;152;58;1560;1468;1758;2634;544;7420;15775;1579.0;6776.0;1105.0;402.0
2028;274900;16501;210;140;171;83;1606;1581;1978;3769;604;8934;17493;1612.0;6947.0;978.0;457.0
2029;281619;16896;206;125;160;64;1575;1412;1851;2907;555;7745;16510;1652.0;7113.0;960.0;427.0
2030;286344;17202;227;122;164;62;1736;1378;1897;2816;575;7827;16748;1679.0;7242.0;1079.0;425.0
2031;292333;17497;211;147;177;71;1614;1660;2047;3224;606;8545;17626;1715.0;7366.0;950.0;445.0
2032;296905;17754;221;136;186;60;1690;1536;2152;2725;603;8103;17319;1741.0;7475.0;989.0;433.0
2033;301946;18016;231;129;163;71;1767;1457;1885;3224;594;8333;17689;1771.0;7585.0;957.0;439.0
2034;305873;18375;211;141;171;75;1614;1592;1978;3406;598;8590;18120;1794.0;7736.0;1026.0;449.0
2035;309801;18610;241;146;169;79;1843;1649;1955;3588;635;9035;18687;1817.0;7835.0;1264.0;480.0
2036;313184;18773;207;137;177;60;1583;1547;2047;2725;581;7902;17643;1837.0;7904.0;958.0;418.0
2037;315704;19144;234;142;179;61;1789;1604;2071;2770;616;8234;18146;1852.0;8060.0;1097.0;467.0
2038;318529;18974;227;137;180;58;1736;1547;2082;2634;602;7999;17855;1868.0;7988.0;1043.0;435.0
2039;319979;19066;252;144;182;69;1927;1626;2105;3134;647;8792;18696;1877.0;8027.0;1206.0;486.0
2040;322119;19353;233;138;195;84;1782;1558;2256;3815;650;9411;19448;1889.0;8148.0;1020.0;483.0
2041;323379;19388;255;125;179;77;1950;1412;2071;3497;636;8930;18989;1897.0;8162.0;1060.0;475.0
2042;325425;19351;237;153;184;71;1812;1728;2128;3224;645;8892;18948;1909.0;8147.0;1032.0;489.0
2043;326609;19596;248;158;190;66;1897;1784;2198;2997;662;8876;19042;1916.0;8250.0;1093.0;488.0
2044;328804;19830;246;156;175;65;1881;1762;2024;2952;642;8619;18896;1928.0;8349.0;1215.0;468.0
2045;329739;19926;268;163;175;73;2049;1841;2024;3315;679;9229;19552;1934.0;8389.0;1141.0;478.0
2046;331165;19505;245;141;214;69;1874;1592;2475;3134;669;9075;19229;1942.0;8212.0;1204.0;521.0
2047;331603;19604;231;121;218;69;1767;1366;2522;3134;639;8789;18987;1945.0;8253.0;1091.0;475.0
2048;331927;19942;223;137;193;73;1705;1547;2233;3315;626;8800;19143;1947.0;8396.0;963.0;478.0
2049;332415;19677;245;164;204;73;1874;1852;2360;3315;686;9401;19635;1950.0;8284.0;1067.0;488.0
2050;332751;19856;227;152;200;60;1736;1717;2313;2725;639;8491;18802;1952.0;8359.0;1112.0;480.0
2051;332263;20034;265;169;206;78;2027;1909;2383;3542;718;9861;20244;1949.0;8434.0;1403.0;539.0
2052;332747;19765;247;136;207;71;1889;1536;2394;3224;661;9043;19316;1952.0;8321.0;1221.0;492.0
2053;333399;19781;257;153;207;68;1965;1728;2394;3088;685;9175;19458;1955.0;8328.0;1264.0;503.0
2054;334124;19890;274;170;194;74;2095;1920;2244;3361;712;9620;19954;1960.0;8374.0;1376.0;507.0
2055;333740;20113;291;156;216;78;2225;1762;2499;3542;741;10028;20453;1957.0;8468.0;1357.0;524.0
2056;333933;20133;266;174;195;90;2034;1965;2256;4087;725;10342;20777;1959.0;8476.0;1247.0;541.0
2057;334079;20202;294;167;187;69;2248;1886;2163;3134;717;9431;19895;1959.0;8505.0;1273.0;527.0
2058;333382;20022;269;159;197;80;2057;1796;2279;3633;705;9765;20149;1955.0;8429.0;1143.0;517.0
2059;333817;20155;262;174;199;72;2004;1965;2302;3270;707;9541;19984;1958.0;8485.0;1000.0;494.0
2060;333889;19858;266;158;197;71;2034;1784;2279;3224;692;9321;19639;1958.0;8360.0;1138.0;514.0
2061;332343;19955;241;164;190;71;1843;1852;2198;3224;666;9117;19467;1949.0;8401.0;1075.0;494.0
2062;332677;20116;221;177;220;98;1690;1999;2545;4451;716;10685;21105;1951.0;8469.0;980.0;517.0
2063;331470;19900;254;166;195;74;1942;1875;2256;3361;689;9434;19756;1944.0;8378.0;1039.0;488.0
2064;331192;20176;251;183;189;70;1919;2067;2186;3179;693;9351;19787;1942.0;8494.0;1079.0;497.0
2065;329873;19782;211;166;187;63;1614;1875;2163;2861;627;8513;18776;1935.0;8328.0;926.0;450.0
2066;329787;19815;249;164;192;65;1904;1852;2221;2952;670;8929;19205;1934.0;8342.0;1032.0;491.0
2067;327933;19675;253;149;187;83;1935;1683;2163;3769;672;9550;19756;1923.0;8283.0;1054.0;481.0
2068;329220;19933;280;167;190;83;2141;1886;2198;3769;720;9994;20317;1931.0;8392.0;1079.0;508.0
2069;326430;19998;266;173;217;86;2034;1954;2510;3906;742;10404;20738;1915.0;8419.0;982.0;533.0
2070;327329;19608;242;147;211;80;1851;1660;2441;3633;680;9585;19760;1920.0;8255.0;1005.0;492.0
2071;323797;19612;235;182;205;81;1797;2055;2371;3679;703;9902;20058;1899.0;8257.0;1023.0;483.0
2072;324909;19290;231;160;192;78;1767;1807;2221;3542;661;9337;19364;1906.0;8121.0;950.0;437.0
2073;320556;19332;245;164;181;80;1874;1852;2094;3633;670;9453;19472;1880.0;8139.0;1131.0;480.0
2074;322540;19491;252;174;185;73;1927;1965;2140;3315;684;9347;19445;1892.0;8206.0;1116.0;481.0
2075;318397;19008;237;162;173;67;1812;1830;2001;3043;639;8686;18555;1867.0;8002.0;935.0;436.0
2076;320290;19303;230;165;215;78;1759;1863;2487;3542;688;9651;19657;1879.0;8127.0;874.0;492.0
2077;315174;19047;243;161;187;68;1858;1818;2163;3088;659;8927;18794;1848.0;8019.0;1075.0;480.0
2078;317646;19072;239;179;198;65;1828;2021;2290;2952;681;9091;18983;1863.0;8029.0;1062.0;476.0
