Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;AsymtomaticCCRDiscovered
2023;51586;3331;117;234;194;116;895;2643;2244;5268;661;11050;12755;303.0;1402.0;472.0;228.0
2024;53614;3448;152;206;175;116;1162;2326;2024;5268;649;10780;12546;314.0;1452.0;597.0;255.0
2025;55934;3441;90;194;137;99;688;2191;1585;4496;520;8960;10737;328.0;1449.0;294.0;149.0
2026;57431;3494;82;182;145;120;627;2055;1677;5450;529;9809;11617;337.0;1471.0;272.0;144.0
2027;59735;3671;103;174;122;91;788;1965;1411;4133;490;8297;10193;350.0;1546.0;431.0;161.0
2028;60855;3821;84;211;124;95;642;2383;1434;4314;514;8773;10739;357.0;1609.0;390.0;150.0
2029;62578;3777;97;197;131;103;742;2225;1515;4678;528;9160;11117;367.0;1590.0;327.0;145.0
2030;63060;3972;92;214;159;104;704;2417;1839;4723;569;9683;11725;370.0;1672.0;317.0;160.0
2031;65023;3968;76;220;173;107;581;2485;2001;4859;576;9926;11978;381.0;1671.0;267.0;138.0
2032;65125;4001;92;217;175;127;704;2451;2024;5768;611;10947;13013;382.0;1684.0;301.0;158.0
2033;66114;4151;102;229;152;103;780;2586;1758;4678;586;9802;11938;388.0;1748.0;261.0;154.0
2034;66384;4077;105;200;182;129;803;2259;2105;5858;616;11025;13130;389.0;1716.0;378.0;171.0
2035;66595;4069;86;236;141;105;658;2665;1631;4768;568;9722;11826;391.0;1713.0;371.0;152.0
2036;66005;3974;86;218;170;110;658;2462;1966;4996;584;10082;12142;387.0;1673.0;280.0;145.0
2037;66070;4125;97;235;157;105;742;2654;1816;4768;594;9980;12105;388.0;1737.0;324.0;155.0
2038;65272;4038;107;238;161;115;818;2688;1862;5223;621;10591;12674;383.0;1700.0;444.0;169.0
2039;65499;4058;100;233;175;110;765;2631;2024;4996;618;10416;12508;384.0;1708.0;338.0;154.0
2040;65609;3992;95;247;179;126;726;2789;2071;5722;647;11308;13374;385.0;1681.0;347.0;180.0
2041;66303;4042;103;256;164;122;788;2891;1897;5541;645;11117;13208;389.0;1702.0;363.0;177.0
2042;67201;4016;102;220;162;111;780;2485;1874;5041;595;10180;12265;394.0;1691.0;358.0;157.0
