Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;AsymtomaticCCRDiscovered
2023;34419;2159;86;212;156;114;658;2394;1805;5177;568;10034;11145;202.0;909.0;292.0;135.0
2024;35732;2329;100;200;148;115;765;2259;1712;5223;563;9959;11150;210.0;981.0;377.0;153.0
2025;37313;2254;63;211;136;99;482;2383;1573;4496;509;8934;10102;219.0;949.0;175.0;92.0
2026;38206;2275;58;198;147;121;444;2236;1700;5495;524;9875;11057;224.0;958.0;238.0;95.0
2027;39856;2462;70;187;124;104;535;2112;1434;4723;485;8804;10075;234.0;1037.0;241.0;107.0
2028;40429;2533;59;217;132;107;451;2451;1527;4859;515;9288;10591;237.0;1066.0;218.0;97.0
2029;41763;2535;72;215;133;112;551;2428;1538;5086;532;9603;10915;245.0;1067.0;194.0;94.0
2030;41830;2576;58;221;155;110;444;2496;1793;4996;544;9729;11059;245.0;1085.0;132.0;89.0
2031;43423;2688;67;239;167;115;512;2699;1932;5223;588;10366;11753;255.0;1132.0;223.0;98.0
2032;43113;2662;87;234;159;140;665;2643;1839;6358;620;11505;12879;253.0;1121.0;293.0;116.0
2033;44083;2748;72;248;139;121;551;2801;1608;5495;580;10455;11871;259.0;1157.0;211.0;98.0
2034;43859;2706;79;225;188;138;604;2541;2175;6267;630;11587;12983;257.0;1139.0;224.0;120.0
2035;44441;2756;74;258;137;116;566;2914;1585;5268;585;10333;11754;261.0;1160.0;247.0;123.0
2036;43793;2647;73;235;163;123;558;2654;1885;5586;594;10683;12054;257.0;1114.0;228.0;108.0
2037;44012;2723;77;235;149;111;589;2654;1724;5041;572;10008;11412;258.0;1146.0;197.0;91.0
2038;43370;2684;80;252;165;121;612;2846;1909;5495;618;10862;12246;254.0;1130.0;336.0;117.0
2039;43730;2696;72;254;180;117;551;2868;2082;5313;623;10814;12205;256.0;1135.0;233.0;113.0
2040;43559;2667;67;263;171;133;512;2970;1978;6040;634;11500;12878;255.0;1123.0;276.0;125.0
2041;44299;2691;59;277;150;131;451;3128;1735;5949;617;11263;12656;260.0;1133.0;179.0;99.0
2042;44621;2666;75;240;145;122;574;2710;1677;5541;582;10502;11886;262.0;1122.0;241.0;100.0
