Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;AsymtomaticCCRDiscovered
2023;68678;4394;150;243;220;121;1147;2744;2545;5495;734;11931;14184;403.0;1850.0;587.0;301.0
2024;71570;4599;190;217;185;117;1453;2451;2140;5313;709;11357;13713;420.0;1936.0;737.0;329.0
2025;74472;4560;126;202;140;100;964;2281;1619;4541;568;9405;11762;437.0;1920.0;445.0;224.0
2026;76717;4641;100;164;156;114;765;1852;1805;5177;534;9599;12003;450.0;1954.0;351.0;187.0
2027;79555;4837;112;160;141;82;856;1807;1631;3724;495;8018;10521;467.0;2036.0;485.0;198.0
2028;81315;5059;103;182;130;92;788;2055;1504;4178;507;8525;11132;477.0;2130.0;410.0;195.0
2029;83310;5113;119;170;139;98;910;1920;1608;4451;526;8889;11531;489.0;2153.0;389.0;197.0
2030;84357;5227;114;199;164;103;872;2247;1897;4678;580;9694;12390;495.0;2201.0;446.0;219.0
2031;86543;5298;108;210;179;96;826;2372;2071;4360;593;9629;12367;508.0;2230.0;439.0;201.0
2032;87062;5349;107;206;179;123;818;2326;2071;5586;615;10801;13564;511.0;2252.0;381.0;208.0
2033;88190;5468;127;205;151;106;971;2315;1747;4814;589;9847;12666;517.0;2302.0;445.0;211.0
2034;88713;5416;132;188;190;121;1009;2123;2198;5495;631;10825;13625;520.0;2280.0;578.0;246.0
2035;88825;5468;109;216;150;99;834;2439;1735;4496;574;9504;12327;521.0;2302.0;397.0;207.0
2036;88274;5353;112;207;165;102;856;2338;1909;4632;586;9735;12507;518.0;2254.0;442.0;199.0
2037;88124;5464;117;213;158;88;895;2405;1828;3996;576;9124;11941;517.0;2300.0;379.0;191.0
2038;87278;5350;119;220;156;89;910;2485;1805;4042;584;9242;12006;512.0;2252.0;480.0;193.0
2039;87413;5402;128;221;171;102;979;2496;1978;4632;622;10085;12872;513.0;2274.0;501.0;214.0
2040;87718;5407;124;234;174;116;948;2643;2013;5268;648;10872;13662;514.0;2276.0;489.0;236.0
2041;88543;5437;127;236;173;113;971;2665;2001;5132;649;10769;13577;519.0;2289.0;489.0;227.0
2042;89809;5412;128;214;161;109;979;2417;1862;4950;612;10208;13013;527.0;2278.0;513.0;222.0
