Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;AsymtomaticCCRDiscovered
2023;184292;11517;370;307;317;154;2829;3467;3667;6994;1148;16957;22887;1081.0;4849.0;1896.0;715.0
2024;187946;11822;430;252;297;134;3288;2846;3436;6085;1113;15655;21734;1102.0;4977.0;2185.0;787.0
2025;191339;11546;208;157;169;82;1591;1773;1955;3724;616;9043;15026;1122.0;4861.0;1027.0;398.0
2026;195256;11723;222;142;177;78;1698;1604;2047;3542;619;8891;14971;1145.0;4935.0;1050.0;416.0
2027;199113;11990;185;143;168;80;1415;1615;1943;3633;576;8606;14822;1168.0;5048.0;804.0;396.0
2028;203566;12293;175;151;144;81;1338;1705;1666;3679;551;8388;14757;1194.0;5175.0;803.0;365.0
2029;207636;12576;209;145;152;56;1598;1638;1758;2543;562;7537;14050;1218.0;5295.0;1058.0;405.0
2030;211972;12752;214;145;173;78;1637;1638;2001;3542;610;8818;15430;1243.0;5369.0;986.0;423.0
2031;215385;12950;189;141;178;72;1445;1592;2059;3270;580;8366;15081;1263.0;5452.0;798.0;370.0
2032;218874;13230;197;147;170;80;1507;1660;1966;3633;594;8766;15620;1284.0;5570.0;936.0;373.0
2033;221463;13198;197;140;150;70;1507;1581;1735;3179;557;8002;14857;1299.0;5556.0;854.0;371.0
2034;224882;13523;187;140;175;92;1430;1581;2024;4178;594;9213;16225;1319.0;5693.0;816.0;393.0
2035;226579;13628;174;159;180;69;1331;1796;2082;3134;582;8343;15409;1329.0;5737.0;878.0;389.0
2036;229251;13786;208;152;185;82;1591;1717;2140;3724;627;9172;16321;1345.0;5804.0;1008.0;415.0
2037;230783;14086;195;157;162;62;1491;1773;1874;2816;576;7954;15238;1354.0;5930.0;919.0;369.0
2038;232552;13855;210;171;164;75;1606;1931;1897;3406;620;8840;16037;1364.0;5833.0;955.0;396.0
2039;233690;14036;202;151;183;78;1545;1705;2117;3542;614;8909;16189;1371.0;5909.0;885.0;397.0
2040;235340;14218;188;171;192;88;1438;1931;2221;3996;639;9586;16952;1380.0;5986.0;862.0;402.0
2041;236372;14289;219;162;174;87;1675;1830;2013;3951;642;9469;16871;1386.0;6016.0;972.0;407.0
2042;237679;14124;228;164;168;76;1744;1852;1943;3451;636;8990;16330;1394.0;5946.0;1025.0;421.0
2043;238576;14299;195;176;185;70;1491;1988;2140;3179;626;8798;16217;1399.0;6020.0;919.0;393.0
2044;239543;14490;255;177;175;79;1950;1999;2024;3588;686;9561;17066;1405.0;6100.0;1162.0;432.0
2045;240241;14467;219;171;192;103;1675;1931;2221;4678;685;10505;18005;1409.0;6091.0;1078.0;424.0
2046;241612;14217;237;163;192;71;1812;1841;2221;3224;663;9098;16500;1417.0;5985.0;1136.0;429.0
2047;242141;14281;216;161;199;83;1652;1818;2302;3769;659;9541;16973;1420.0;6012.0;1052.0;440.0
2048;243452;14639;182;144;199;84;1392;1626;2302;3815;609;9135;16726;1428.0;6163.0;770.0;393.0
2049;245191;14369;211;199;210;63;1614;2247;2429;2861;683;9151;16638;1438.0;6049.0;982.0;418.0
2050;245841;14679;222;160;195;81;1698;1807;2256;3679;658;9440;17062;1442.0;6180.0;1002.0;446.0
2051;247903;14844;211;162;201;94;1614;1830;2325;4269;668;10038;17741;1454.0;6249.0;975.0;430.0
2052;249218;14855;238;168;207;86;1820;1897;2394;3906;699;10017;17733;1462.0;6254.0;1196.0;465.0
2053;250653;14926;207;187;203;69;1583;2112;2348;3134;666;9177;16931;1470.0;6284.0;1031.0;431.0
2054;251875;15023;241;188;193;87;1843;2123;2233;3951;709;10150;17952;1477.0;6325.0;1182.0;431.0
2055;252973;15297;223;170;217;102;1705;1920;2510;4632;712;10767;18691;1484.0;6440.0;1085.0;440.0
2056;252796;15215;243;186;192;93;1858;2101;2221;4224;714;10404;18293;1483.0;6406.0;1180.0;448.0
2057;252773;15356;268;189;186;90;2049;2134;2152;4087;733;10422;18370;1483.0;6465.0;1190.0;475.0
2058;252897;15201;249;182;194;89;1904;2055;2244;4042;714;10245;18128;1483.0;6400.0;1083.0;460.0
2059;253716;15297;207;184;213;97;1583;2078;2464;4405;701;10530;18458;1488.0;6440.0;884.0;416.0
2060;252408;15057;216;204;197;91;1652;2304;2279;4133;708;10368;18187;1480.0;6339.0;971.0;457.0
2061;251999;15104;263;172;216;86;2011;1942;2499;3906;737;10358;18195;1478.0;6359.0;1166.0;489.0
2062;250748;15223;256;187;201;102;1958;2112;2325;4632;746;11027;18907;1471.0;6409.0;1097.0;479.0
2063;248556;15097;219;192;215;91;1675;2168;2487;4133;717;10463;18277;1458.0;6356.0;933.0;452.0
2064;246755;14912;205;189;201;73;1568;2134;2325;3315;668;9342;17067;1447.0;6278.0;914.0;408.0
2065;244238;14716;232;186;178;80;1774;2101;2059;3633;676;9567;17195;1432.0;6196.0;1091.0;434.0
2066;242602;14645;200;191;195;77;1529;2157;2256;3497;663;9439;17028;1423.0;6166.0;915.0;410.0
2067;240433;14372;223;164;192;98;1705;1852;2221;4451;677;10229;17690;1410.0;6051.0;745.0;423.0
2068;238461;14518;225;188;185;99;1721;2123;2140;4496;697;10480;17991;1399.0;6112.0;934.0;400.0
2069;235671;14433;206;194;190;94;1575;2191;2198;4269;684;10233;17691;1382.0;6076.0;815.0;395.0
2070;233532;14065;224;165;197;94;1713;1863;2279;4269;680;10124;17415;1370.0;5921.0;912.0;409.0
2071;231310;14015;195;174;197;101;1491;1965;2279;4587;667;10322;17579;1357.0;5900.0;896.0;395.0
2072;229410;13625;194;206;208;106;1484;2326;2406;4814;714;11030;18111;1345.0;5736.0;815.0;388.0
2073;227885;13743;181;189;187;99;1384;2134;2163;4496;656;10177;17300;1337.0;5786.0;771.0;367.0
2074;226584;13727;202;216;184;85;1545;2439;2128;3860;687;9972;17080;1329.0;5779.0;893.0;389.0
2075;224434;13451;200;179;192;85;1529;2021;2221;3860;656;9631;16610;1316.0;5663.0;759.0;378.0
2076;223685;13502;199;196;192;88;1522;2213;2221;3996;675;9952;16948;1312.0;5684.0;969.0;396.0
2077;221513;13372;207;199;178;86;1583;2247;2059;3906;670;9795;16724;1299.0;5630.0;885.0;399.0
2078;220877;13240;197;192;184;88;1507;2168;2128;3996;661;9799;16668;1295.0;5574.0;893.0;390.0
2079;219065;13175;180;195;189;67;1377;2202;2186;3043;631;8808;15640;1285.0;5547.0;829.0;366.0
2080;219127;13216;186;206;170;102;1422;2326;1966;4632;664;10346;17195;1285.0;5564.0;730.0;374.0
2081;218207;13123;197;194;200;80;1507;2191;2313;3633;671;9644;16449;1280.0;5525.0;879.0;379.0
2082;218687;13105;179;165;161;86;1369;1863;1862;3906;591;9000;15800;1283.0;5517.0;885.0;326.0
2083;215921;13147;204;207;190;79;1560;2338;2198;3588;680;9684;16485;1266.0;5535.0;769.0;392.0
2084;216943;13105;190;179;180;86;1453;2021;2082;3906;635;9462;16251;1272.0;5517.0;799.0;369.0
2085;213068;12786;213;197;191;90;1629;2225;2209;4087;691;10150;16783;1250.0;5383.0;968.0;403.0
