Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;AsymtomaticCCRDiscovered
2023;125351;7940;265;274;280;129;2027;3094;3239;5858;948;14218;18296;735.0;3343.0;1316.0;515.0
2024;128040;8113;305;230;241;118;2332;2597;2788;5359;894;13076;17243;751.0;3416.0;1403.0;553.0
2025;130532;7981;184;176;150;87;1407;1988;1735;3951;597;9081;13207;766.0;3360.0;805.0;326.0
2026;132359;8005;156;152;148;91;1193;1717;1712;4133;547;8755;12901;776.0;3370.0;637.0;289.0
2027;134783;8111;149;148;151;82;1139;1671;1747;3724;530;8281;12487;791.0;3415.0;585.0;300.0
2028;136403;8394;163;170;139;90;1247;1920;1608;4087;562;8862;13196;800.0;3534.0;755.0;320.0
2029;138758;8469;158;156;148;77;1208;1762;1712;3497;539;8179;12558;814.0;3565.0;677.0;310.0
2030;140894;8536;175;163;176;84;1338;1841;2036;3815;598;9030;13450;826.0;3594.0;759.0;339.0
2031;143369;8668;176;173;166;91;1346;1954;1920;4133;606;9353;13843;841.0;3649.0;740.0;320.0
2032;145394;8931;166;183;172;85;1269;2067;1990;3860;606;9186;13799;853.0;3760.0;815.0;320.0
2033;146592;8900;149;183;132;81;1139;2067;1527;3679;545;8412;13019;860.0;3747.0;579.0;287.0
2034;148035;9026;165;166;169;103;1262;1875;1955;4678;603;9770;14438;868.0;3800.0;747.0;318.0
2035;149139;9123;142;176;155;86;1086;1988;1793;3906;559;8773;13489;875.0;3841.0;528.0;308.0
2036;150613;9104;173;174;176;94;1323;1965;2036;4269;617;9593;14309;883.0;3833.0;697.0;324.0
2037;151940;9394;162;184;175;71;1239;2078;2024;3224;592;8565;13411;891.0;3955.0;720.0;306.0
2038;153885;9381;182;195;169;90;1392;2202;1955;4087;636;9636;14488;903.0;3949.0;804.0;340.0
2039;155802;9510;178;180;190;94;1361;2033;2198;4269;642;9861;14779;914.0;4004.0;779.0;335.0
2040;158218;9720;157;197;201;104;1201;2225;2325;4723;659;10474;15494;928.0;4092.0;634.0;353.0
2041;159998;9819;184;190;187;83;1407;2146;2163;3769;644;9485;14557;938.0;4134.0;846.0;357.0
2042;162717;9696;189;173;158;84;1445;1954;1828;3815;604;9042;14078;954.0;4082.0;789.0;331.0
2043;164155;10057;166;205;190;79;1269;2315;2198;3588;640;9370;14567;963.0;4234.0;743.0;352.0
2044;167219;10133;198;205;201;87;1514;2315;2325;3951;691;10105;15352;981.0;4266.0;833.0;371.0
2045;168386;10172;163;197;189;100;1247;2225;2186;4541;649;10199;15469;988.0;4282.0;696.0;333.0
2046;171593;10325;187;171;185;83;1430;1931;2140;3769;626;9270;14623;1006.0;4347.0;838.0;335.0
2047;172178;10235;194;174;196;84;1484;1965;2267;3815;648;9531;14850;1010.0;4309.0;985.0;374.0
2048;174779;10620;173;179;199;100;1323;2021;2302;4541;651;10187;15683;1025.0;4471.0;643.0;355.0
2049;175701;10379;178;241;207;70;1361;2722;2394;3179;696;9656;15056;1030.0;4370.0;780.0;363.0
2050;177431;10712;181;194;187;88;1384;2191;2163;3996;650;9734;15285;1041.0;4510.0;883.0;372.0
2051;178791;10765;188;200;200;102;1438;2259;2313;4632;690;10642;16223;1049.0;4532.0;859.0;382.0
