Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;AsymtomaticCCRDiscovered
2023;1122832;13589;821;0;309296;5143;154961;644;9060;433.0;644.0;359.0;276.0;300.0;142.0;1725.0;644.0
2024;1135600;12481;1260;0;315831;4066;158241;660;9308;330.0;660.0;330.0;254.0;278.0;128.0;1632.0;660.0
2025;1146821;14554;2117;0;321256;3549;161297;366;9399;240.0;366.0;205.0;168.0;158.0;75.0;884.0;366.0
2026;1159258;13808;2937;0;326566;3470;165160;367;9603;233.0;367.0;196.0;143.0;163.0;98.0;922.0;367.0
2027;1170129;14182;3951;0;331591;3353;168639;357;9802;192.0;357.0;183.0;142.0;151.0;73.0;861.0;357.0
2028;1180360;14305;5011;0;336512;3369;171595;360;10086;202.0;360.0;155.0;148.0;168.0;91.0;728.0;360.0
2029;1189654;13294;5887;0;341989;3334;174490;353;10172;193.0;353.0;175.0;151.0;145.0;75.0;777.0;353.0
2030;1197061;14265;6542;0;347652;3316;177244;362;10268;218.0;362.0;187.0;149.0;179.0;65.0;835.0;362.0
2031;1204784;14447;6866;0;353178;3292;180423;372;10543;235.0;372.0;192.0;172.0;163.0;80.0;870.0;372.0
2032;1212365;13426;7186;0;357134;3215;183083;350;10768;245.0;350.0;183.0;156.0;172.0;84.0;814.0;350.0
2033;1218605;14108;7776;0;360479;3133;186474;350;10854;224.0;350.0;178.0;161.0;154.0;81.0;775.0;350.0
2034;1224937;13760;8553;0;363655;3108;189354;356;11119;238.0;356.0;179.0;152.0;169.0;94.0;732.0;356.0
2035;1230144;13640;9129;0;366834;3080;192522;403;11273;205.0;403.0;200.0;157.0;169.0;82.0;854.0;403.0
2036;1234655;13260;10084;0;370396;3043;194883;340;11317;235.0;340.0;171.0;162.0;171.0;71.0;797.0;340.0
2037;1237831;15377;10821;0;374538;2992;197417;376;11801;234.0;376.0;186.0;177.0;173.0;74.0;922.0;376.0
2038;1242387;14989;11483;0;379204;2953;199215;398;11598;247.0;398.0;215.0;171.0;191.0;68.0;991.0;398.0
2039;1245893;13428;11897;0;384498;2909;201563;405;11823;246.0;405.0;195.0;171.0;181.0;104.0;925.0;405.0
2040;1247424;13959;12520;0;389750;2867;202692;382;11898;242.0;382.0;186.0;151.0;194.0;93.0;776.0;382.0
2041;1248863;13205;12680;0;395170;2852;205213;424;12061;245.0;424.0;210.0;162.0;212.0;85.0;758.0;424.0
2042;1249388;14757;13359;0;400368;2783;206311;409;11837;232.0;409.0;216.0;176.0;159.0;90.0;950.0;409.0
2043;1250786;13959;13526;0;405864;2728;208696;396;12216;235.0;396.0;212.0;169.0;179.0;71.0;920.0;396.0
2044;1251219;13838;13981;0;411145;2719;209764;367;12251;270.0;367.0;192.0;190.0;177.0;78.0;920.0;367.0
2045;1251076;13060;14243;0;416529;2664;211584;394;12334;268.0;394.0;232.0;175.0;167.0;88.0;993.0;394.0
