Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;AsymtomaticCCRDiscovered
2023;68679;4393;151;242;219;121;1155;2733;2533;5495;733;11916;14168;403.0;1849.0;596.0;300.0
2024;71577;4597;188;217;184;117;1438;2451;2128;5313;706;11330;13685;420.0;1935.0;727.0;326.0
2025;74478;4558;126;202;139;99;964;2281;1608;4496;566;9349;11705;437.0;1919.0;454.0;222.0
2026;76719;4644;106;162;155;113;811;1830;1793;5132;536;9566;11971;450.0;1955.0;373.0;190.0
2027;79554;4853;120;159;144;84;918;1796;1666;3815;507;8195;10705;467.0;2043.0;509.0;209.0
2028;81308;5070;102;182;136;93;780;2055;1573;4224;513;8632;11243;477.0;2134.0;400.0;202.0
2029;83304;5113;112;176;140;97;856;1988;1619;4405;525;8868;11510;489.0;2153.0;359.0;197.0
2030;84361;5216;104;204;165;105;795;2304;1909;4768;578;9776;12467;495.0;2196.0;416.0;211.0
2031;86531;5291;104;210;182;97;795;2372;2105;4405;593;9677;12413;508.0;2228.0;404.0;195.0
2032;87062;5351;111;205;180;119;849;2315;2082;5404;615;10650;13414;511.0;2253.0;400.0;210.0
2033;88206;5469;127;203;151;104;971;2293;1747;4723;585;9734;12553;517.0;2302.0;456.0;210.0
2034;88703;5395;130;186;179;120;994;2101;2071;5450;615;10616;13407;520.0;2271.0;574.0;233.0
2035;88822;5475;108;219;148;98;826;2473;1712;4451;573;9462;12288;521.0;2305.0;381.0;210.0
2036;88275;5368;120;211;170;103;918;2383;1966;4678;604;9945;12723;518.0;2260.0;470.0;212.0
2037;88134;5471;110;218;159;90;841;2462;1839;4087;577;9229;12049;517.0;2303.0;396.0;192.0
2038;87296;5368;123;224;155;93;941;2530;1793;4224;595;9488;12260;512.0;2260.0;464.0;203.0
2039;87429;5403;122;219;176;100;933;2473;2036;4541;617;9983;12771;513.0;2275.0;458.0;210.0
2040;87711;5402;118;238;171;116;902;2688;1978;5268;643;10836;13624;514.0;2274.0;509.0;227.0
2041;88541;5444;135;231;169;115;1032;2609;1955;5223;650;10819;13630;519.0;2292.0;522.0;234.0
2042;89774;5434;129;219;169;110;986;2473;1955;4996;627;10410;13225;527.0;2288.0;488.0;233.0
