Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;93895;5912;203;257;244;122;1552;2902;2822;5541;826;12817;15857;551.0;2489.0;1026.0;747.0;789.0;958.0;393.0
2024;95870;6081;230;228;219;126;1759;2575;2533;5722;803;12589;15711;562.0;2560.0;1004.0;701.0;749.0;931.0;426.0
2025;97856;5970;123;185;144;87;941;2089;1666;3951;539;8647;11734;574.0;2513.0;510.0;344.0;391.0;477.0;215.0
2026;99030;5953;134;155;139;101;1025;1750;1608;4587;529;8970;12057;581.0;2506.0;509.0;345.0;373.0;477.0;222.0
2027;101127;6147;127;162;134;92;971;1830;1550;4178;515;8529;11710;593.0;2588.0;533.0;359.0;383.0;486.0;232.0
2028;102091;6294;125;191;142;88;956;2157;1643;3996;546;8752;12001;599.0;2650.0;635.0;434.0;471.0;585.0;239.0
2029;104173;6366;124;186;147;95;948;2101;1700;4314;552;9063;12354;611.0;2680.0;507.0;353.0;376.0;466.0;235.0
2030;105360;6455;129;195;154;87;986;2202;1781;3951;565;8920;12256;618.0;2718.0;507.0;363.0;377.0;473.0;234.0
2031;107612;6526;129;200;169;98;986;2259;1955;4451;596;9651;13029;631.0;2747.0;496.0;340.0;372.0;465.0;240.0
2032;108761;6696;142;196;172;107;1086;2213;1990;4859;617;10148;13605;638.0;2819.0;642.0;451.0;481.0;591.0;252.0
2033;109920;6708;130;208;137;89;994;2349;1585;4042;564;8970;12439;645.0;2824.0;487.0;343.0;365.0;454.0;213.0
2034;110821;6722;137;181;172;117;1048;2044;1990;5313;607;10395;13875;650.0;2830.0;569.0;392.0;426.0;524.0;247.0
2035;111800;6806;95;199;146;93;726;2247;1689;4224;533;8886;12407;656.0;2865.0;371.0;234.0;262.0;337.0;208.0
2036;112742;6806;137;198;169;101;1048;2236;1955;4587;605;9826;13352;661.0;2865.0;578.0;391.0;429.0;528.0;244.0
2037;113863;7041;128;215;161;91;979;2428;1862;4133;595;9402;13034;668.0;2964.0;489.0;346.0;365.0;455.0;222.0
2038;115274;7035;138;216;173;106;1055;2439;2001;4814;633;10309;13947;676.0;2962.0;595.0;409.0;451.0;555.0;252.0
2039;116721;7160;146;200;194;104;1116;2259;2244;4723;644;10342;14041;685.0;3014.0;524.0;351.0;374.0;479.0;262.0
2040;118627;7258;126;221;184;113;964;2496;2128;5132;644;10720;14472;696.0;3056.0;487.0;335.0;367.0;450.0;256.0
2041;119852;7312;143;232;173;102;1094;2620;2001;4632;650;10347;14128;703.0;3078.0;683.0;476.0;508.0;629.0;268.0
2042;121975;7284;148;186;171;102;1132;2101;1978;4632;607;9843;13625;715.0;3067.0;521.0;358.0;394.0;481.0;259.0
