Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;AsymtomaticCCRDiscovered
2023;68678;4396;150;243;220;122;1147;2744;2545;5541;735;11977;14231;403.0;1851.0;586.0;302.0
2024;71576;4596;189;217;182;117;1445;2451;2105;5313;705;11314;13669;420.0;1935.0;723.0;325.0
2025;74480;4553;124;200;139;98;948;2259;1608;4451;561;9266;11620;437.0;1917.0;452.0;217.0
2026;76711;4649;106;164;159;114;811;1852;1839;5177;543;9679;12086;450.0;1957.0;386.0;197.0
2027;79557;4842;114;159;141;84;872;1796;1631;3815;498;8114;10620;467.0;2039.0;478.0;201.0
2028;81314;5058;103;183;129;92;788;2067;1492;4178;507;8525;11131;477.0;2129.0;407.0;194.0
2029;83306;5115;122;171;139;96;933;1931;1608;4360;528;8832;11474;489.0;2153.0;419.0;201.0
2030;84357;5227;110;196;170;103;841;2213;1966;4678;579;9698;12394;495.0;2201.0;447.0;219.0
2031;86534;5311;109;211;186;97;834;2383;2152;4405;603;9774;12518;508.0;2236.0;409.0;209.0
2032;87061;5344;110;205;173;120;841;2315;2001;5450;608;10607;13368;511.0;2250.0;402.0;206.0
2033;88197;5455;128;202;142;102;979;2281;1643;4632;574;9535;12349;517.0;2297.0;449.0;202.0
2034;88716;5403;132;187;186;117;1009;2112;2152;5313;622;10586;13381;520.0;2275.0;574.0;237.0
2035;88812;5472;106;220;156;99;811;2485;1805;4496;581;9597;12422;521.0;2304.0;408.0;213.0
2036;88267;5370;116;210;172;103;887;2372;1990;4678;601;9927;12706;518.0;2261.0;455.0;218.0
2037;88139;5471;111;216;160;92;849;2439;1851;4178;579;9317;12137;517.0;2303.0;384.0;193.0
2038;87295;5363;120;223;158;89;918;2518;1828;4042;590;9306;12076;512.0;2258.0;507.0;197.0
2039;87437;5420;132;216;177;96;1009;2439;2047;4360;621;9855;12650;513.0;2282.0;484.0;222.0
2040;87682;5391;116;233;169;116;887;2631;1955;5268;634;10741;13525;514.0;2270.0;475.0;225.0
2041;88557;5438;127;228;174;111;971;2575;2013;5041;640;10600;13408;519.0;2289.0;483.0;224.0
2042;89773;5435;142;212;158;110;1086;2394;1828;4996;622;10304;13119;527.0;2288.0;559.0;233.0
