Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;66711;4272;176;229;213;122;1346;2586;2464;5541;740;11937;14127;391.0;1799.0;783.0;559.0;604.0;735.0;307.0
2024;67753;4353;177;218;191;114;1354;2462;2209;5177;700;11202;13432;397.0;1833.0;724.0;511.0;547.0;678.0;317.0
2025;69554;4303;143;223;169;101;1094;2518;1955;4587;636;10154;12374;408.0;1812.0;727.0;518.0;566.0;689.0;284.0
2026;70657;4337;164;179;162;101;1254;2021;1874;4587;606;9736;11976;414.0;1826.0;829.0;574.0;603.0;760.0;288.0
2027;71390;4410;143;151;136;89;1094;1705;1573;4042;519;8414;10690;419.0;1857.0;498.0;317.0;357.0;456.0;263.0
2028;72327;4605;147;178;142;105;1124;2010;1643;4768;572;9545;11908;424.0;1939.0;563.0;379.0;419.0;524.0;284.0
2029;74507;4634;157;171;142;82;1201;1931;1643;3724;552;8499;10887;437.0;1951.0;693.0;485.0;519.0;641.0;290.0
2030;75970;4789;150;183;167;85;1147;2067;1932;3860;585;9006;11468;446.0;2016.0;718.0;508.0;532.0;667.0;287.0
2031;76911;4757;147;178;161;93;1124;2010;1862;4224;579;9220;11674;451.0;2003.0;609.0;403.0;448.0;562.0;267.0
2032;78230;4862;149;188;169;102;1139;2123;1955;4632;608;9849;12355;459.0;2047.0;635.0;437.0;475.0;586.0;283.0
2033;79036;4943;133;180;151;91;1017;2033;1747;4133;555;8930;11475;464.0;2081.0;477.0;325.0;357.0;441.0;249.0
2034;79534;4871;125;173;174;104;956;1954;2013;4723;576;9646;12163;466.0;2051.0;604.0;430.0;449.0;552.0;250.0
2035;80307;4974;125;187;156;91;956;2112;1805;4133;559;9006;11571;471.0;2094.0;451.0;294.0;325.0;414.0;264.0
2036;81840;5038;170;195;184;103;1300;2202;2128;4678;652;10308;12909;480.0;2121.0;658.0;427.0;497.0;612.0;312.0
2037;82652;5166;150;204;175;88;1147;2304;2024;3996;617;9471;12131;485.0;2175.0;624.0;424.0;460.0;582.0;281.0
2038;83564;5234;158;203;169;94;1208;2293;1955;4269;624;9725;12419;490.0;2204.0;678.0;477.0;512.0;634.0;293.0
2039;84888;5281;157;191;180;95;1201;2157;2082;4314;623;9754;12475;498.0;2223.0;601.0;417.0;447.0;553.0;281.0
2040;86099;5310;138;204;179;101;1055;2304;2071;4587;622;10017;12758;505.0;2236.0;595.0;400.0;454.0;553.0;283.0
2041;86560;5381;155;195;197;90;1185;2202;2279;4087;637;9753;12526;508.0;2265.0;762.0;542.0;582.0;708.0;315.0
2042;87755;5356;151;178;172;102;1155;2010;1990;4632;603;9787;12557;515.0;2255.0;551.0;377.0;413.0;500.0;288.0
2043;88753;5600;163;223;184;84;1247;2518;2128;3815;654;9708;12587;521.0;2358.0;707.0;487.0;531.0;658.0;321.0
2044;90597;5712;192;215;196;95;1468;2428;2267;4314;698;10477;13413;531.0;2405.0;783.0;543.0;580.0;726.0;332.0
2045;90586;5607;156;210;183;111;1193;2372;2117;5041;660;10723;13615;531.0;2361.0;609.0;428.0;454.0;567.0;300.0
2046;91571;5569;165;187;178;88;1262;2112;2059;3996;618;9429;12311;537.0;2345.0;744.0;518.0;557.0;698.0;287.0
2047;92921;5643;176;185;189;95;1346;2089;2186;4314;645;9935;12856;545.0;2376.0;813.0;571.0;603.0;750.0;327.0
2048;94719;5900;163;194;172;107;1247;2191;1990;4859;636;10287;13327;556.0;2484.0;565.0;376.0;425.0;529.0;304.0
2049;94016;5657;155;246;210;87;1185;2778;2429;3951;698;10343;13276;551.0;2382.0;708.0;513.0;549.0;659.0;311.0
2050;94281;5805;171;190;193;91;1308;2146;2233;4133;645;9820;12817;553.0;2444.0;766.0;549.0;587.0;712.0;318.0
