Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;93898;5912;201;256;244;124;1537;2891;2822;5631;825;12881;15921;551.0;2489.0;994.0;723.0;767.0;929.0;392.0
2024;95876;6081;233;225;218;125;1782;2541;2522;5677;801;12522;15644;562.0;2560.0;1018.0;707.0;758.0;945.0;424.0
2025;97856;5969;123;185;145;86;941;2089;1677;3906;539;8613;11700;574.0;2513.0;534.0;362.0;409.0;499.0;215.0
2026;99027;5954;134;159;140;101;1025;1796;1619;4587;534;9027;12115;581.0;2507.0;529.0;361.0;386.0;492.0;226.0
2027;101124;6149;128;165;135;91;979;1863;1562;4133;519;8537;11719;593.0;2589.0;523.0;353.0;374.0;476.0;236.0
2028;102090;6288;122;191;140;87;933;2157;1619;3951;540;8660;11906;599.0;2647.0;618.0;426.0;458.0;570.0;234.0
2029;104171;6373;128;187;150;96;979;2112;1735;4360;561;9186;12480;611.0;2683.0;540.0;374.0;404.0;497.0;243.0
2030;105351;6474;138;198;159;89;1055;2236;1839;4042;584;9172;12516;618.0;2726.0;545.0;386.0;401.0;508.0;252.0
2031;107617;6513;127;196;162;98;971;2213;1874;4451;583;9509;12882;631.0;2742.0;467.0;321.0;347.0;439.0;227.0
2032;108758;6692;135;196;174;110;1032;2213;2013;4996;615;10254;13709;638.0;2817.0;607.0;423.0;461.0;559.0;244.0
2033;109916;6726;138;208;137;89;1055;2349;1585;4042;572;9031;12508;645.0;2832.0;528.0;368.0;390.0;489.0;226.0
2034;110826;6728;136;180;166;117;1040;2033;1920;5313;599;10306;13789;650.0;2833.0;516.0;346.0;379.0;473.0;242.0
2035;111808;6787;84;199;146;89;642;2247;1689;4042;518;8620;12133;656.0;2857.0;343.0;223.0;241.0;310.0;192.0
2036;112747;6811;148;196;167;100;1132;2213;1932;4541;611;9818;13346;661.0;2867.0;669.0;459.0;492.0;613.0;247.0
2037;113853;7042;128;214;152;90;979;2417;1758;4087;584;9241;12874;668.0;2965.0;525.0;368.0;390.0;486.0;222.0
2038;115264;7019;128;213;172;107;979;2405;1990;4859;620;10233;13864;676.0;2955.0;542.0;380.0;412.0;508.0;242.0
2039;116681;7162;151;202;196;106;1155;2281;2267;4814;655;10517;14216;684.0;3015.0;548.0;367.0;396.0;504.0;270.0
2040;118639;7252;122;221;183;112;933;2496;2117;5086;638;10632;14381;696.0;3053.0;484.0;332.0;370.0;450.0;256.0
2041;119853;7308;134;234;181;104;1025;2643;2094;4723;653;10485;14265;703.0;3077.0;580.0;397.0;434.0;537.0;264.0
2042;121989;7273;147;190;169;101;1124;2146;1955;4587;607;9812;13589;715.0;3062.0;511.0;349.0;386.0;473.0;253.0
