Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;AsymtomaticCCRDiscovered
2023;68680;4392;149;243;219;121;1139;2744;2533;5495;732;11911;14163;403.0;1849.0;584.0;299.0
2024;71570;4601;191;218;185;117;1461;2462;2140;5313;711;11376;13733;420.0;1937.0;741.0;331.0
2025;74478;4556;126;199;140;100;964;2247;1619;4541;565;9371;11726;437.0;1918.0;454.0;220.0
2026;76715;4647;106;163;156;113;811;1841;1805;5132;538;9589;11995;450.0;1956.0;374.0;192.0
2027;79554;4850;118;159;145;84;902;1796;1677;3815;506;8190;10699;467.0;2042.0;507.0;208.0
2028;81315;5058;96;179;136;94;734;2021;1573;4269;505;8597;11203;477.0;2129.0;362.0;192.0
2029;83306;5107;114;170;136;98;872;1920;1573;4451;518;8816;11455;489.0;2150.0;357.0;190.0
2030;84368;5226;113;201;165;105;864;2270;1909;4768;584;9811;12506;495.0;2200.0;447.0;219.0
2031;86542;5309;110;213;186;95;841;2405;2152;4314;604;9712;12455;508.0;2235.0;427.0;208.0
2032;87059;5337;106;205;178;118;811;2315;2059;5359;607;10544;13302;511.0;2247.0;406.0;204.0
2033;88201;5462;121;205;150;103;925;2315;1735;4678;579;9653;12470;517.0;2300.0;447.0;205.0
2034;88706;5416;133;187;191;121;1017;2112;2209;5495;632;10833;13633;520.0;2280.0;577.0;246.0
2035;88831;5463;103;223;146;95;788;2518;1689;4314;567;9309;12130;521.0;2300.0;415.0;202.0
2036;88269;5362;114;208;168;101;872;2349;1943;4587;591;9751;12526;518.0;2257.0;446.0;202.0
2037;88139;5472;118;210;159;92;902;2372;1839;4178;579;9291;12112;517.0;2304.0;403.0;195.0
2038;87301;5372;133;220;154;93;1017;2485;1781;4224;600;9507;12281;512.0;2262.0;516.0;205.0
2039;87424;5405;131;219;167;101;1002;2473;1932;4587;618;9994;12783;513.0;2276.0;500.0;214.0
2040;87696;5394;114;234;175;113;872;2643;2024;5132;636;10671;13456;514.0;2271.0;479.0;222.0
2041;88542;5449;134;228;180;113;1025;2575;2082;5132;655;10814;13627;519.0;2294.0;496.0;232.0
2042;89776;5418;126;220;162;110;964;2485;1874;4996;618;10319;13127;527.0;2281.0;493.0;225.0
