Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;171387;10766;386;284;309;147;2952;3207;3574;6676;1126;16409;21947;1005.0;4533.0;1834.0;1276.0;1354.0;1689.0;693.0
2024;176293;11120;342;258;290;132;2615;2914;3355;5995;1022;14879;20595;1034.0;4682.0;1628.0;1149.0;1255.0;1524.0;700.0
2025;180775;10962;199;165;158;75;1522;1863;1828;3406;597;8619;14294;1060.0;4615.0;842.0;587.0;652.0;792.0;374.0
2026;186028;11244;214;135;159;92;1637;1525;1839;4178;600;9179;15004;1091.0;4734.0;967.0;666.0;727.0;903.0;392.0
2027;190867;11545;206;135;154;69;1575;1525;1781;3134;564;8015;13995;1119.0;4861.0;1034.0;726.0;770.0;953.0;384.0
2028;195076;11864;170;135;164;85;1300;1525;1897;3860;554;8582;14721;1144.0;4995.0;753.0;519.0;562.0;693.0;373.0
2029;199521;12112;180;149;141;68;1377;1683;1631;3088;538;7779;14048;1170.0;5099.0;750.0;518.0;554.0;698.0;363.0
2030;203576;12246;185;142;181;67;1415;1604;2094;3043;575;8156;14506;1194.0;5156.0;844.0;583.0;636.0;785.0;372.0
2031;208250;12618;198;180;167;77;1514;2033;1932;3497;622;8976;15509;1221.0;5312.0;887.0;612.0;650.0;810.0;401.0
2032;212625;12920;200;146;173;76;1529;1649;2001;3451;595;8630;15316;1247.0;5439.0;879.0;612.0;659.0;815.0;374.0
2033;217724;13055;192;155;153;77;1468;1750;1770;3497;577;8485;15258;1277.0;5496.0;828.0;555.0;606.0;761.0;371.0
2034;222360;13446;184;161;185;87;1407;1818;2140;3951;617;9316;16281;1304.0;5661.0;759.0;514.0;567.0;706.0;396.0
2035;227011;13791;220;155;166;85;1682;1750;1920;3860;626;9212;16349;1331.0;5806.0;935.0;624.0;720.0;868.0;443.0
2036;231281;13942;187;155;170;70;1430;1750;1966;3179;582;8325;15551;1356.0;5870.0;839.0;571.0;610.0;767.0;368.0
2037;235146;14436;204;169;185;65;1560;1909;2140;2952;623;8561;16018;1379.0;6078.0;971.0;694.0;734.0;900.0;415.0
2038;238802;14309;229;166;177;71;1751;1875;2047;3224;643;8897;16322;1401.0;6024.0;1044.0;727.0;774.0;959.0;430.0
2039;242383;14643;212;155;187;89;1621;1750;2163;4042;643;9576;17163;1422.0;6165.0;871.0;589.0;648.0;808.0;425.0
2040;244885;14861;194;146;196;90;1484;1649;2267;4087;626;9487;17180;1436.0;6257.0;759.0;510.0;570.0;713.0;408.0
2041;248001;15112;227;140;206;83;1736;1581;2383;3769;656;9469;17286;1455.0;6362.0;869.0;607.0;651.0;803.0;450.0
2042;249859;14861;224;161;169;78;1713;1818;1955;3542;632;9028;16750;1465.0;6257.0;1076.0;762.0;805.0;994.0;439.0
2043;252163;15266;250;163;192;66;1912;1841;2221;2997;671;8971;16877;1479.0;6427.0;1100.0;750.0;820.0;1011.0;460.0
2044;253470;15350;211;180;193;70;1614;2033;2233;3179;654;9059;17008;1487.0;6462.0;953.0;673.0;722.0;891.0;428.0
2045;254877;15449;236;169;175;85;1805;1909;2024;3860;665;9598;17597;1495.0;6504.0;1027.0;715.0;788.0;973.0;433.0
2046;255492;15070;216;144;197;80;1652;1626;2279;3633;637;9190;17033;1498.0;6345.0;923.0;653.0;703.0;854.0;443.0
2047;256241;15223;225;140;198;78;1721;1581;2290;3542;641;9134;17046;1503.0;6409.0;890.0;609.0;666.0;828.0;439.0
2048;256308;15519;224;177;196;79;1713;1999;2267;3588;676;9567;17604;1503.0;6534.0;974.0;673.0;731.0;907.0;468.0
2049;256598;15124;221;175;211;74;1690;1976;2441;3361;681;9468;17340;1505.0;6367.0;983.0;694.0;737.0;910.0;438.0
2050;256166;15356;211;159;203;63;1614;1796;2348;2861;636;8619;16586;1502.0;6465.0;993.0;705.0;769.0;928.0;432.0
2051;256648;15520;226;181;203;89;1728;2044;2348;4042;699;10162;18201;1505.0;6534.0;1118.0;806.0;839.0;1035.0;477.0
2052;257167;15321;211;155;192;84;1614;1750;2221;3815;642;9400;17358;1508.0;6450.0;1003.0;705.0;766.0;935.0;427.0
2053;258044;15401;252;148;181;65;1927;1671;2094;2952;646;8644;16641;1513.0;6484.0;1073.0;744.0;803.0;1005.0;439.0
