Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;AsymtomaticCCRDiscovered
2023;1122832;14235;831;0;309296;5132;17203;58;1030;433.0;58.0;47.0;200.0;134.0;110.0;130.0;58.0
2024;1136236;12965;1228;0;315833;4641;18010;74;1111;428.0;74.0;55.0;198.0;134.0;115.0;194.0;74.0
2025;1147973;14211;2094;0;321258;4624;18729;48;1082;434.0;48.0;46.0;211.0;122.0;103.0;97.0;48.0
2026;1160090;14789;2932;0;326567;4646;19279;49;1148;461.0;49.0;37.0;207.0;141.0;125.0;150.0;49.0
2027;1171947;13325;3918;0;331594;4647;20085;42;1211;412.0;42.0;36.0;201.0;113.0;104.0;112.0;42.0
2028;1181354;13131;5066;0;336516;4727;20307;42;1205;480.0;42.0;35.0;240.0;134.0;113.0;109.0;42.0
2029;1189419;12762;5892;0;341988;4751;20949;64;1233;475.0;64.0;58.0;234.0;130.0;117.0;131.0;64.0
2030;1196289;14142;6645;0;347642;4749;20911;46;1232;503.0;46.0;39.0;243.0;154.0;113.0;128.0;46.0
2031;1203786;14507;6873;0;353198;4733;21760;53;1249;538.0;53.0;38.0;253.0;171.0;129.0;63.0;53.0
2032;1211420;13374;7436;0;357117;4674;21568;57;1271;558.0;57.0;54.0;256.0;158.0;147.0;143.0;57.0
2033;1217358;13957;7790;0;360446;4608;22110;43;1364;528.0;43.0;46.0;257.0;141.0;127.0;109.0;43.0
2034;1223525;13760;8222;0;363592;4563;21886;66;1299;547.0;66.0;48.0;238.0;192.0;135.0;128.0;66.0
2035;1229063;13862;9178;0;366734;4513;22301;65;1318;525.0;65.0;42.0;278.0;144.0;126.0;113.0;65.0
2036;1233747;15344;9979;0;370293;4492;21821;47;1255;538.0;47.0;55.0;238.0;165.0;127.0;127.0;47.0
2037;1239112;14178;10879;0;374388;4450;22076;48;1383;543.0;48.0;54.0;258.0;154.0;125.0;84.0;48.0
2038;1242411;12839;11509;0;379047;4439;21595;65;1236;550.0;65.0;53.0;273.0;161.0;128.0;173.0;65.0
2039;1243741;13046;12231;0;384321;4396;21911;51;1296;562.0;51.0;48.0;273.0;168.0;124.0;151.0;51.0
2040;1244556;13497;12636;0;389544;4386;21731;66;1246;559.0;66.0;47.0;277.0;161.0;140.0;134.0;66.0
2041;1245417;13639;12979;0;394909;4402;22150;50;1337;567.0;50.0;40.0;290.0;155.0;132.0;102.0;50.0
2042;1246077;14594;13199;0;400073;4371;22146;44;1245;539.0;44.0;41.0;265.0;140.0;137.0;88.0;44.0
