Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;AsymtomaticCCRDiscovered
2023;1122832;13437;893;0;309297;5141;51586;227;3103;433.0;227.0;117.0;234.0;193.0;116.0;487.0;227.0
2024;1135376;13456;1217;0;315832;4481;53612;256;3192;394.0;256.0;152.0;208.0;174.0;116.0;599.0;256.0
2025;1147615;13789;2054;0;321258;4299;55939;145;3292;371.0;145.0;89.0;192.0;137.0;98.0;285.0;145.0
2026;1159350;13424;2909;0;326568;4276;57431;151;3352;386.0;151.0;85.0;187.0;145.0;120.0;280.0;151.0
2027;1169865;14923;4088;0;331599;4268;59734;165;3509;329.0;165.0;102.0;175.0;124.0;93.0;412.0;165.0
2028;1180700;14518;5059;0;336513;4319;60852;146;3670;369.0;146.0;90.0;209.0;121.0;95.0;421.0;146.0
2029;1190159;13244;5845;0;341994;4335;62574;146;3630;384.0;146.0;96.0;198.0;132.0;104.0;320.0;146.0
2030;1197558;14098;6551;0;347647;4342;63058;165;3818;410.0;165.0;94.0;214.0;160.0;107.0;303.0;165.0
2031;1205105;14893;6978;0;353185;4301;65001;142;3831;434.0;142.0;87.0;216.0;170.0;103.0;298.0;142.0
2032;1213020;14200;7256;0;357127;4255;65117;147;3839;452.0;147.0;82.0;218.0;173.0;126.0;263.0;147.0
2033;1219964;13489;7623;0;360471;4206;66105;147;3994;432.0;147.0;93.0;226.0;153.0;107.0;236.0;147.0
2034;1225830;14654;8402;0;363639;4160;66388;180;3907;443.0;180.0;112.0;195.0;185.0;131.0;403.0;180.0
2035;1232082;14302;9267;0;366782;4101;66602;145;3917;414.0;145.0;85.0;228.0;142.0;104.0;328.0;145.0
2036;1237117;12475;9979;0;370316;4112;66002;148;3833;441.0;148.0;89.0;220.0;169.0;111.0;318.0;148.0
2037;1239613;12750;10881;0;374413;4068;66072;160;3972;440.0;160.0;97.0;238.0;157.0;108.0;327.0;160.0
2038;1241482;13427;11497;0;379082;4036;65265;164;3868;453.0;164.0;105.0;233.0;164.0;115.0;415.0;164.0
2039;1243412;13942;11887;0;384360;4022;65518;153;3900;465.0;153.0;94.0;235.0;176.0;113.0;331.0;153.0
2040;1245467;13870;12535;0;389578;4004;65594;174;3812;463.0;174.0;87.0;248.0;179.0;123.0;322.0;174.0
2041;1246802;12841;13094;0;394918;3984;66310;180;3870;465.0;180.0;111.0;253.0;161.0;120.0;420.0;180.0
2042;1246549;14230;13276;0;400060;3917;67165;163;3855;441.0;163.0;108.0;221.0;163.0;112.0;391.0;163.0
