Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;AsymtomaticCCRDiscovered
2023;1122832;14187;848;0;309296;5140;68680;299;4093;433.0;299.0;149.0;244.0;219.0;120.0;596.0;299.0
2024;1136171;12990;1226;0;315832;4408;71573;327;4270;380.0;327.0;189.0;217.0;185.0;116.0;737.0;327.0
2025;1147935;14493;1972;0;321261;4180;74474;224;4335;344.0;224.0;128.0;201.0;140.0;99.0;464.0;224.0
2026;1160456;14522;2982;0;326572;4115;76710;198;4454;347.0;198.0;108.0;165.0;158.0;114.0;387.0;198.0
2027;1171996;13684;3972;0;331594;4090;79554;200;4638;298.0;200.0;111.0;160.0;143.0;84.0;469.0;200.0
2028;1181708;14457;4964;0;336512;4123;81311;194;4866;312.0;194.0;100.0;182.0;131.0;93.0;397.0;194.0
2029;1191201;14998;5971;0;341993;4165;83309;200;4915;328.0;200.0;119.0;172.0;140.0;97.0;376.0;200.0
2030;1200228;14217;6635;0;347660;4180;84361;217;5006;362.0;217.0;115.0;197.0;163.0;104.0;440.0;217.0
2031;1207810;13844;6849;0;353200;4127;86543;207;5101;395.0;207.0;111.0;211.0;183.0;97.0;416.0;207.0
2032;1214805;14436;7352;0;357141;4055;87061;204;5135;404.0;204.0;106.0;203.0;177.0;122.0;377.0;204.0
2033;1221889;13595;7657;0;360479;3969;88191;203;5253;371.0;203.0;123.0;204.0;143.0;104.0;433.0;203.0
2034;1227827;14801;8274;0;363623;3929;88720;244;5168;389.0;244.0;135.0;190.0;190.0;118.0;588.0;244.0
2035;1234354;13166;9162;0;366802;3874;88822;208;5256;362.0;208.0;106.0;218.0;152.0;94.0;419.0;208.0
2036;1238358;13832;9794;0;370310;3884;88269;212;5158;388.0;212.0;118.0;207.0;167.0;108.0;478.0;212.0
2037;1242396;13649;10906;0;374453;3818;88133;191;5274;392.0;191.0;112.0;217.0;163.0;91.0;371.0;191.0
2038;1245139;13241;11504;0;379092;3803;87302;196;5165;392.0;196.0;119.0;223.0;158.0;88.0;492.0;196.0
2039;1246876;14442;12416;0;384361;3801;87424;222;5190;398.0;222.0;133.0;212.0;174.0;101.0;498.0;222.0
2040;1248902;13002;12490;0;389608;3786;87712;226;5176;409.0;226.0;120.0;231.0;166.0;118.0;470.0;226.0
2041;1249414;14140;12899;0;394947;3764;88552;226;5216;414.0;226.0;130.0;230.0;173.0;107.0;493.0;226.0
2042;1250655;14700;13157;0;400105;3734;89798;227;5194;391.0;227.0;133.0;213.0;162.0;110.0;522.0;227.0
