Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;AsymtomaticCCRDiscovered
2023;1122832;14074;827;0;309296;5147;230693;904;13489;433.0;904.0;478.0;325.0;374.0;160.0;2348.0;904.0
2024;1136079;14294;1239;0;315832;3810;236437;883;13781;313.0;883.0;431.0;270.0;350.0;145.0;2311.0;883.0
2025;1149134;13159;2022;0;321258;3089;242265;446;14205;185.0;446.0;250.0;141.0;156.0;84.0;1110.0;446.0
2026;1160271;12869;3061;0;326567;2953;247647;433;14347;163.0;433.0;210.0;144.0;158.0;84.0;1060.0;433.0
2027;1170079;13374;3954;0;331597;2857;253297;399;14745;149.0;399.0;203.0;128.0;158.0;59.0;1112.0;399.0
2028;1179499;13360;4922;0;336513;2864;257858;467;15033;151.0;467.0;215.0;147.0;174.0;82.0;1044.0;467.0
2029;1187937;13724;5877;0;341993;2787;263487;430;15403;133.0;430.0;204.0;135.0;156.0;68.0;917.0;430.0
2030;1195784;13406;6485;0;347645;2754;267566;428;15617;156.0;428.0;226.0;129.0;169.0;60.0;1098.0;428.0
2031;1202705;14031;6880;0;353183;2710;272542;415;15930;166.0;415.0;204.0;138.0;171.0;68.0;918.0;415.0
2032;1209856;14130;7224;0;357141;2650;276573;421;16196;180.0;421.0;214.0;134.0;183.0;70.0;965.0;421.0
2033;1216762;14372;7787;0;360478;2588;280608;435;16285;161.0;435.0;229.0;125.0;166.0;76.0;923.0;435.0
2034;1223347;14801;8594;0;363659;2525;283857;440;16645;155.0;440.0;212.0;144.0;165.0;74.0;1074.0;440.0
2035;1229554;14128;9060;0;366847;2512;286986;472;16743;159.0;472.0;230.0;152.0;172.0;77.0;1287.0;472.0
2036;1234622;13781;9984;0;370429;2453;289474;420;16948;164.0;420.0;212.0;125.0;183.0;64.0;883.0;420.0
2037;1238419;12665;10775;0;374527;2406;291446;453;17217;159.0;453.0;220.0;153.0;171.0;68.0;1056.0;453.0
2038;1240309;13137;11436;0;379214;2356;293227;430;17038;174.0;430.0;224.0;144.0;178.0;58.0;1036.0;430.0
2039;1242010;12962;12147;0;384521;2344;294349;477;17060;169.0;477.0;247.0;153.0;180.0;66.0;1217.0;477.0
2040;1242825;13588;12447;0;389784;2312;295239;458;17348;178.0;458.0;219.0;147.0;192.0;78.0;1028.0;458.0
2041;1243966;13632;12600;0;395223;2287;296037;476;17332;175.0;476.0;247.0;133.0;192.0;79.0;1025.0;476.0
2042;1244998;14069;13378;0;400451;2237;297258;467;17243;170.0;467.0;233.0;155.0;178.0;71.0;1026.0;467.0
2043;1245689;13100;13538;0;405968;2185;297741;478;17408;185.0;478.0;265.0;148.0;185.0;65.0;1184.0;478.0
2044;1245251;13921;13903;0;411383;2141;299341;477;17605;196.0;477.0;241.0;172.0;191.0;69.0;1201.0;477.0
2045;1245269;13436;14111;0;416728;2086;299963;447;17598;206.0;447.0;237.0;167.0;174.0;75.0;1044.0;447.0
2046;1244594;14319;14561;0;421730;1983;301221;498;17231;167.0;498.0;241.0;139.0;210.0;75.0;1172.0;498.0
2047;1244352;13935;14957;0;425578;1944;302371;451;17443;175.0;451.0;245.0;122.0;193.0;66.0;1178.0;451.0
2048;1243330;12851;15136;0;429778;1941;302692;466;17717;155.0;466.0;219.0;138.0;188.0;76.0;948.0;466.0
2049;1241045;13679;15653;0;433269;1936;304080;484;17536;205.0;484.0;226.0;175.0;214.0;74.0;1001.0;484.0
2050;1239071;13354;15620;0;437207;1904;304662;461;17692;174.0;461.0;219.0;157.0;202.0;57.0;1111.0;461.0
2051;1236805;15064;15741;0;441007;1904;305614;489;17866;184.0;489.0;225.0;167.0;202.0;79.0;1150.0;489.0
2052;1236128;13949;15541;0;444458;1909;305881;462;17689;187.0;462.0;232.0;145.0;192.0;80.0;1124.0;462.0
2053;1234536;13828;15038;0;447188;1879;307516;519;17794;195.0;519.0;278.0;149.0;213.0;74.0;1422.0;519.0
2054;1233326;13307;14831;0;448614;1837;308271;503;17846;223.0;503.0;262.0;178.0;207.0;79.0;1257.0;503.0
2055;1231802;14101;14436;0;449610;1797;308140;503;18070;233.0;503.0;293.0;158.0;208.0;77.0;1371.0;503.0
