Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;AsymtomaticCCRDiscovered
2023;34418;2160;85;212;158;114;650;2394;1828;5177;569;10049;11160;202.0;909.0;289.0;136.0
2024;35731;2329;99;200;149;115;757;2259;1724;5223;563;9963;11154;210.0;981.0;370.0;153.0
2025;37309;2255;65;211;135;99;497;2383;1562;4496;510;8938;10106;219.0;949.0;171.0;94.0
2026;38208;2274;58;198;144;121;444;2236;1666;5495;521;9841;11022;224.0;957.0;246.0;92.0
2027;39853;2464;72;189;125;103;551;2134;1446;4678;489;8809;10080;234.0;1037.0;269.0;110.0
2028;40426;2531;56;218;131;106;428;2462;1515;4814;511;9219;10522;237.0;1066.0;186.0;95.0
2029;41762;2535;72;215;130;113;551;2428;1504;5132;530;9615;10927;245.0;1067.0;183.0;94.0
2030;41833;2577;60;223;155;109;459;2518;1793;4950;547;9720;11050;245.0;1085.0;147.0;90.0
2031;43419;2693;67;241;167;116;512;2722;1932;5268;591;10434;11823;255.0;1134.0;223.0;101.0
2032;43107;2660;84;232;160;146;642;2620;1851;6630;622;11743;13116;253.0;1120.0;282.0;113.0
2033;44086;2750;71;249;141;124;543;2812;1631;5631;585;10617;12034;259.0;1158.0;211.0;98.0
2034;43858;2711;77;229;190;137;589;2586;2198;6222;633;11595;12993;257.0;1141.0;215.0;122.0
2035;44439;2751;70;255;136;117;535;2880;1573;5313;578;10301;11720;261.0;1158.0;243.0;116.0
2036;43800;2651;75;231;164;120;574;2609;1897;5450;590;10530;11903;257.0;1116.0;214.0;106.0
2037;44012;2731;74;239;153;112;566;2699;1770;5086;578;10121;11529;258.0;1150.0;185.0;98.0
2038;43373;2678;76;255;161;121;581;2880;1862;5495;613;10818;12199;254.0;1127.0;327.0;113.0
2039;43710;2696;76;249;182;115;581;2812;2105;5223;622;10721;12112;256.0;1135.0;237.0;112.0
2040;43559;2666;66;261;171;135;505;2948;1978;6131;633;11562;12939;255.0;1122.0;252.0;121.0
2041;44284;2720;68;283;154;131;520;3196;1781;5949;636;11446;12851;260.0;1145.0;197.0;118.0
2042;44613;2659;71;239;142;123;543;2699;1643;5586;575;10471;11852;262.0;1119.0;210.0;97.0
