Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;107886;6842;249;257;253;128;1904;2902;2927;5813;887;13546;17060;633.0;2881.0;1040.0;727.0;768.0;965.0;454.0
2024;111497;7143;240;246;243;119;1835;2778;2811;5404;848;12828;16489;654.0;3007.0;997.0;709.0;770.0;936.0;486.0
2025;114131;6999;162;172;144;84;1239;1942;1666;3815;562;8662;12278;669.0;2947.0;626.0;424.0;470.0;587.0;275.0
2026;118238;7183;144;143;163;96;1101;1615;1885;4360;546;8961;12678;693.0;3024.0;632.0;443.0;487.0;591.0;268.0
2027;120948;7272;147;144;131;81;1124;1626;1515;3679;503;7944;11715;709.0;3062.0;563.0;385.0;412.0;526.0;253.0
2028;124085;7735;153;163;154;93;1170;1841;1781;4224;563;9016;13000;728.0;3256.0;692.0;481.0;508.0;636.0;312.0
2029;126829;7781;138;168;140;87;1055;1897;1619;3951;533;8522;12542;744.0;3276.0;561.0;396.0;423.0;527.0;272.0
2030;129347;7855;136;163;167;77;1040;1841;1932;3497;543;8310;12376;759.0;3307.0;529.0;364.0;396.0;495.0;254.0
2031;131128;7979;142;206;179;89;1086;2326;2071;4042;616;9525;13653;769.0;3359.0;583.0;412.0;424.0;536.0;294.0
2032;133549;8240;163;183;174;95;1247;2067;2013;4314;615;9641;13893;783.0;3469.0;640.0;450.0;476.0;597.0;293.0
2033;134997;8281;149;186;149;93;1139;2101;1724;4224;577;9188;13466;792.0;3486.0;634.0;436.0;469.0;583.0;276.0
2034;137380;8395;140;175;168;111;1071;1976;1943;5041;594;10031;14371;806.0;3534.0;487.0;339.0;356.0;449.0;279.0
2035;139190;8569;161;198;148;93;1231;2236;1712;4224;600;9403;13827;816.0;3608.0;619.0;410.0;457.0;575.0;309.0
2036;141554;8587;146;185;183;93;1116;2089;2117;4224;607;9546;13991;830.0;3615.0;547.0;363.0;394.0;507.0;293.0
2037;143438;8887;163;202;180;85;1247;2281;2082;3860;630;9470;14052;841.0;3741.0;747.0;523.0;574.0;687.0;312.0
2038;144476;8815;185;184;162;85;1415;2078;1874;3860;616;9227;13785;847.0;3711.0;722.0;495.0;530.0;667.0;294.0
2039;145792;8945;169;189;166;107;1292;2134;1920;4859;631;10205;14826;855.0;3766.0;634.0;449.0;485.0;596.0;312.0
2040;146823;9041;163;189;197;103;1247;2134;2279;4678;652;10338;15005;861.0;3806.0;623.0;432.0;476.0;579.0;326.0
2041;148103;9091;173;185;189;91;1323;2089;2186;4133;638;9731;14427;869.0;3827.0;680.0;489.0;519.0;632.0;323.0
2042;149261;8998;177;185;163;98;1354;2089;1885;4451;623;9779;14442;875.0;3788.0;650.0;455.0;487.0;606.0;332.0
2043;151185;9292;162;199;196;73;1239;2247;2267;3315;630;9068;13867;887.0;3912.0;675.0;456.0;500.0;625.0;313.0
2044;152830;9261;146;210;180;95;1116;2372;2082;4314;631;9884;14679;896.0;3899.0;515.0;356.0;385.0;476.0;293.0
2045;155272;9495;183;204;180;101;1399;2304;2082;4587;668;10372;15280;911.0;3997.0;729.0;515.0;557.0;688.0;323.0
2046;156722;9486;184;189;205;92;1407;2134;2371;4178;670;10090;15003;919.0;3994.0;821.0;596.0;627.0;756.0;359.0
2047;159334;9502;185;166;196;92;1415;1875;2267;4178;639;9735;14669;934.0;4000.0;622.0;424.0;463.0;578.0;329.0
2048;160447;9829;168;217;186;108;1285;2451;2152;4905;679;10793;15872;941.0;4138.0;735.0;531.0;551.0;690.0;348.0
2049;163361;9669;182;223;203;88;1392;2518;2348;3996;696;10254;15283;958.0;4071.0;738.0;527.0;547.0;682.0;336.0
2050;164222;10003;169;212;195;82;1292;2394;2256;3724;658;9666;14840;963.0;4211.0;702.0;493.0;543.0;659.0;347.0
2051;167274;10105;170;191;186;109;1300;2157;2152;4950;656;10559;15794;981.0;4254.0;593.0;419.0;450.0;555.0;346.0
2052;167952;10019;164;203;203;97;1254;2293;2348;4405;667;10300;15503;985.0;4218.0;718.0;500.0;529.0;665.0;324.0
2053;170386;10298;202;200;197;97;1545;2259;2279;4405;696;10488;15823;999.0;4336.0;893.0;631.0;664.0;828.0;356.0
2054;171392;10323;182;201;223;104;1392;2270;2580;4723;710;10965;16316;1005.0;4346.0;726.0;510.0;563.0;690.0;359.0
2055;172983;10551;217;196;205;114;1659;2213;2371;5177;732;11420;16877;1015.0;4442.0;843.0;583.0;633.0;786.0;366.0
2056;174301;10548;198;203;186;122;1514;2293;2152;5541;709;11500;16963;1022.0;4441.0;781.0;545.0;573.0;730.0;370.0
2057;175632;10774;231;192;191;110;1767;2168;2209;4996;724;11140;16706;1030.0;4536.0;914.0;640.0;668.0;843.0;395.0
2058;176727;10821;214;219;197;108;1637;2473;2279;4905;738;11294;16887;1037.0;4556.0;771.0;520.0;598.0;727.0;376.0
2059;177295;10794;178;233;214;104;1361;2631;2475;4723;729;11190;16774;1040.0;4544.0;540.0;368.0;411.0;504.0;357.0
2060;177685;10775;206;189;204;100;1575;2134;2360;4541;699;10610;16188;1042.0;4536.0;809.0;556.0;604.0;751.0;378.0
2061;177458;10747;214;204;209;103;1637;2304;2418;4678;730;11037;16603;1041.0;4525.0;809.0;566.0;602.0;747.0;407.0
2062;177724;10930;195;214;210;126;1491;2417;2429;5722;745;12059;17703;1042.0;4602.0;804.0;550.0;590.0;751.0;400.0
2063;177152;10863;210;228;207;112;1606;2575;2394;5086;757;11661;17273;1039.0;4573.0;750.0;520.0;555.0;692.0;384.0
2064;178476;10965;207;235;187;103;1583;2654;2163;4678;732;11078;16741;1047.0;4616.0;863.0;618.0;646.0;798.0;395.0
2065;177666;10870;190;201;174;92;1453;2270;2013;4178;657;9914;15532;1042.0;4576.0;731.0;508.0;551.0;688.0;345.0
2066;178522;11020;189;213;213;78;1445;2405;2464;3542;693;9856;15542;1047.0;4639.0;717.0;499.0;539.0;671.0;382.0
2067;177953;10790;199;208;202;114;1522;2349;2337;5177;723;11385;16972;1044.0;4543.0;759.0;518.0;557.0;700.0;373.0
2068;177608;10973;217;210;191;111;1659;2372;2209;5041;729;11281;16943;1042.0;4620.0;795.0;543.0;608.0;752.0;397.0
2069;176617;11034;182;206;210;103;1392;2326;2429;4678;701;10825;16506;1036.0;4645.0;632.0;441.0;481.0;591.0;365.0
2070;175853;10767;208;198;202;89;1591;2236;2337;4042;697;10206;15770;1031.0;4533.0;768.0;530.0;571.0;716.0;372.0
2071;173837;10662;206;225;199;114;1575;2541;2302;5177;744;11595;17104;1020.0;4489.0;834.0;583.0;635.0;773.0;394.0
2072;172907;10476;182;215;209;106;1392;2428;2418;4814;712;11052;16476;1014.0;4410.0;663.0;465.0;497.0;615.0;350.0
2073;171792;10540;194;216;211;104;1484;2439;2441;4723;725;11087;16532;1008.0;4437.0;777.0;555.0;585.0;734.0;385.0
2074;171093;10471;197;212;210;100;1507;2394;2429;4541;719;10871;16282;1003.0;4408.0;764.0;529.0;571.0;715.0;375.0
