Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;AsymtomaticCCRDiscovered
2023;68678;4393;149;244;218;122;1139;2756;2522;5541;733;11958;14210;403.0;1849.0;582.0;300.0
2024;71571;4599;188;219;185;117;1438;2473;2140;5313;709;11364;13720;420.0;1936.0;728.0;329.0
2025;74480;4553;123;201;140;97;941;2270;1619;4405;561;9235;11589;437.0;1917.0;449.0;217.0
2026;76712;4645;105;164;156;114;803;1852;1805;5177;539;9637;12043;450.0;1956.0;369.0;192.0
2027;79552;4855;122;159;145;84;933;1796;1677;3815;510;8221;10732;467.0;2044.0;523.0;213.0
2028;81314;5057;105;180;128;93;803;2033;1481;4224;506;8541;11147;477.0;2129.0;406.0;193.0
2029;83311;5107;115;171;136;98;879;1931;1573;4451;520;8834;11473;489.0;2150.0;385.0;190.0
2030;84354;5234;112;200;169;107;856;2259;1955;4859;588;9929;12628;495.0;2204.0;440.0;226.0
2031;86526;5310;109;208;188;96;834;2349;2175;4360;601;9718;12461;507.0;2236.0;407.0;211.0
2032;87053;5347;108;206;177;120;826;2326;2047;5450;611;10649;13411;511.0;2251.0;394.0;208.0
2033;88187;5463;124;204;147;102;948;2304;1700;4632;577;9584;12401;517.0;2300.0;461.0;208.0
2034;88710;5408;131;190;191;117;1002;2146;2209;5313;629;10670;13467;520.0;2277.0;547.0;241.0
2035;88827;5479;113;223;148;99;864;2518;1712;4496;583;9590;12418;521.0;2307.0;427.0;215.0
2036;88268;5361;110;208;169;104;841;2349;1955;4723;591;9868;12643;518.0;2257.0;440.0;206.0
2037;88147;5468;117;212;156;90;895;2394;1805;4087;575;9181;12000;517.0;2302.0;380.0;187.0
2038;87306;5362;123;222;157;89;941;2507;1816;4042;591;9306;12075;512.0;2257.0;485.0;200.0
2039;87436;5397;121;214;169;99;925;2417;1955;4496;603;9793;12578;513.0;2272.0;460.0;206.0
2040;87694;5397;117;230;172;116;895;2597;1990;5268;635;10750;13536;514.0;2272.0;491.0;225.0
2041;88529;5450;139;229;177;113;1063;2586;2047;5132;658;10828;13641;519.0;2294.0;556.0;237.0
2042;89778;5421;135;210;160;116;1032;2372;1851;5268;621;10523;13332;527.0;2282.0;502.0;227.0
